protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
calm-mesh,7,1200.0,128,68,60,0.882353,0.964286,0.775576,60,2835,3367,2575,792,830.921728,0.28702,0.387178,9316,155667,75002,2019,855,778,14,50,18,40,8,0.943599,0.235224,0,0,0.0,-1
smart-calm,7,1200.0,128,68,60,0.985294,0.966327,8.329595,67,2841,3122,2579,543,770.459648,0.264945,0.591457,9120,143858,69173,1979,876,533,10,47,21,51,3,0.951195,0.173927,1,107,116.090429,0
meshtastic-like,8,1200.0,125,63,62,0.952381,0.966754,0.328335,60,2937,4840,4840,0,1194.43456,0.398543,0.443496,9355,227805,124006,3489,2169,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,8,1200.0,125,63,62,0.603175,0.983542,0.467591,38,2988,4091,3092,999,1009.593344,0.33364,0.329891,8684,191775,85313,1865,0,977,22,24,39,0,0,0.0,0.244195,0,0,0.0,-1
calm-mesh,8,1200.0,125,63,62,0.825397,1.0,0.803734,52,3038,3474,2773,701,857.327616,0.277452,0.317645,8312,161914,74975,1350,784,687,14,43,20,36,7,0.948921,0.201785,0,0,0.0,-1
smart-calm,8,1200.0,125,63,62,0.984127,0.966425,8.418091,62,2936,3150,2650,500,777.3696,0.259296,0.434963,8327,146023,66507,1410,883,490,10,43,20,11,2,0.946075,0.15873,7,103,114.294603,0
meshtastic-like,9,1200.0,127,58,69,0.931034,0.970127,0.388729,54,3280,4886,4886,0,1205.786624,0.361664,0.49101,9416,229998,124148,3489,2175,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,9,1200.0,127,58,69,0.637931,0.982845,0.4202,37,3323,4278,3427,851,1055.741952,0.314209,0.488347,9295,200327,92533,2536,0,834,17,30,28,0,0,0.0,0.198925,0,0,0.0,-1
calm-mesh,9,1200.0,127,58,69,0.87931,0.979592,0.922215,51,3312,3803,3001,802,938.519552,0.279072,0.370871,9398,176949,85683,2074,1022,786,16,38,20,83,10,0.947402,0.210886,0,0,0.0,-1
smart-calm,9,1200.0,127,58,69,1.0,0.982845,4.921605,58,3323,3645,2994,651,899.52768,0.266054,0.462996,9133,169472,78268,1714,1010,638,13,41,17,44,6,0.953267,0.178601,1,98,102.841957,0
meshtastic-like,10,1200.0,133,72,61,0.930556,0.981599,0.509688,67,2934,5158,5158,0,1272.911872,0.424163,0.471255,9714,243028,135177,3507,2267,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,10,1200.0,133,72,61,0.736111,0.999665,0.419067,53,2988,4110,3108,1002,1014.28224,0.333536,0.317563,9710,191680,84982,1907,0,980,22,42,30,0,0,0.0,0.243796,0,0,0.0,-1
calm-mesh,10,1200.0,133,72,61,0.75,0.982937,0.746069,54,2938,3354,2653,701,827.713536,0.276642,0.297206,8475,155871,72807,1548,802,686,15,49,23,0,6,0.945004,0.209004,0,0,0.0,-1
smart-calm,10,1200.0,133,72,61,0.958333,0.979926,12.703689,69,2929,3234,2692,542,798.099456,0.266211,0.595557,8716,149750,69518,1495,806,532,10,43,29,52,4,0.946443,0.167594,1,110,104.08316,0
