protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,7,20.0,1,1,0,0.0,1.0,0.0,0.0,1.118697,0.0,1.118697,0.0,1,0,0,25,23,2,2,1.7984,0.903566,0.045178,0.712166,2.860772,3.572939,0.0,0.0,1.118697,188,1037,1225,0.153469,891,0.727347,117,44,0,0,0,0,0,0,0,0,0.0,0.08,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.0,0.0,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
meshcore-like,7,20.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,50,0,50,0,3.5968,1.276317,0.063816,1.424333,5.550388,6.97472,0.0,0.0,0.0,301,2149,2450,0.122857,1667,0.680408,217,0,49,1,1,0,0,1,0,0,0.0,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
calm-mesh,7,20.0,1,1,0,0.0,1.0,0.0,0.0,3.892581,0.0,3.892581,0.0,1,0,0,75,23,52,3,5.3952,2.117919,0.105896,2.136499,8.428276,10.564775,0.0,0.0,3.892581,464,3211,3675,0.126259,2597,0.706667,283,44,49,0,1,0,0,1,23,1,0.0,0.693333,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.0,0.0,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
smart-calm,7,20.0,1,1,0,0.0,1.0,0.0,0.0,2.26362,0.0,2.26362,0.0,1,0,0,66,16,50,1,4.747776,1.927353,0.096368,1.880119,7.403777,9.283896,0.0,0.0,2.26362,414,2820,3234,0.128015,2238,0.692022,307,45,49,0,1,0,0,1,16,1,0.0,0.757576,1,1,-1.215,0,1,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.0,0.0,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
smart-calm-static,7,20.0,1,1,0,0.0,1.0,0.0,0.0,3.892581,0.0,3.892581,0.0,1,0,0,75,23,52,3,5.3952,2.117919,0.105896,2.136499,8.428276,10.564775,0.0,0.0,3.892581,464,3211,3675,0.126259,2597,0.706667,283,44,49,0,1,0,0,1,23,1,0.0,0.693333,0,0,0.0,1,0,1,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.0,0.0,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
smart-calm-no-fallback,7,20.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,49,0,49,0,3.524864,1.139522,0.056976,1.395846,5.411017,6.806863,0.0,0.0,0.0,251,2150,2401,0.10454,1661,0.691795,194,0,49,0,1,0,0,1,0,1,0.0,1.0,1,0,0.0,0,1,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.0,0.0,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
smart-calm-no-confidence,7,20.0,1,1,0,0.0,1.0,0.0,0.0,2.26362,0.0,2.26362,0.0,1,0,0,66,16,50,1,4.747776,1.927353,0.096368,1.880119,7.403777,9.283896,0.0,0.0,2.26362,414,2820,3234,0.128015,2238,0.692022,307,45,49,0,1,0,0,1,16,1,0.0,0.757576,1,1,-1.215,0,1,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.0,0.0,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
meshtastic-like,8,20.0,1,1,0,0.0,1.0,0.0,0.0,0.071936,0.0,0.071936,0.0,1,0,0,8,7,1,1,0.575488,0.524961,0.026248,0.227893,0.956036,1.183929,0.0,0.0,0.071936,230,162,392,0.586735,65,0.165816,149,46,0,0,0,0,0,0,0,0,0.0,0.125,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.0,0.0,0.0004499938114589749,0.2681528720352514,0.9878314683708818,0.999972172843223,0.9999999997336875,0.5134693877551021,0.2938775510204082
meshcore-like,8,20.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,50,0,50,0,3.5968,1.569876,0.078494,1.424333,5.72399,7.148323,0.0,0.0,0.0,324,2126,2450,0.132245,1830,0.746939,230,0,49,1,1,0,0,1,0,0,0.0,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.0004499938114589749,0.2681528720352514,0.9878314683708818,0.999972172843223,0.9999999997336875,0.5134693877551021,0.2938775510204082
calm-mesh,8,20.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,50,0,50,0,3.5968,1.572593,0.07863,1.424333,5.699539,7.123872,0.0,0.0,0.0,376,2074,2450,0.153469,1738,0.709388,300,0,49,1,1,0,0,1,0,0,0.790757,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.0004499938114589749,0.2681528720352514,0.9878314683708818,0.999972172843223,0.9999999997336875,0.5134693877551021,0.2938775510204082
smart-calm,8,20.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,52,1,51,0,3.740672,1.504665,0.075233,1.481306,5.926934,7.40824,0.0,0.0,0.0,257,2291,2548,0.100863,1988,0.78022,151,0,49,2,1,0,0,1,1,0,0.756254,0.980769,1,0,0.0,0,1,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.04081632653061224,0.0,0.0004499938114589749,0.2681528720352514,0.9878314683708818,0.999972172843223,0.9999999997336875,0.5134693877551021,0.2938775510204082
smart-calm-static,8,20.0,1,1,0,0.0,1.0,0.0,0.0,15.071936,0.0,15.071936,0.0,1,0,0,67,16,51,1,4.819712,2.230413,0.111521,1.908606,7.684964,9.59357,0.0,0.0,15.071936,526,2757,3283,0.160219,2350,0.715809,366,25,49,1,1,0,0,1,16,0,0.790757,0.761194,0,0,0.0,1,0,1,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.0004499938114589749,0.2681528720352514,0.9878314683708818,0.999972172843223,0.9999999997336875,0.5134693877551021,0.2938775510204082
smart-calm-no-fallback,8,20.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,51,0,51,0,3.668736,1.432729,0.071636,1.452819,5.807124,7.259943,0.0,0.0,0.0,225,2274,2499,0.090036,1988,0.795518,151,0,49,2,1,0,0,1,0,0,0.756254,1.0,1,0,0.0,0,1,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.04081632653061224,0.0,0.0004499938114589749,0.2681528720352514,0.9878314683708818,0.999972172843223,0.9999999997336875,0.5134693877551021,0.2938775510204082
smart-calm-no-confidence,8,20.0,1,1,0,1.0,1.0,0.0,15.143872,15.071936,15.143872,15.071936,15.143872,1,1,0,52,1,51,1,3.740672,1.540401,0.07702,1.481306,5.931824,7.41313,7.41313,3.740672,15.071936,291,2257,2548,0.114207,1941,0.761774,157,0,49,1,1,0,0,1,1,0,0.478387,0.980769,1,1,0.620393,0,1,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.0004499938114589749,0.2681528720352514,0.9878314683708818,0.999972172843223,0.9999999997336875,0.5134693877551021,0.2938775510204082
meshtastic-like,9,20.0,1,1,0,0.0,1.0,0.0,0.0,1.067168,0.0,1.067168,0.0,1,0,0,9,7,2,2,0.647424,0.575488,0.028774,0.25638,1.073401,1.329781,0.0,0.0,1.067168,239,202,441,0.54195,95,0.21542,155,45,0,0,0,0,0,0,0,0,0.0,0.222222,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.0,0.0,0.00015682240427974036,0.09133431926194398,0.9674936575062946,0.9999363977950214,0.9999999997412788,0.5518367346938775,0.35918367346938773
meshcore-like,9,20.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,50,0,50,0,3.5968,1.594302,0.079715,1.424333,5.726435,7.150768,0.0,0.0,0.0,319,2131,2450,0.130204,1805,0.736735,255,0,49,1,1,0,0,1,0,0,0.0,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.00015682240427974036,0.09133431926194398,0.9674936575062946,0.9999363977950214,0.9999999997412788,0.5518367346938775,0.35918367346938773
calm-mesh,9,20.0,1,1,0,1.0,1.0,0.0,2.431616,2.287744,2.431616,2.287744,2.431616,1,1,0,55,2,53,2,3.95648,1.796732,0.089837,1.566766,6.288809,7.855575,7.855575,3.95648,2.287744,484,2211,2695,0.179592,1810,0.671614,251,0,49,2,1,1,0,1,0,0,0.794877,0.963636,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,1,1,1.0,0.04081632653061224,2.0,0.00015682240427974036,0.09133431926194398,0.9674936575062946,0.9999363977950214,0.9999999997412788,0.5518367346938775,0.35918367346938773
smart-calm,9,20.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,51,1,50,0,3.668736,1.682891,0.084145,1.452819,5.856026,7.308845,0.0,0.0,0.0,328,2171,2499,0.131253,1914,0.765906,227,0,49,1,1,0,0,1,1,0,0.799877,0.980392,1,0,0.0,0,1,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.00015682240427974036,0.09133431926194398,0.9674936575062946,0.9999363977950214,0.9999999997412788,0.5518367346938775,0.35918367346938773
