protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio
meshtastic-like,1,300.0,40,22,18,1.0,0.869732,0.853001,943,943,0,232.717312,0.488902,1720,25627,14480,629,394,0,0,0,0,0,0,0.0,0.0
meshcore-like,1,300.0,40,22,18,0.909091,1.0,0.345498,682,562,120,168.306688,0.310529,1606,18172,8287,255,0,116,4,18,4,0,0,0.0,0.175953
calm-mesh,1,300.0,40,22,18,0.818182,0.944444,0.75978,669,459,210,165.098496,0.323089,1615,17786,7590,229,131,203,7,15,7,0,3,0.874493,0.313901
meshtastic-like,2,300.0,40,21,19,1.0,0.869328,0.350761,865,865,0,213.46816,0.426936,1489,23596,13080,462,321,0,0,0,0,0,0,0.0,0.0
meshcore-like,2,300.0,40,21,19,0.809524,0.949183,0.362918,683,563,120,168.553472,0.312136,1636,18171,8429,393,0,116,4,17,4,0,0,0.0,0.175695
calm-mesh,2,300.0,40,21,19,0.904762,0.947368,0.803796,649,499,150,160.162816,0.29605,1572,17249,8011,212,127,145,5,15,6,0,1,0.906681,0.231125
meshtastic-like,3,300.0,36,18,18,1.0,1.0,0.32856,889,889,0,219.390976,0.40628,1435,24085,12392,391,288,0,0,0,0,0,0,0.0,0.0
meshcore-like,3,300.0,36,18,18,0.666667,0.944444,0.370176,614,523,91,151.525376,0.30005,1219,16587,7214,204,0,88,3,9,9,0,0,0.0,0.148208
calm-mesh,3,300.0,36,18,18,0.666667,0.944444,0.936965,593,472,121,146.342912,0.289788,1261,15936,7495,199,118,117,4,9,9,28,1,0.907361,0.204047
