protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,pair_schedule,matched_rreq_timing,discovery_record_count,discovery_candidate_path_total,discovery_multi_candidate_count,discovery_candidate_fingerprints_json,discovery_records_json,scheduled_unicast_flows,scheduled_broadcast_flows,scheduled_distinct_unicast_pairs,observed_distinct_unicast_pairs,scheduled_rate_per_min,scheduled_trace_sha256,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
ett-mesh,25,600.0,41,41,0,0.439024,0.487805,0.0,0.481991,0.336678,0.481991,2.151066,2.248179,20,18,0,284,47,237,34,20.429824,10.643336,0.017739,8.09021,32.287607,40.377817,2.243212,1.13499,0.336678,4438,9478,13916,0.318913,7398,0.531618,813,0,196,7,4,3,27,14,0,0,0.849799,0.834507,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,17,4,"[{""key"":[11,34,1],""candidate_count"":4,""sha256"":""a206a89fe2f428d570690eb4e68025555a98c589b55133bb856c5e23da6236a2""},{""key"":[30,26,2],""candidate_count"":4,""sha256"":""7096fb85e5bc94a1e90428b9c43ed79b771e184e08c3014dfeafbf7c6e6505db""},{""key"":[31,1,3],""candidate_count"":6,""sha256"":""86abd6878ef63d968e54ccb7bc3813a7a5cb99d967d80d7682ebfefff942ea9a""},{""key"":[39,7,4],""candidate_count"":3,""sha256"":""5c75261d8eb9927fddb86ec0a96159463413b9e31987c7d70a5c167ce1b769e6""}]","[{""key"":[11,34,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[11,1,34],[11,3,13,34],[11,20,34],[11,32,5,34]],""selected_path"":[11,1,34]},{""key"":[30,26,2],""started_at"":2.2095259969356,""closed_at"":4.2095259969356,""candidate_paths"":[[30,12,14,26],[30,12,26],[30,12,32,26],[30,12,46,26]],""selected_path"":[30,12,26]},{""key"":[31,1,3],""started_at"":85.4390729839876,""closed_at"":87.4390729839876,""candidate_paths"":[[31,0,34,1],[31,1],[31,5,1],[31,18,14,1],[31,23,32,1],[31,46,20,1]],""selected_path"":[31,1]},{""key"":[39,7,4],""started_at"":117.4391001263806,""closed_at"":119.4391001263806,""candidate_paths"":[[39,15,7],[39,41,24,7],[39,45,34,7]],""selected_path"":[39,15,7]}]",41,0,4,4,4.1,9737789004a6f6c4957fe42a4dbd43ff6c5306b5ed5854ee79f6c1f572620099,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,2,0.75,0.03571428571428571,0,1.6666666666666667,0.5543346306363188,0.998778434898927,0.9999965618208139,0.9999999899347337,0.999999999999958,0.16979591836734695,0.04897959183673469
minhop-mesh,25,600.0,41,41,0,0.463415,0.560976,0.0,0.366504,0.308402,0.366504,1.943872,0.48055,23,19,0,292,50,242,39,21.005312,11.332997,0.018888,8.318104,33.241198,41.559301,2.187332,1.105543,0.308402,4855,9453,14308,0.339321,7358,0.514258,822,0,196,7,4,3,27,14,0,0,0.804563,0.828767,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,17,3,"[{""key"":[11,34,1],""candidate_count"":3,""sha256"":""51825caa2f74a2dcb1e0beb5e88ac4c1e0a4a8ba93a9cae9de726f3bbf88f61c""},{""key"":[30,26,2],""candidate_count"":1,""sha256"":""b63d7bc8717ffbf1add84344a906c0f9cb041baeb4fe23ca240ccc65ee43acad""},{""key"":[31,1,3],""candidate_count"":8,""sha256"":""31e0f9231b5c18e92300ffac5f34cf229014faa3a41acda6e48f14623c69ecf7""},{""key"":[39,7,4],""candidate_count"":5,""sha256"":""83d1758d765b6d860c38b641750c4945347c6a4296e4691b164541d671cfb796""}]","[{""key"":[11,34,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[11,1,34],[11,20,34],[11,32,5,34]],""selected_path"":[11,1,34]},{""key"":[30,26,2],""started_at"":2.2095259969356,""closed_at"":4.2095259969356,""candidate_paths"":[[30,12,26]],""selected_path"":[30,12,26]},{""key"":[31,1,3],""started_at"":85.4390729839876,""closed_at"":87.4390729839876,""candidate_paths"":[[31,0,34,1],[31,1],[31,5,1],[31,6,19,1],[31,25,1],[31,25,17,1],[31,48,20,1],[31,48,45,1]],""selected_path"":[31,1]},{""key"":[39,7,4],""started_at"":117.4391001263806,""closed_at"":119.4391001263806,""candidate_paths"":[[39,10,11,7],[39,10,29,7],[39,15,4,7],[39,15,7],[39,30,7]],""selected_path"":[39,30,7]}]",41,0,4,4,4.1,9737789004a6f6c4957fe42a4dbd43ff6c5306b5ed5854ee79f6c1f572620099,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,2,0.75,0.03571428571428571,0,1.6666666666666667,0.5543346306363188,0.998778434898927,0.9999965618208139,0.9999999899347337,0.999999999999958,0.16979591836734695,0.04897959183673469
meshecho,25,600.0,41,41,0,0.365854,0.390244,0.0,0.382711,0.250888,0.382711,0.67984,0.930906,16,15,0,257,30,227,26,18.487552,8.646256,0.01441,7.321071,29.003831,36.324902,2.42166,1.232503,0.250888,3393,9200,12593,0.269435,7333,0.582308,714,0,196,5,4,2,18,23,0,0,0.832257,0.883268,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,20,4,"[{""key"":[11,34,1],""candidate_count"":3,""sha256"":""51825caa2f74a2dcb1e0beb5e88ac4c1e0a4a8ba93a9cae9de726f3bbf88f61c""},{""key"":[30,26,2],""candidate_count"":8,""sha256"":""84e72312705ac29e6953922d6263f442c75ee032ce1e55ddec816e3468b8b2e6""},{""key"":[31,1,3],""candidate_count"":4,""sha256"":""8061101a3e6cc40b0c7974907b97e30df6caf69ea3d6bd7ca768916dc1318cf9""},{""key"":[39,7,4],""candidate_count"":5,""sha256"":""a6dfe3040ecc7d868ca7edf9b36488d688756395493bc1bc8e0e65a0a310d4ce""}]","[{""key"":[11,34,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[11,1,34],[11,20,34],[11,32,5,34]],""selected_path"":[11,1,34]},{""key"":[30,26,2],""started_at"":2.2095259969356,""closed_at"":4.2095259969356,""candidate_paths"":[[30,12,1,26],[30,12,2,26],[30,12,14,26],[30,12,26],[30,12,32,26],[30,12,33,26],[30,12,46,26],[30,48,43,26]],""selected_path"":[30,12,26]},{""key"":[31,1,3],""started_at"":85.4390729839876,""closed_at"":87.4390729839876,""candidate_paths"":[[31,1],[31,5,1],[31,37,20,1],[31,46,33,1]],""selected_path"":[31,1]},{""key"":[39,7,4],""started_at"":117.4391001263806,""closed_at"":119.4391001263806,""candidate_paths"":[[39,10,11,7],[39,15,7],[39,20,7],[39,30,7],[39,37,4,7]],""selected_path"":[39,30,7]}]",41,0,4,4,4.1,9737789004a6f6c4957fe42a4dbd43ff6c5306b5ed5854ee79f6c1f572620099,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,1,0.5,0.025510204081632654,0,1.5,0.5543346306363188,0.998778434898927,0.9999965618208139,0.9999999899347337,0.999999999999958,0.16979591836734695,0.04897959183673469
meshtastic-like,26,600.0,52,52,0,0.596154,1.0,0.0,0.555347,0.654094,0.555347,1.364631,1.505282,52,31,0,791,717,74,74,56.901376,32.6059,0.054343,22.532945,91.94327,114.476215,3.692781,1.835528,0.654094,11541,27218,38759,0.297763,23590,0.608633,6920,2380,0,0,0,0,0,0,0,0,0.0,0.093552,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,0,0,0,[],[],52,0,4,4,5.2,a665430e5e6b17d188f54a5d281c59a837db587b37e54fd404e800532db2eb4e,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.31420965410366136,0.9957889177892351,0.9999736572412398,0.9999999739878038,0.9999999999998803,0.2163265306122449,0.06693877551020408
meshcore-like,26,600.0,52,52,0,0.692308,0.692308,0.0,0.406848,0.262976,0.406848,0.67984,0.823712,36,36,0,350,75,275,72,25.1776,15.31076,0.025518,9.97033,40.268428,50.238758,1.395521,0.699378,0.262976,7394,9756,17150,0.431137,7333,0.42758,755,0,196,7,4,3,36,16,0,0,0.0,0.785714,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,19,4,"[{""key"":[28,0,2],""candidate_count"":5,""sha256"":""55050bb71881fdcdb8c80a99ec563c1bad4c08f62083735fb4c8007f44675464""},{""key"":[39,35,4],""candidate_count"":4,""sha256"":""3dc438ffab3bbb320b578924536620b0a9fd201bf161beaf02e0597d625dabf5""},{""key"":[40,4,1],""candidate_count"":8,""sha256"":""d09ebcfc8f0060e2f01c7a78d9a95b8e2a4552f5ce01e0bb6ffa8c48c89527c9""},{""key"":[42,16,3],""candidate_count"":2,""sha256"":""0911ed9ec5dae4f98afed5c82f33fac8d05ab6b2f28785bbbc862049557686a1""}]","[{""key"":[28,0,2],""started_at"":4.401379577244526,""closed_at"":6.401379577244526,""candidate_paths"":[[28,18,1,0],[28,18,25,0],[28,30,0],[28,43,22,0],[28,49,0]],""selected_path"":[28,30,0]},{""key"":[39,35,4],""started_at"":36.04235081308468,""closed_at"":38.04235081308468,""candidate_paths"":[[39,25,35],[39,30,35],[39,42,49,35],[39,48,35]],""selected_path"":[39,25,35]},{""key"":[40,4,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[40,2,4],[40,2,17,4],[40,4],[40,12,4],[40,23,3,4],[40,38,34,4],[40,46,4],[40,46,27,4]],""selected_path"":[40,4]},{""key"":[42,16,3],""started_at"":28.653014482986645,""closed_at"":30.653014482986645,""candidate_paths"":[[42,25,16],[42,45,16]],""selected_path"":[42,25,16]}]",52,0,4,4,5.2,a665430e5e6b17d188f54a5d281c59a837db587b37e54fd404e800532db2eb4e,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.75,0.03571428571428571,0,2.0,0.31420965410366136,0.9957889177892351,0.9999736572412398,0.9999999739878038,0.9999999999998803,0.2163265306122449,0.06693877551020408
etx-mesh,26,600.0,52,52,0,0.730769,0.730769,0.0,0.456997,0.313125,0.456997,2.287744,2.431616,38,38,0,356,77,279,76,25.609216,15.790675,0.026318,10.14125,41.01174,51.15299,1.346131,0.673927,0.313125,7686,9758,17444,0.44061,7401,0.424272,809,0,196,7,4,3,36,16,0,0,0.290748,0.783708,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,22,4,"[{""key"":[28,0,2],""candidate_count"":5,""sha256"":""55050bb71881fdcdb8c80a99ec563c1bad4c08f62083735fb4c8007f44675464""},{""key"":[39,35,4],""candidate_count"":4,""sha256"":""58e46ba11d6678b0611a6f97b9604530df3ae0d249863503e24ab2aac2217028""},{""key"":[40,4,1],""candidate_count"":8,""sha256"":""d09ebcfc8f0060e2f01c7a78d9a95b8e2a4552f5ce01e0bb6ffa8c48c89527c9""},{""key"":[42,16,3],""candidate_count"":5,""sha256"":""38d6b272a6cf6029afb43eb4f194ae896f4a8a4e7567cf264e45bb0dcf272245""}]","[{""key"":[28,0,2],""started_at"":4.401379577244526,""closed_at"":6.401379577244526,""candidate_paths"":[[28,18,1,0],[28,18,25,0],[28,30,0],[28,43,22,0],[28,49,0]],""selected_path"":[28,49,0]},{""key"":[39,35,4],""started_at"":36.04235081308468,""closed_at"":38.04235081308468,""candidate_paths"":[[39,6,49,35],[39,30,35],[39,35],[39,48,35]],""selected_path"":[39,48,35]},{""key"":[40,4,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[40,2,4],[40,2,17,4],[40,4],[40,12,4],[40,23,3,4],[40,38,34,4],[40,46,4],[40,46,27,4]],""selected_path"":[40,4]},{""key"":[42,16,3],""started_at"":28.653014482986645,""closed_at"":30.653014482986645,""candidate_paths"":[[42,25,16],[42,36,16],[42,41,10,16],[42,43,13,16],[42,45,16]],""selected_path"":[42,36,16]}]",52,0,4,4,5.2,a665430e5e6b17d188f54a5d281c59a837db587b37e54fd404e800532db2eb4e,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.75,0.03571428571428571,0,2.0,0.31420965410366136,0.9957889177892351,0.9999736572412398,0.9999999739878038,0.9999999999998803,0.2163265306122449,0.06693877551020408
ett-mesh,26,600.0,52,52,0,0.730769,0.730769,0.0,0.456997,0.313125,0.456997,2.287744,2.431616,38,38,0,356,77,279,76,25.609216,15.790675,0.026318,10.14125,41.01174,51.15299,1.346131,0.673927,0.313125,7686,9758,17444,0.44061,7401,0.424272,809,0,196,7,4,3,36,16,0,0,0.830125,0.783708,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,22,4,"[{""key"":[28,0,2],""candidate_count"":5,""sha256"":""55050bb71881fdcdb8c80a99ec563c1bad4c08f62083735fb4c8007f44675464""},{""key"":[39,35,4],""candidate_count"":4,""sha256"":""58e46ba11d6678b0611a6f97b9604530df3ae0d249863503e24ab2aac2217028""},{""key"":[40,4,1],""candidate_count"":8,""sha256"":""d09ebcfc8f0060e2f01c7a78d9a95b8e2a4552f5ce01e0bb6ffa8c48c89527c9""},{""key"":[42,16,3],""candidate_count"":5,""sha256"":""38d6b272a6cf6029afb43eb4f194ae896f4a8a4e7567cf264e45bb0dcf272245""}]","[{""key"":[28,0,2],""started_at"":4.401379577244526,""closed_at"":6.401379577244526,""candidate_paths"":[[28,18,1,0],[28,18,25,0],[28,30,0],[28,43,22,0],[28,49,0]],""selected_path"":[28,49,0]},{""key"":[39,35,4],""started_at"":36.04235081308468,""closed_at"":38.04235081308468,""candidate_paths"":[[39,6,49,35],[39,30,35],[39,35],[39,48,35]],""selected_path"":[39,48,35]},{""key"":[40,4,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[40,2,4],[40,2,17,4],[40,4],[40,12,4],[40,23,3,4],[40,38,34,4],[40,46,4],[40,46,27,4]],""selected_path"":[40,4]},{""key"":[42,16,3],""started_at"":28.653014482986645,""closed_at"":30.653014482986645,""candidate_paths"":[[42,25,16],[42,36,16],[42,41,10,16],[42,43,13,16],[42,45,16]],""selected_path"":[42,36,16]}]",52,0,4,4,5.2,a665430e5e6b17d188f54a5d281c59a837db587b37e54fd404e800532db2eb4e,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.75,0.03571428571428571,0,2.0,0.31420965410366136,0.9957889177892351,0.9999736572412398,0.9999999739878038,0.9999999999998803,0.2163265306122449,0.06693877551020408
minhop-mesh,26,600.0,52,52,0,0.692308,0.75,0.0,0.323317,0.239058,0.323317,0.343872,0.287744,39,36,0,358,84,274,71,25.753088,16.190593,0.026984,10.198223,41.307598,51.505821,1.430717,0.715364,0.239058,7758,9784,17542,0.442253,7238,0.41261,888,0,196,7,4,4,48,4,0,0,0.722357,0.765363,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,23,4,"[{""key"":[28,0,2],""candidate_count"":6,""sha256"":""550182570bf603a075b8594ed5573700806b6a024fa28eb982e40bcd3c1f3dc6""},{""key"":[39,35,4],""candidate_count"":2,""sha256"":""018f4178d67e06c778bf7935c948d217baee7e48a7bf02e9b77d4adf1ba608e4""},{""key"":[40,4,1],""candidate_count"":8,""sha256"":""c92cd24fec6bfdad138160897412cd6b4703ba309d72b2864c84ccde16fa75ca""},{""key"":[42,16,3],""candidate_count"":7,""sha256"":""f79293ee215e10ad229f92f1c61fc4a71dd1ffa59590be65f82799f03157b973""}]","[{""key"":[28,0,2],""started_at"":4.401379577244526,""closed_at"":6.401379577244526,""candidate_paths"":[[28,2,1,0],[28,8,0],[28,18,25,0],[28,24,22,0],[28,30,0],[28,49,0]],""selected_path"":[28,49,0]},{""key"":[39,35,4],""started_at"":36.04235081308468,""closed_at"":38.04235081308468,""candidate_paths"":[[39,30,35],[39,48,35]],""selected_path"":[39,48,35]},{""key"":[40,4,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[40,2,4],[40,4],[40,11,27,4],[40,12,4],[40,16,22,4],[40,23,3,4],[40,38,19,4],[40,38,43,4]],""selected_path"":[40,4]},{""key"":[42,16,3],""started_at"":28.653014482986645,""closed_at"":30.653014482986645,""candidate_paths"":[[42,5,16],[42,25,16],[42,35,20,16],[42,38,16],[42,40,10,16],[42,45,16],[42,46,16]],""selected_path"":[42,45,16]}]",52,0,4,4,5.2,a665430e5e6b17d188f54a5d281c59a837db587b37e54fd404e800532db2eb4e,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,4,3,1.0,0.03571428571428571,0,1.75,0.31420965410366136,0.9957889177892351,0.9999736572412398,0.9999999739878038,0.9999999999998803,0.2163265306122449,0.06693877551020408
meshecho,26,600.0,52,52,0,0.711538,0.730769,0.0,0.461571,0.313125,0.461571,2.287744,2.431616,38,37,0,357,77,280,76,25.681152,15.80461,0.026341,10.169736,41.055752,51.225488,1.384473,0.694085,0.313125,7667,9826,17493,0.43829,7320,0.418453,825,0,196,8,4,3,36,16,0,0,0.749566,0.784314,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,21,4,"[{""key"":[28,0,2],""candidate_count"":5,""sha256"":""6ef25b30d71d25a71c4322c7ebb6eb96adb90ba8c2ae95b5c5b170e7359b20b6""},{""key"":[39,35,4],""candidate_count"":3,""sha256"":""5aaf5c4d976e5b5686e6d364ef80d8a5c618e96edd2dfd258f20e6dbf00f0a05""},{""key"":[40,4,1],""candidate_count"":8,""sha256"":""fcc19a04d4223793e3bfdc07457f9de5184338aa21addf21b7b1dbd52a02354a""},{""key"":[42,16,3],""candidate_count"":5,""sha256"":""94f5e7f128198d44294c9a0192d748b07800a4f20263d61be96fab34702dd535""}]","[{""key"":[28,0,2],""started_at"":4.401379577244526,""closed_at"":6.401379577244526,""candidate_paths"":[[28,9,0],[28,16,22,0],[28,21,25,0],[28,30,0],[28,49,0]],""selected_path"":[28,49,0]},{""key"":[39,35,4],""started_at"":36.04235081308468,""closed_at"":38.04235081308468,""candidate_paths"":[[39,6,49,35],[39,20,35],[39,30,0,35]],""selected_path"":[39,20,35]},{""key"":[40,4,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[40,2,4],[40,2,17,4],[40,4],[40,11,27,4],[40,12,4],[40,16,22,4],[40,38,19,4],[40,38,43,4]],""selected_path"":[40,12,4]},{""key"":[42,16,3],""started_at"":28.653014482986645,""closed_at"":30.653014482986645,""candidate_paths"":[[42,5,16],[42,22,16],[42,25,16],[42,39,13,16],[42,45,16]],""selected_path"":[42,45,16]}]",52,0,4,4,5.2,a665430e5e6b17d188f54a5d281c59a837db587b37e54fd404e800532db2eb4e,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.75,0.04081632653061224,0,2.0,0.31420965410366136,0.9957889177892351,0.9999736572412398,0.9999999739878038,0.9999999999998803,0.2163265306122449,0.06693877551020408
meshtastic-like,27,600.0,47,47,0,0.574468,1.0,0.0,0.508309,0.558222,0.508309,1.322216,1.806082,47,27,0,617,553,64,64,44.384512,26.894044,0.044823,17.576267,71.890967,89.467233,3.313601,1.643871,0.558222,9890,20343,30233,0.327126,17558,0.580756,5858,2161,0,0,0,0,0,0,0,0,0.0,0.103728,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,0,0,0,[],[],47,0,4,4,4.7,948c48c71cc7dc83b0c28d1ef96dd5849ba66d86acf8bd5d5f2eeb6db125797b,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.5092026737044983,0.9985663956276044,0.9999930647226376,0.9999999919032022,0.9999999999999403,0.1763265306122449,0.04979591836734694
meshcore-like,27,600.0,47,47,0,0.765957,0.829787,0.0,0.452412,0.299563,0.452412,2.158259,2.26976,39,36,0,358,82,276,73,25.753088,15.878364,0.026464,10.198223,41.292927,51.49115,1.43031,0.715364,0.299563,7660,9882,17542,0.436666,7589,0.432619,742,0,196,7,4,4,43,4,0,0,0.0,0.77095,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,20,4,"[{""key"":[1,4,1],""candidate_count"":6,""sha256"":""69116c95b6ba1ba1b9012983f6b9a5ff0cfbe6fca09fcabbf1742a36d827b66e""},{""key"":[2,45,3],""candidate_count"":4,""sha256"":""fd7d823fcd227e5406e0ccc0611d29b5d9dde4a254a8c1eda64bbd35010c6337""},{""key"":[31,21,4],""candidate_count"":6,""sha256"":""f831cd3845d230b8c65890ba6166cd6aed2f4223df897c95e83d59abc65fa1ce""},{""key"":[33,34,2],""candidate_count"":4,""sha256"":""6a7295bcefdeee4dc20fa181f26346a9a987f9d9fc4aa760440d9207c5365b6b""}]","[{""key"":[1,4,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[1,9,4],[1,34,4],[1,35,36,4],[1,35,48,4],[1,46,4],[1,47,4]],""selected_path"":[1,9,4]},{""key"":[2,45,3],""started_at"":31.06873098037064,""closed_at"":33.06873098037064,""candidate_paths"":[[2,8,45],[2,37,45],[2,39,45],[2,48,40,45]],""selected_path"":[2,8,45]},{""key"":[31,21,4],""started_at"":34.59288215543253,""closed_at"":36.59288215543253,""candidate_paths"":[[31,18,21],[31,21],[31,26,21],[31,33,48,21],[31,34,21],[31,37,21]],""selected_path"":[31,21]},{""key"":[33,34,2],""started_at"":17.8211374466704,""closed_at"":19.8211374466704,""candidate_paths"":[[33,21,26,34],[33,21,34],[33,37,34],[33,38,10,34]],""selected_path"":[33,21,34]}]",47,0,4,4,4.7,948c48c71cc7dc83b0c28d1ef96dd5849ba66d86acf8bd5d5f2eeb6db125797b,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,4,3,1.0,0.03571428571428571,0,1.75,0.5092026737044983,0.9985663956276044,0.9999930647226376,0.9999999919032022,0.9999999999999403,0.1763265306122449,0.04979591836734694
etx-mesh,27,600.0,47,47,0,0.702128,0.723404,0.0,0.34399,0.20058,0.34399,0.143872,0.287744,34,33,0,347,79,268,65,24.961792,14.914488,0.024857,9.88487,39.96279,49.84766,1.510535,0.756418,0.20058,7129,9874,17003,0.419279,7679,0.451626,699,0,196,7,4,4,43,4,0,0,0.325812,0.772334,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,18,4,"[{""key"":[1,4,1],""candidate_count"":6,""sha256"":""69116c95b6ba1ba1b9012983f6b9a5ff0cfbe6fca09fcabbf1742a36d827b66e""},{""key"":[2,45,3],""candidate_count"":4,""sha256"":""c11b6447a42305f1a37d8bfe354333b964b78c87f4a3966e8b70f295aa094735""},{""key"":[31,21,4],""candidate_count"":4,""sha256"":""f7cd48aa2a812d74af7974d6d3836219616e721f73c4b6c0e64d260b33f9a8eb""},{""key"":[33,34,2],""candidate_count"":4,""sha256"":""6a7295bcefdeee4dc20fa181f26346a9a987f9d9fc4aa760440d9207c5365b6b""}]","[{""key"":[1,4,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[1,9,4],[1,34,4],[1,35,36,4],[1,35,48,4],[1,46,4],[1,47,4]],""selected_path"":[1,9,4]},{""key"":[2,45,3],""started_at"":31.06873098037064,""closed_at"":33.06873098037064,""candidate_paths"":[[2,35,36,45],[2,39,45],[2,44,45],[2,46,40,45]],""selected_path"":[2,39,45]},{""key"":[31,21,4],""started_at"":34.59288215543253,""closed_at"":36.59288215543253,""candidate_paths"":[[31,10,21],[31,21],[31,33,48,21],[31,34,21]],""selected_path"":[31,21]},{""key"":[33,34,2],""started_at"":17.8211374466704,""closed_at"":19.8211374466704,""candidate_paths"":[[33,21,26,34],[33,21,34],[33,37,34],[33,38,10,34]],""selected_path"":[33,37,34]}]",47,0,4,4,4.7,948c48c71cc7dc83b0c28d1ef96dd5849ba66d86acf8bd5d5f2eeb6db125797b,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,4,3,1.0,0.03571428571428571,0,1.75,0.5092026737044983,0.9985663956276044,0.9999930647226376,0.9999999919032022,0.9999999999999403,0.1763265306122449,0.04979591836734694
ett-mesh,27,600.0,47,47,0,0.702128,0.723404,0.0,0.34399,0.20058,0.34399,0.143872,0.287744,34,33,0,347,79,268,65,24.961792,14.914488,0.024857,9.88487,39.96279,49.84766,1.510535,0.756418,0.20058,7129,9874,17003,0.419279,7679,0.451626,699,0,196,7,4,4,43,4,0,0,0.841292,0.772334,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,18,4,"[{""key"":[1,4,1],""candidate_count"":6,""sha256"":""69116c95b6ba1ba1b9012983f6b9a5ff0cfbe6fca09fcabbf1742a36d827b66e""},{""key"":[2,45,3],""candidate_count"":4,""sha256"":""c11b6447a42305f1a37d8bfe354333b964b78c87f4a3966e8b70f295aa094735""},{""key"":[31,21,4],""candidate_count"":4,""sha256"":""f7cd48aa2a812d74af7974d6d3836219616e721f73c4b6c0e64d260b33f9a8eb""},{""key"":[33,34,2],""candidate_count"":4,""sha256"":""6a7295bcefdeee4dc20fa181f26346a9a987f9d9fc4aa760440d9207c5365b6b""}]","[{""key"":[1,4,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[1,9,4],[1,34,4],[1,35,36,4],[1,35,48,4],[1,46,4],[1,47,4]],""selected_path"":[1,9,4]},{""key"":[2,45,3],""started_at"":31.06873098037064,""closed_at"":33.06873098037064,""candidate_paths"":[[2,35,36,45],[2,39,45],[2,44,45],[2,46,40,45]],""selected_path"":[2,39,45]},{""key"":[31,21,4],""started_at"":34.59288215543253,""closed_at"":36.59288215543253,""candidate_paths"":[[31,10,21],[31,21],[31,33,48,21],[31,34,21]],""selected_path"":[31,21]},{""key"":[33,34,2],""started_at"":17.8211374466704,""closed_at"":19.8211374466704,""candidate_paths"":[[33,21,26,34],[33,21,34],[33,37,34],[33,38,10,34]],""selected_path"":[33,37,34]}]",47,0,4,4,4.7,948c48c71cc7dc83b0c28d1ef96dd5849ba66d86acf8bd5d5f2eeb6db125797b,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,4,3,1.0,0.03571428571428571,0,1.75,0.5092026737044983,0.9985663956276044,0.9999930647226376,0.9999999919032022,0.9999999999999403,0.1763265306122449,0.04979591836734694
