protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio
meshcore-like,7,1200.0,128,68,60,0.544118,0.971769,0.40686,3756,2956,800,926.920704,0.32029,8015,176029,81901,1920,0,784,16,27,41,0,0,0.0,0.212993
calm-mesh,7,1200.0,128,68,60,0.897059,0.954762,0.973331,3427,2587,840,845.728768,0.294885,8819,159104,76801,1455,761,826,14,49,19,66,9,0.945227,0.245112
meshtastic-like,8,1200.0,125,63,62,0.952381,0.967413,0.514969,4917,4917,0,1213.436928,0.404614,8909,232024,127890,3030,1900,0,0,0,0,0,0,0.0,0.0
meshcore-like,8,1200.0,125,63,62,0.619048,0.967742,0.474585,3946,3044,902,973.809664,0.326891,7794,185560,79346,1163,0,884,18,24,39,0,0,0.0,0.228586
calm-mesh,8,1200.0,125,63,62,0.920635,0.967742,0.927042,3485,2734,751,860.04224,0.286872,8311,162454,71490,1069,643,736,15,47,16,40,8,0.948586,0.215495
meshtastic-like,9,1200.0,127,58,69,0.948276,0.968353,0.604735,4843,4843,0,1195.174912,0.359019,9349,227958,125312,3381,2147,0,0,0,0,0,0,0.0,0.0
meshcore-like,9,1200.0,127,58,69,0.603448,0.995563,0.416007,4276,3473,803,1055.248384,0.310276,8720,200804,91058,2091,0,786,17,29,29,0,0,0.0,0.187792
calm-mesh,9,1200.0,127,58,69,0.844828,0.981071,1.128744,3812,3060,752,940.740608,0.279483,8653,178135,82890,1506,949,736,16,36,22,128,11,0.950428,0.197272
meshtastic-like,10,1200.0,133,72,61,0.930556,0.917364,0.869751,4928,4928,0,1216.151552,0.432948,9147,232325,132047,3151,2062,0,0,0,0,0,0,0.0,0.0
meshcore-like,10,1200.0,133,72,61,0.652778,0.982937,0.425309,4002,3051,951,987.629568,0.330864,8547,187551,84266,1508,0,931,20,35,37,0,0,0.0,0.237631
calm-mesh,10,1200.0,133,72,61,0.888889,0.994647,0.863268,3529,2779,750,870.900736,0.286763,8750,164171,75035,1177,680,736,14,56,16,41,8,0.950559,0.212525
