protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio
meshtastic-like,14,1200.0,114,46,68,0.956522,0.968788,0.400349,4544,4544,0,1121.386496,0.342722,8028,214187,112540,2652,1679,0,0,0,0,0,0,0.0,0.0
meshcore-like,14,1200.0,114,46,68,0.913043,0.983794,0.481816,4385,3384,1001,1082.14784,0.325948,9054,205811,93908,1741,0,981,20,25,21,0,0,0.0,0.228278
calm-mesh,14,1200.0,114,46,68,0.782609,0.964286,0.982002,3605,2905,700,889.65632,0.273825,8030,168615,80648,1789,903,686,14,28,18,0,6,0.953571,0.194175
meshtastic-like,15,1200.0,135,68,67,0.955882,0.908316,0.521754,5180,5180,0,1278.34112,0.419541,9594,244226,132724,3427,2122,0,0,0,0,0,0,0.0,0.0
meshcore-like,15,1200.0,135,68,67,0.411765,0.935425,0.475941,4014,3163,851,990.590976,0.319649,8086,188600,88853,1997,0,833,18,17,51,0,0,0.0,0.212008
calm-mesh,15,1200.0,135,68,67,0.764706,0.920804,1.221257,3651,2855,796,901.008384,0.293011,8983,169916,82550,1897,978,781,15,39,29,118,10,0.950716,0.218022
meshtastic-like,16,1200.0,121,53,68,0.924528,0.92467,0.372917,4704,4704,0,1160.871936,0.370886,7824,222672,116919,2348,1585,0,0,0,0,0,0,0.0,0.0
meshcore-like,16,1200.0,121,53,68,0.603774,0.954982,0.447296,4084,3281,803,1007.865856,0.313586,8509,191607,88522,2199,0,785,18,22,31,0,0,0.0,0.196621
calm-mesh,16,1200.0,121,53,68,0.754717,0.953782,0.97465,3415,2815,600,842.76736,0.261892,7826,159509,73711,1516,878,588,12,33,20,0,4,0.954456,0.175695
meshtastic-like,17,1200.0,107,53,54,0.924528,0.981481,0.718381,4089,4089,0,1009.099776,0.381368,7751,192610,107601,2758,1797,0,0,0,0,0,0,0.0,0.0
meshcore-like,17,1200.0,107,53,54,0.641509,0.998866,0.515343,3786,2734,1052,934.324224,0.349019,8083,177431,80786,1694,0,1029,23,20,33,0,0,0.0,0.277866
calm-mesh,17,1200.0,107,53,54,0.754717,0.981481,1.068709,3093,2397,696,763.302912,0.289459,7156,144401,67458,1249,690,683,13,33,20,68,7,0.951519,0.225024
meshtastic-like,18,1200.0,122,67,55,0.985075,0.927273,0.49518,4838,4838,0,1193.940992,0.465474,8148,228914,119813,2422,1728,0,0,0,0,0,0,0.0,0.0
meshcore-like,18,1200.0,122,67,55,0.746269,0.963636,0.43434,3757,2707,1050,927.167488,0.350271,8929,175164,77446,1793,0,1029,21,36,31,0,0,0.0,0.279478
calm-mesh,18,1200.0,122,67,55,0.746269,0.981447,0.989491,3097,2400,697,764.290048,0.283596,7875,143878,69169,1421,770,684,13,43,24,33,6,0.946944,0.225057
meshtastic-like,19,1200.0,116,67,49,1.0,0.958351,0.47981,4595,4595,0,1133.97248,0.478874,8665,216490,120647,3087,1928,0,0,0,0,0,0,0.0,0.0
meshcore-like,19,1200.0,116,67,49,0.895522,0.999584,0.427759,3664,2514,1150,904.216576,0.367568,8992,170544,75091,1405,0,1127,23,42,25,0,0,0.0,0.313865
calm-mesh,19,1200.0,116,67,49,0.716418,0.999584,0.913243,2915,2165,750,719.37536,0.293862,7211,135624,60199,1101,590,735,15,40,27,0,7,0.954662,0.25729
meshtastic-like,20,1200.0,117,50,67,0.94,0.981419,0.658641,4616,4616,0,1139.154944,0.348472,8500,217684,118989,2974,1897,0,0,0,0,0,0,0.0,0.0
meshcore-like,20,1200.0,117,50,67,0.34,0.990253,0.537118,4013,3336,677,990.344192,0.303043,7146,189491,84847,1782,0,661,16,9,41,0,0,0.0,0.168702
calm-mesh,20,1200.0,117,50,67,0.62,0.995736,1.185965,3623,2930,693,894.098432,0.270939,7730,169797,79326,1595,884,678,15,25,25,1,7,0.953506,0.191278
