protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,117,55,62,0.836364,0.945455,0.935155,0.493568,0.400789,0.493568,0.246784,0.493568,52,46,2841,4637,4584,53,53,1144.337408,164.146966,0.136789,453.157614,1494.288615,1947.446229,0.674557,0.396376,0.554396,10452,216761,227213,0.046001,119183,0.524543,2748,1768,0,0,0,0,0,0,0,0,0.0,0.01143,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,117,55,62,0.709091,0.781818,0.91738,1.184886,0.926044,1.184886,2.493568,2.740352,43,39,2787,3584,2890,694,43,884.473856,115.189992,0.095992,350.251647,1093.962335,1444.213982,0.511045,0.312977,0.458838,9359,166257,175616,0.053292,75866,0.431999,1303,0,638,13,14,13,35,20,0,0,0.0,0.193638,0,0,0.0,-1,0,0,0
calm-mesh,1,1200.0,117,55,62,0.745455,0.8,0.949638,1.254743,1.007124,1.254743,2.493568,2.740352,44,41,2885,3420,2625,795,44,844.00128,119.984671,0.099987,334.224507,1061.147743,1395.37225,0.476887,0.288449,0.518317,9756,157824,167580,0.058217,75678,0.451593,1288,795,736,15,16,14,36,19,44,8,0.949115,0.232456,0,0,0.0,-1,0,0,0
smart-calm,1,1200.0,117,55,62,0.927273,0.981818,0.933509,2.335949,2.289647,2.335949,15.246784,15.493568,54,51,2836,3234,2608,626,57,798.099456,125.417299,0.104514,316.047385,1006.154782,1322.202166,0.457985,0.276446,0.563439,10802,147664,158466,0.068166,70668,0.445951,1429,865,557,12,12,11,43,12,35,5,0.945674,0.193568,1,95,101.86803,0,55,0,0
smart-calm-static,1,1200.0,117,55,62,0.945455,0.981818,0.951284,4.555264,3.921876,4.555264,15.246784,15.493568,54,52,2890,3577,2771,806,58,882.746368,135.500734,0.112917,349.567562,1118.296469,1467.864031,0.498934,0.30005,0.63925,11145,164128,175273,0.063587,80222,0.457697,1567,886,733,15,16,14,36,19,163,8,0.945503,0.225328,0,0,0.0,1,0,55,0
smart-calm-no-fallback,1,1200.0,117,55,62,0.927273,0.963636,0.932521,2.335949,2.298003,2.335949,15.246784,15.493568,53,51,2833,3225,2569,656,56,795.8784,125.319056,0.104433,315.167846,1003.235692,1318.403539,0.457144,0.275963,0.5477,10794,147231,158025,0.068306,70417,0.445607,1445,818,588,12,12,11,43,12,0,5,0.945674,0.203411,1,94,103.156141,0,55,0,0
smart-calm-no-confidence,1,1200.0,117,55,62,0.927273,0.981818,0.933509,2.335949,2.289647,2.335949,15.246784,15.493568,54,51,2836,3234,2608,626,57,798.099456,125.417299,0.104514,316.047385,1006.154782,1322.202166,0.457985,0.276446,0.563439,10802,147664,158466,0.068166,70668,0.445951,1429,865,557,12,12,11,43,12,35,5,0.945674,0.193568,1,95,97.792435,0,55,0,0
meshtastic-like,2,1200.0,125,69,56,0.782609,0.913043,0.944242,0.494388,0.382036,0.494388,0.246784,0.493568,63,54,2591,4868,4800,68,68,1201.344512,176.332445,0.146944,475.732427,1575.251407,2050.983834,0.775419,0.454195,0.716853,11520,227012,238532,0.048295,126216,0.529137,3072,2010,0,0,0,0,0,0,0,0,0.0,0.013969,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,125,69,56,0.318841,0.347826,0.950802,1.006214,0.810325,1.006214,2.493568,2.740352,24,22,2609,3233,2691,542,24,797.852672,104.798623,0.087332,315.949658,989.093207,1305.042865,0.496025,0.303251,0.426361,7512,150905,158417,0.047419,69899,0.441234,1797,0,509,9,11,6,19,50,0,0,0.0,0.167646,0,0,0.0,-1,0,0,0
calm-mesh,2,1200.0,125,69,56,0.478261,0.521739,0.965015,1.196339,0.925981,1.196339,2.493568,2.740352,36,33,2648,3156,2452,704,39,778.850304,119.720769,0.099767,308.42472,997.439454,1305.864174,0.487081,0.290507,0.518387,8691,145953,154644,0.0562,74506,0.48179,1639,836,654,11,16,7,29,40,120,9,0.948611,0.223067,0,0,0.0,-1,0,0,0
smart-calm,2,1200.0,125,69,56,0.884058,0.913043,0.912536,5.970216,4.734279,5.970216,15.246784,15.493568,63,61,2504,3407,2609,798,72,840.793088,147.33389,0.122778,332.954063,1090.321862,1423.275924,0.554883,0.327795,0.594822,12411,154532,166943,0.074343,80656,0.483135,2194,974,713,13,17,10,39,30,373,9,0.917447,0.234224,7,107,108.359874,0,40,29,0
smart-calm-static,2,1200.0,125,69,56,0.855072,0.913043,0.937682,7.777909,7.084704,7.777909,15.246784,15.493568,63,59,2573,4117,3393,724,70,1016.009728,150.16376,0.125136,402.339852,1284.307101,1686.646953,0.640823,0.386022,0.690624,11625,190108,201733,0.057626,93478,0.463375,1925,1118,643,11,16,7,29,40,1135,9,0.946924,0.175856,0,0,0.0,1,0,69,0
