calm_route_ttl_s,calm_discovery_window_s,calm_fallback_confidence_threshold,calm_fallback_ttl,calm_hop_penalty_per_hop,calm_route_age_penalty,score,calm_pdr,meshcore_pdr,meshtastic_pdr,calm_unicast_pdr,meshcore_unicast_pdr,calm_mixed_unicast_pdr,meshcore_mixed_unicast_pdr,calm_airtime_s,meshcore_airtime_s,meshtastic_airtime_s,calm_collision_fail,meshcore_collision_fail,calm_delay_s,meshcore_delay_s
600.0,2.4,0.0,2,0.025,0.1,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.0,2,0.025,0.15,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.0,2,0.025,0.2,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.0,2,0.035,0.1,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.0,2,0.035,0.15,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.0,2,0.035,0.2,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.0,2,0.045,0.1,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.0,2,0.045,0.15,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.0,2,0.045,0.2,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.25,2,0.025,0.1,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.25,2,0.025,0.15,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.25,2,0.025,0.2,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.25,2,0.035,0.1,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.25,2,0.035,0.15,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
600.0,2.4,0.25,2,0.035,0.2,0.165198,0.894135,0.825122,0.919379,0.969643,0.870833,0.818627,0.779412,91.762517,103.443627,175.422293,4417.666667,5107.833333,0.921696,0.406179
