protocol,metric,n,mean,sd,ci95_low,ci95_high
meshcore-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshcore-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshcore-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,20,0.17657685,0.035631532,0.159900971,0.193252729
meshcore-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
calm-mesh,unicast_pdr,20,0.57102035,0.150550036,0.500561574,0.641479126
calm-mesh,destination_unicast_pdr,20,0.6331063,0.155628881,0.560270579,0.705942021
calm-mesh,broadcast_coverage,20,0.9386891,0.021602493,0.928578938,0.948799262
calm-mesh,avg_delay_s,20,0.9333328,0.102424583,0.885397171,0.981268429
calm-mesh,mean_delivery_delay_s,20,0.53920465,0.08590661,0.498999581,0.579409719
calm-mesh,unicast_delivery_delay_s,20,0.83149015,0.16291883,0.755242667,0.907737633
calm-mesh,unicast_ack_delay_s,20,0.9333328,0.102424583,0.885397171,0.981268429
calm-mesh,p95_unicast_delivery_delay_s,20,3.00611745,0.951335874,2.560883673,3.451351227
calm-mesh,p95_unicast_ack_delay_s,20,2.740352,0.0,2.740352,2.740352
calm-mesh,tx_count,20,5133.05,407.656779657,4942.262946921,5323.837053079
calm-mesh,data_tx,20,4241.6,370.62854152,4068.142496649,4415.057503351
calm-mesh,control_tx,20,891.45,135.269506814,828.14264964,954.75735036
calm-mesh,ack_tx,20,68.4,20.270278995,58.913326437,77.886673563
calm-mesh,total_airtime_s,20,1266.7546112,100.603170711,1219.671419093,1313.837803307
calm-mesh,channel_busy_time_s,20,197.4017349,20.607426993,187.75727303,207.04619677
calm-mesh,channel_busy_ratio,20,0.16450145,0.01717281,0.15646442,0.17253848
calm-mesh,tx_energy_j,20,501.63482605,39.838855557,482.989881997,520.279770103
calm-mesh,rx_energy_j,20,1610.95405265,130.8093452,1549.73409819,1672.17400711
calm-mesh,total_energy_j,20,2112.5888786,170.418500774,2032.831481752,2192.346275448
calm-mesh,energy_per_delivery_j,20,0.44680685,0.022180308,0.436426265,0.457187435
calm-mesh,airtime_per_delivery_s,20,0.26790865,0.012585583,0.262018483,0.273798817
calm-mesh,rx_attempts,20,251502.3,19971.21919189,242155.589124205,260849.010875795
calm-mesh,packet_reception_ratio,20,0.05992615,0.007362174,0.056480586,0.063371714
calm-mesh,collision_fail,20,118145.1,10541.756903906,113211.462601251,123078.737398749
calm-mesh,collision_rate,20,0.4696317,0.01568507,0.462290946,0.476972454
calm-mesh,duplicate_rx,20,2708.75,420.543617489,2511.931790478,2905.568209522
calm-mesh,suppressed_forwards,20,1444.65,203.569275678,1349.377741222,1539.922258778
calm-mesh,route_cache_hits,20,63.4,18.782410585,54.609662285,72.190337715
calm-mesh,route_cache_misses,20,39.55,15.305571741,32.386854251,46.713145749
calm-mesh,fallback_forward_count,20,105.15,78.082463157,68.606702338,141.693297662
calm-mesh,route_repair_count,20,10.25,3.462201916,8.629658248,11.870341752
calm-mesh,mean_path_confidence,20,0.9429792,0.005844236,0.940244045,0.945714355
calm-mesh,control_overhead_ratio,20,0.17388605,0.024967773,0.162200907,0.185571193
calm-mesh,policy_switch_count,20,0.0,0.0,0.0,0.0
calm-mesh,policy_update_count,20,0.0,0.0,0.0,0.0
calm-mesh,policy_reward_total,20,0.0,0.0,0.0,0.0
calm-mesh,active_profile_index,20,-1.0,0.0,-1.0,-1.0
smart-calm,unicast_pdr,20,0.87086815,0.052456783,0.846317902,0.895418398
smart-calm,destination_unicast_pdr,20,0.92030785,0.035618597,0.903638025,0.936977675
smart-calm,broadcast_coverage,20,0.93691655,0.022852064,0.926221578,0.947611522
smart-calm,avg_delay_s,20,6.30016325,2.110630814,5.312368975,7.287957525
smart-calm,mean_delivery_delay_s,20,0.6705806,0.115516037,0.616518052,0.724643148
smart-calm,unicast_delivery_delay_s,20,5.35198625,1.941345483,4.443419038,6.260553462
smart-calm,unicast_ack_delay_s,20,6.30016325,2.110630814,5.312368975,7.287957525
smart-calm,p95_unicast_delivery_delay_s,20,15.3462532,0.244719572,15.231722231,15.460784169
smart-calm,p95_unicast_ack_delay_s,20,18.19917,5.115913952,15.804876086,20.593463914
smart-calm,tx_count,20,5449.7,574.83646187,5180.671346399,5718.728653601
smart-calm,data_tx,20,4584.35,563.890832567,4320.443999727,4848.256000273
smart-calm,control_tx,20,865.35,93.536525373,821.574061706,909.125938294
smart-calm,ack_tx,20,104.95,13.296121318,98.72729519,111.17270481
smart-calm,total_airtime_s,20,1344.8987648,141.860441406,1278.50679755,1411.29073205
smart-calm,channel_busy_time_s,20,225.9537043,22.264937028,215.53351277,236.37389583
smart-calm,channel_busy_ratio,20,0.18829475,0.018554094,0.179611267,0.196978233
smart-calm,tx_energy_j,20,532.57991075,56.176734705,506.288691762,558.871129738
smart-calm,rx_energy_j,20,1721.5766392,181.894749905,1636.448254155,1806.705024245
smart-calm,total_energy_j,20,2254.15654995,237.821273735,2142.854046865,2365.459053035
smart-calm,energy_per_delivery_j,20,0.47586665,0.05478812,0.450225315,0.501507985
smart-calm,airtime_per_delivery_s,20,0.283967,0.033106891,0.268472676,0.299461324
smart-calm,rx_attempts,20,267030.4,28172.178266024,253845.566241789,280215.233758211
smart-calm,packet_reception_ratio,20,0.07062935,0.008475101,0.066662926,0.074595774
smart-calm,collision_fail,20,125389.5,15631.493135065,118073.820096504,132705.179903496
smart-calm,collision_rate,20,0.46884745,0.018162091,0.460347428,0.477347472
smart-calm,duplicate_rx,20,2975.05,539.846418218,2722.397002707,3227.702997293
smart-calm,suppressed_forwards,20,1599.65,256.45914315,1479.624805772,1719.675194228
smart-calm,route_cache_hits,20,67.45,17.309793395,59.348860424,75.551139576
