protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
smart-calm-no-confidence,6,600.0,9,9,0,0.222222,0.444444,0.0,2.831616,2.861169,2.831616,4.140824,2.831616,4,2,0,211,20,191,7,15.178496,10.402672,0.017338,6.010684,9.332964,15.343649,7.671824,7.589248,2.861169,1213,2796,4009,0.302569,1989,0.496134,630,28,171,13,9,4,0,9,13,1,0.553001,0.905213,5,29,-5.480371,2,3,2,4,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,4,4,0.4444444444444444,0.07602339181286549,0,2.0,0.0004032671772601017,0.19085576660912773,0.9778438581084028,0.999998384159477,0.9999999999117597,0.5368421052631579,0.32105263157894737
meshtastic-like,7,600.0,5,5,0,0.8,1.0,0.0,0.143872,0.243311,0.143872,0.757434,0.143872,5,4,0,34,29,5,5,2.445824,2.248859,0.003748,0.968546,1.559977,2.528523,0.632131,0.611456,0.243311,337,309,646,0.521672,158,0.244582,179,80,0,0,0,0,0,0,0,0,0.0,0.147059,0,0,0.0,-1,0,0,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0,0.0,8.907520395322757e-05,0.21138103128142424,0.9769154715100734,0.9999827200618648,0.9999999998322446,0.531578947368421,0.2894736842105263
meshcore-like,7,600.0,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,102,2,100,0,7.337472,4.935397,0.008226,2.905639,4.501438,7.407077,0.0,0.0,0.0,555,1383,1938,0.286378,1008,0.520124,341,0,95,5,5,2,0,5,0,0,0.0,0.980392,0,0,0.0,-1,0,0,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,0,0.4,0.05263157894736842,0,1.0,8.907520395322757e-05,0.21138103128142424,0.9769154715100734,0.9999827200618648,0.9999999998322446,0.531578947368421,0.2894736842105263
calm-mesh,7,600.0,5,5,0,1.0,1.0,0.0,2.431616,2.287744,2.431616,2.287744,2.431616,5,5,0,125,10,115,10,8.992,6.60384,0.011006,3.560832,5.567503,9.128335,1.825667,1.7984,2.287744,905,1470,2375,0.381053,982,0.413474,338,0,95,10,5,5,0,5,0,0,0.835479,0.92,0,0,0.0,-1,0,0,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,5,5,1.0,0.10526315789473684,0,2.0,8.907520395322757e-05,0.21138103128142424,0.9769154715100734,0.9999827200618648,0.9999999998322446,0.531578947368421,0.2894736842105263
smart-calm,7,600.0,5,5,0,0.6,0.6,0.0,2.298283,2.154411,2.298283,2.287744,2.431616,3,3,0,116,6,110,6,8.344576,5.777014,0.009628,3.304452,5.161616,8.466068,2.822023,2.781525,2.154411,708,1496,2204,0.321234,1122,0.509074,313,0,95,9,5,3,0,5,0,0,0.837989,0.948276,2,25,3.501683,1,2,3,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,3,0.6,0.09473684210526316,0,2.0,8.907520395322757e-05,0.21138103128142424,0.9769154715100734,0.9999827200618648,0.9999999998322446,0.531578947368421,0.2894736842105263
smart-calm-static,7,600.0,5,5,0,1.0,1.0,0.0,2.431616,2.287744,2.431616,2.287744,2.431616,5,5,0,125,10,115,10,8.992,6.60384,0.011006,3.560832,5.567503,9.128335,1.825667,1.7984,2.287744,905,1470,2375,0.381053,982,0.413474,338,0,95,10,5,5,0,5,0,0,0.835479,0.92,0,0,0.0,1,0,5,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,5,5,1.0,0.10526315789473684,0,2.0,8.907520395322757e-05,0.21138103128142424,0.9769154715100734,0.9999827200618648,0.9999999998322446,0.531578947368421,0.2894736842105263
smart-calm-no-fallback,7,600.0,5,5,0,0.6,0.6,0.0,2.298283,2.154411,2.298283,2.287744,2.431616,3,3,0,116,6,110,6,8.344576,5.777014,0.009628,3.304452,5.161616,8.466068,2.822023,2.781525,2.154411,708,1496,2204,0.321234,1122,0.509074,313,0,95,9,5,3,0,5,0,0,0.837989,0.948276,2,25,3.501683,1,2,3,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,3,0.6,0.09473684210526316,0,2.0,8.907520395322757e-05,0.21138103128142424,0.9769154715100734,0.9999827200618648,0.9999999998322446,0.531578947368421,0.2894736842105263
smart-calm-no-confidence,7,600.0,5,5,0,0.4,0.4,0.0,2.615808,2.543872,2.615808,2.543872,2.615808,2,2,0,104,2,102,2,7.481344,5.11849,0.008531,2.962612,4.618803,7.581415,3.790707,3.740672,2.543872,573,1403,1976,0.28998,1053,0.532895,331,0,95,5,5,2,0,5,0,0,0.610526,0.980769,3,25,-0.337816,2,2,1,2,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,0,0.4,0.05263157894736842,0,1.0,8.907520395322757e-05,0.21138103128142424,0.9769154715100734,0.9999827200618648,0.9999999998322446,0.531578947368421,0.2894736842105263
meshtastic-like,8,600.0,3,3,0,0.666667,1.0,0.0,1.883064,1.18344,1.883064,1.780054,1.929034,3,2,0,26,21,5,5,1.870336,1.798964,0.002998,0.740653,1.198101,1.938754,0.969377,0.935168,1.18344,265,229,494,0.536437,93,0.188259,135,48,0,0,0,0,0,0,0,0,0.0,0.192308,0,0,0.0,-1,0,0,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0416666666666665,1,0,0,0.0,0.0,0,0.0,0.0005973843246855374,0.19748990657380247,0.979144180231106,0.9999833058103802,0.9999999966209462,0.5526315789473685,0.32105263157894737
meshcore-like,8,600.0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,61,0,61,0,4.388096,3.219019,0.005365,1.737686,2.738517,4.476203,0.0,0.0,0.0,337,822,1159,0.290768,623,0.537532,244,0,57,4,3,0,0,3,0,0,0.0,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0416666666666665,1,0,0,0.0,0.07017543859649122,0,0.0,0.0005973843246855374,0.19748990657380247,0.979144180231106,0.9999833058103802,0.9999999966209462,0.5526315789473685,0.32105263157894737
