protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshcore-like,9,600.0,46,23,23,0.347826,0.391304,1.0,0.287744,0.215808,0.287744,0.215808,0.287744,9,8,1127,2230,1160,1070,9,160.41728,70.173626,0.116956,63.525243,255.300711,318.825954,0.280904,0.141337,0.551279,13043,96129,109172,0.119472,81975,0.750879,9556,0,1033,28,22,10,0,23,0,0,0.0,0.479821,0,0,0.0,-1,0,0,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,10,0,0.45454545454545453,0.027105517909002903,0,1.0,1.2821855084106792e-05,0.008149971114241199,0.7087181868474277,0.999222533247899,0.9999999968351604,0.6563265306122449,0.4661224489795918
calm-mesh,9,600.0,46,23,23,0.565217,0.565217,0.993789,2.167099,2.056428,2.167099,2.287744,2.431616,13,13,1120,1486,403,1083,20,106.896896,52.997639,0.088329,42.331171,171.194001,213.525172,0.18846,0.094349,0.568015,10957,61759,72716,0.150682,51360,0.706309,6827,1032,1032,31,22,15,1,22,0,0,0.858212,0.728802,0,0,0.0,-1,0,0,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,15,8,0.6818181818181818,0.030038759689922482,0,1.5333333333333334,1.2821855084106792e-05,0.008149971114241199,0.7087181868474277,0.999222533247899,0.9999999968351604,0.6563265306122449,0.4661224489795918
smart-calm,9,600.0,46,23,23,0.608696,0.652174,0.997338,2.564197,2.540287,2.564197,3.248061,2.907149,15,14,1124,1484,382,1102,29,106.753024,53.349514,0.088916,42.274198,170.80523,213.079427,0.18724,0.093808,0.55154,11493,60880,72373,0.158802,49719,0.686983,6857,1087,1036,37,22,18,1,22,10,0,0.840557,0.742588,3,42,17.711286,2,1,8,14,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,18,11,0.8181818181818182,0.03571428571428571,0,1.7222222222222223,1.2821855084106792e-05,0.008149971114241199,0.7087181868474277,0.999222533247899,0.9999999968351604,0.6563265306122449,0.4661224489795918
smart-calm-static,9,600.0,46,23,23,0.565217,0.565217,0.993789,2.167099,2.056428,2.167099,2.287744,2.431616,13,13,1120,1486,403,1083,20,106.896896,52.997639,0.088329,42.331171,171.194001,213.525172,0.18846,0.094349,0.568015,10957,61759,72716,0.150682,51360,0.706309,6827,1032,1032,31,22,15,1,22,0,0,0.858212,0.728802,0,0,0.0,1,0,23,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,15,8,0.6818181818181818,0.030038759689922482,0,1.5333333333333334,1.2821855084106792e-05,0.008149971114241199,0.7087181868474277,0.999222533247899,0.9999999968351604,0.6563265306122449,0.4661224489795918
smart-calm-no-fallback,9,600.0,46,23,23,0.565217,0.565217,0.997338,2.543626,2.399754,2.543626,2.745293,2.917939,13,13,1124,1470,376,1094,26,105.74592,52.279091,0.087132,41.875384,169.145004,211.020388,0.185594,0.093004,0.544545,11118,60863,71981,0.154457,49881,0.692975,6677,1053,1032,36,22,17,1,22,0,0,0.839528,0.744218,3,42,14.386372,2,1,8,14,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,17,10,0.7727272727272727,0.03488372093023256,0,1.7058823529411764,1.2821855084106792e-05,0.008149971114241199,0.7087181868474277,0.999222533247899,0.9999999968351604,0.6563265306122449,0.4661224489795918
smart-calm-no-confidence,9,600.0,46,23,23,0.652174,0.73913,0.998225,2.558389,2.702922,2.558389,4.474772,3.058454,17,15,1125,1540,449,1091,25,110.78144,55.172779,0.091955,43.86945,177.306763,221.176213,0.194014,0.097177,0.582303,11761,63601,75362,0.15606,52354,0.6947,7213,1156,1036,30,22,16,1,22,37,0,0.802255,0.708442,3,42,19.55313,2,1,7,15,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,16,8,0.7272727272727273,0.02895752895752896,0,1.5,1.2821855084106792e-05,0.008149971114241199,0.7087181868474277,0.999222533247899,0.9999999968351604,0.6563265306122449,0.4661224489795918
meshtastic-like,10,600.0,47,24,23,0.75,1.0,0.997338,0.392504,0.621924,0.392504,2.021197,1.720267,24,18,1124,647,616,31,31,46.542592,34.25327,0.057089,18.430866,76.336167,94.767033,0.082983,0.040755,0.599619,9536,22167,31703,0.300792,15331,0.483582,6465,2123,0,0,0,0,0,0,0,0,0.0,0.047913,0,0,0.0,-1,0,0,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,0,0,0.0,0.0,0,0.0,7.145066152545003e-05,0.04894067431916811,0.8943228791462428,0.9998000878866948,0.9999999995514914,0.6089795918367347,0.39591836734693875
meshcore-like,10,600.0,47,24,23,0.541667,0.541667,1.0,0.287744,0.215808,0.287744,0.215808,0.287744,13,13,1127,2384,1166,1218,13,171.495424,75.248433,0.125414,67.912188,272.074129,339.986317,0.298234,0.150435,0.533578,14445,102371,116816,0.123656,85835,0.734788,10312,0,1171,34,24,15,0,24,0,0,0.0,0.510906,0,0,0.0,-1,0,0,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,15,2,0.625,0.029035012809564473,0,1.2666666666666666,7.145066152545003e-05,0.04894067431916811,0.8943228791462428,0.9998000878866948,0.9999999995514914,0.6089795918367347,0.39591836734693875
calm-mesh,10,600.0,47,24,23,0.458333,0.5,0.992014,2.294284,2.191829,2.294284,2.287744,2.431616,12,11,1118,1694,470,1224,16,121.859584,57.39541,0.095659,48.256395,194.001937,242.258333,0.214578,0.107936,0.538492,11895,71111,83006,0.143303,58941,0.710081,7837,1027,1173,35,24,19,0,24,0,0,0.864438,0.72255,0,0,0.0,-1,0,0,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,19,9,0.7916666666666666,0.029838022165387893,0,1.5263157894736843,7.145066152545003e-05,0.04894067431916811,0.8943228791462428,0.9998000878866948,0.9999999995514914,0.6089795918367347,0.39591836734693875
smart-calm,10,600.0,47,24,23,0.625,0.666667,0.996451,2.866662,2.770056,2.866662,3.790704,3.9392,16,15,1123,1699,467,1232,23,122.219264,60.382249,0.100637,48.398829,195.248941,243.647769,0.214102,0.107398,0.515858,12763,70488,83251,0.153307,58641,0.704388,7984,1126,1174,35,24,17,0,24,39,0,0.866151,0.725132,5,44,19.435645,2,3,3,18,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,17,6,0.7083333333333334,0.029812606473594547,0,1.4705882352941178,7.145066152545003e-05,0.04894067431916811,0.8943228791462428,0.9998000878866948,0.9999999995514914,0.6089795918367347,0.39591836734693875
smart-calm-static,10,600.0,47,24,23,0.458333,0.5,0.992014,2.294284,2.191829,2.294284,2.287744,2.431616,12,11,1118,1694,470,1224,16,121.859584,57.39541,0.095659,48.256395,194.001937,242.258333,0.214578,0.107936,0.538492,11895,71111,83006,0.143303,58941,0.710081,7837,1027,1173,35,24,19,0,24,0,0,0.864438,0.72255,0,0,0.0,1,0,24,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,19,9,0.7916666666666666,0.029838022165387893,0,1.5263157894736843,7.145066152545003e-05,0.04894067431916811,0.8943228791462428,0.9998000878866948,0.9999999995514914,0.6089795918367347,0.39591836734693875
smart-calm-no-fallback,10,600.0,47,24,23,0.541667,0.625,0.991127,2.66561,2.591829,2.66561,2.730906,2.917939,15,13,1117,1629,404,1225,20,117.183744,56.315911,0.09386,46.404763,186.629947,233.03471,0.206225,0.103702,0.511808,11978,67843,79821,0.150061,56302,0.705353,7478,1027,1173,32,24,17,0,24,0,0,0.87535,0.751995,3,44,13.692577,2,2,3,19,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,17,5,0.7083333333333334,0.027280477408354646,0,1.3529411764705883,7.145066152545003e-05,0.04894067431916811,0.8943228791462428,0.9998000878866948,0.9999999995514914,0.6089795918367347,0.39591836734693875
smart-calm-no-confidence,10,600.0,47,24,23,0.5,0.583333,0.989352,2.714787,2.673974,2.714787,3.249182,3.171874,14,12,1115,1667,493,1174,18,119.917312,57.015691,0.095026,47.487256,190.573901,238.061156,0.211234,0.106404,0.492626,11836,69847,81683,0.144902,57656,0.705851,7574,1148,1127,29,24,16,0,24,72,1,0.830684,0.704259,5,43,10.992737,2,2,3,19,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,16,4,0.6666666666666666,0.025732031943212066,0,1.25,7.145066152545003e-05,0.04894067431916811,0.8943228791462428,0.9998000878866948,0.9999999995514914,0.6089795918367347,0.39591836734693875
