protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,202,98,104,0.693878,0.908163,0.922096,0.750375,1.17045,0.750375,5.57197,2.951486,89,68,4699,7595,7483,112,112,1874.32448,297.93511,0.248279,742.232494,2491.350601,3233.583095,0.678327,0.393187,0.870853,18264,353891,372155,0.049076,204841,0.550419,5350,3278,0,0,0,0,0,0,0,0,0.0,0.014747,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,202,98,104,0.408163,0.469388,0.94427,0.886755,0.686372,0.886755,2.493568,2.740352,46,40,4812,5647,4953,694,46,1393.589248,208.18779,0.17349,551.861342,1765.092882,2316.954224,0.477526,0.28722,0.75413,13936,262767,276703,0.050364,130898,0.473063,3826,0,636,12,13,9,52,46,0,0,0.0,0.122897,0,0,0.0,-1,0,0,0
calm-mesh,1,1200.0,202,98,104,0.489796,0.561224,0.915228,0.91484,0.682154,0.91484,2.493568,2.740352,55,48,4664,4866,4122,744,55,1200.850944,194.699718,0.16225,475.536974,1545.087483,2020.624457,0.428825,0.25485,0.664487,13857,224577,238434,0.058117,116469,0.488475,2777,1514,676,13,14,11,61,37,27,6,0.945833,0.152898,0,0,0.0,-1,0,0,0
smart-calm,1,1200.0,202,98,104,0.846939,0.918367,0.94898,10.224661,8.908201,10.224661,15.246784,28.993568,90,83,4836,5053,4404,649,97,1246.999552,221.847671,0.184873,493.811823,1613.1073,2106.919123,0.428323,0.253507,0.765902,17809,229788,247597,0.071927,119271,0.481714,3213,1583,540,12,12,7,48,50,82,4,0.940227,0.128439,3,136,121.952085,0,97,0,1
smart-calm-static,1,1200.0,202,98,104,0.846939,0.938776,0.908556,7.963138,7.22492,7.963138,15.246784,15.493568,92,83,4630,5860,5105,755,103,1446.15424,232.41334,0.193678,572.677079,1837.776532,2410.453611,0.511448,0.306844,0.742396,18138,269002,287140,0.063168,133604,0.465292,3125,1670,639,13,14,11,61,37,954,6,0.932183,0.12884,0,0,0.0,1,0,98,0
smart-calm-no-fallback,1,1200.0,202,98,104,0.489796,0.5,0.94741,6.960941,4.17088,6.960941,24.246784,30.493568,49,48,4828,5031,4374,657,56,1241.570304,190.162162,0.158468,491.66184,1570.822444,2062.484284,0.422987,0.254629,0.557001,13619,232900,246519,0.055245,114791,0.465648,2711,1340,588,13,12,7,45,53,0,4,0.912215,0.13059,5,133,12.329234,0,30,26,42
smart-calm-no-confidence,1,1200.0,202,98,104,0.846939,0.918367,0.94898,10.224661,8.908201,10.224661,15.246784,28.993568,90,83,4836,5053,4404,649,97,1246.999552,221.847671,0.184873,493.811823,1613.1073,2106.919123,0.428323,0.253507,0.765902,17809,229788,247597,0.071927,119271,0.481714,3213,1583,540,12,12,7,48,50,82,4,0.940227,0.128439,3,136,117.681143,0,97,0,1
meshtastic-like,2,1200.0,205,109,96,0.706422,0.899083,0.903912,0.711378,0.755523,0.711378,3.368627,2.173543,98,77,4252,7650,7531,119,119,1887.8976,303.40532,0.252838,747.60745,2487.668186,3235.275636,0.747349,0.436105,0.799904,19331,355470,374801,0.051577,201170,0.536738,5806,3463,0,0,0,0,0,0,0,0,0.0,0.015556,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,205,109,96,0.458716,0.495413,0.927083,0.900495,0.623568,0.900495,2.493568,2.740352,54,50,4361,5163,4491,672,54,1274.145792,171.432856,0.142861,504.561734,1575.914074,2080.475808,0.471656,0.288856,0.535568,12901,240086,252987,0.050995,110619,0.437252,2378,0,607,11,13,9,54,55,0,0,0.0,0.130157,0,0,0.0,-1,0,0,0
calm-mesh,2,1200.0,205,109,96,0.449541,0.53211,0.904549,0.763648,0.640937,0.763648,2.493568,2.740352,58,49,4255,4569,3923,646,58,1127.556096,164.309829,0.136925,446.512214,1409.593079,1856.105293,0.431251,0.261979,0.469862,12708,211173,223881,0.056762,100825,0.450351,2236,1226,575,13,16,9,57,52,82,9,0.918326,0.141388,0,0,0.0,-1,0,0,0
smart-calm,2,1200.0,205,109,96,0.788991,0.880734,0.921556,11.704618,10.367302,11.704618,16.55559,17.931923,96,86,4335,6307,5399,908,117,1556.466688,254.539796,0.212116,616.360808,2003.015451,2619.376259,0.592485,0.352062,0.896255,18293,290701,308994,0.059202,151533,0.490408,3573,1959,776,15,20,9,28,81,1635,13,0.936609,0.143967,8,148,97.232562,0,35,4,70
smart-calm-static,2,1200.0,205,109,96,0.752294,0.844037,0.891156,12.849747,11.913073,12.849747,15.644962,16.853294,92,82,4192,6958,6337,621,97,1717.123072,251.451512,0.209543,679.980737,2177.909174,2857.88991,0.668669,0.40176,0.918958,16880,323719,340599,0.04956,162727,0.477767,3480,2112,514,10,14,3,21,88,2630,7,0.886778,0.08925,0,0,0.0,1,0,109,0
