protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,117,55,62,0.854545,0.981818,0.946346,0.493568,0.632861,0.493568,3.848123,0.493568,54,47,2875,4680,4622,58,58,1154.94912,167.716612,0.139764,457.359852,1514.898394,1972.258245,0.674969,0.39526,0.572455,10988,218332,229320,0.047916,121366,0.529243,3075,1875,0,0,0,0,0,0,0,0,0.0,0.012393,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,117,55,62,0.8,0.872727,0.934826,1.208454,0.948904,1.208454,2.493568,2.740352,48,44,2840,3749,2951,798,48,925.193216,126.476643,0.105397,366.376514,1151.043956,1517.420469,0.526151,0.320802,0.463884,10608,173093,183701,0.057746,80172,0.436427,1840,0,735,15,15,15,39,16,0,0,0.0,0.212857,0,0,0.0,-1,0,0,0
etx-mesh,1,1200.0,117,55,62,0.8,0.872727,0.934496,1.208454,0.948904,1.208454,2.493568,2.740352,48,44,2839,3284,2485,799,48,810.438656,125.220116,0.10435,320.933708,1042.668565,1363.602272,0.47298,0.281109,0.478365,10758,150158,160916,0.066855,76968,0.478312,1963,977,736,15,16,15,38,17,0,8,0.469853,0.243301,0,0,0.0,-1,0,0,0
ett-mesh,1,1200.0,117,55,62,0.8,0.872727,0.934496,1.208454,0.948904,1.208454,2.493568,2.740352,48,44,2839,3284,2485,799,48,810.438656,125.220116,0.10435,320.933708,1042.668565,1363.602272,0.47298,0.281109,0.478365,10758,150158,160916,0.066855,76968,0.478312,1963,977,736,15,16,15,38,17,0,8,0.771917,0.243301,0,0,0.0,-1,0,0,0
minhop-mesh,1,1200.0,117,55,62,0.8,0.872727,0.934496,1.208454,0.948904,1.208454,2.493568,2.740352,48,44,2839,3284,2485,799,48,810.438656,125.220116,0.10435,320.933708,1042.668565,1363.602272,0.47298,0.281109,0.478365,10758,150158,160916,0.066855,76968,0.478312,1963,977,736,15,16,15,38,17,0,8,0.949854,0.243301,0,0,0.0,-1,0,0,0
meshecho,1,1200.0,117,55,62,0.745455,0.8,0.94865,1.205963,0.96167,1.205963,2.493568,2.740352,44,41,2882,3364,2570,794,44,830.181376,121.655091,0.101379,328.751825,1042.760835,1371.51266,0.469214,0.284017,0.488516,10179,154657,164836,0.061752,73642,0.446759,1727,898,735,15,15,14,37,18,0,7,0.949392,0.236029,0,0,0.0,-1,0,0,0
meshtastic-like,2,1200.0,125,69,56,0.782609,0.913043,0.960277,0.5587,0.392407,0.5587,1.5939,0.509068,63,54,2635,4769,4703,66,66,1176.912896,176.275086,0.146896,466.057507,1545.968242,2012.025749,0.748243,0.437677,0.60933,12183,221498,233681,0.052135,123334,0.527788,3677,2271,0,0,0,0,0,0,0,0,0.0,0.013839,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,125,69,56,0.318841,0.347826,0.981414,1.006214,0.810325,1.006214,2.493568,2.740352,24,22,2693,3287,2772,515,24,811.179008,109.025278,0.090854,321.226887,1007.060706,1328.287593,0.48924,0.298777,0.470665,7930,153133,161063,0.049235,71182,0.441951,2089,0,481,10,11,6,19,50,0,0,0.0,0.156678,0,0,0.0,-1,0,0,0
etx-mesh,2,1200.0,125,69,56,0.362319,0.391304,0.951531,0.942925,0.662855,0.942925,2.493568,2.740352,27,25,2611,2925,2223,702,27,721.8432,113.70921,0.094758,285.849907,944.652586,1230.502493,0.466807,0.27384,0.446049,8271,135054,143325,0.057708,73664,0.513965,2021,915,665,10,15,5,24,45,0,8,0.468069,0.24,0,0,0.0,-1,0,0,0
ett-mesh,2,1200.0,125,69,56,0.362319,0.391304,0.951531,0.942925,0.662855,0.942925,2.493568,2.740352,27,25,2611,2925,2223,702,27,721.8432,113.70921,0.094758,285.849907,944.652586,1230.502493,0.466807,0.27384,0.446049,8271,135054,143325,0.057708,73664,0.513965,2021,915,665,10,15,5,24,45,0,8,0.771883,0.24,0,0,0.0,-1,0,0,0
minhop-mesh,2,1200.0,125,69,56,0.362319,0.391304,0.951531,0.942925,0.662855,0.942925,2.493568,2.740352,27,25,2611,2925,2223,702,27,721.8432,113.70921,0.094758,285.849907,944.652586,1230.502493,0.466807,0.27384,0.446049,8271,135054,143325,0.057708,73664,0.513965,2021,915,665,10,15,5,24,45,0,8,0.943026,0.24,0,0,0.0,-1,0,0,0
meshecho,2,1200.0,125,69,56,0.376812,0.42029,0.968659,1.002565,0.780601,1.002565,2.493568,2.740352,29,26,2658,3020,2397,623,29,745.28768,107.271488,0.089393,295.133921,944.325447,1239.459368,0.461796,0.277678,0.431761,8231,139749,147980,0.055622,69004,0.466306,1849,816,583,11,14,6,24,45,49,6,0.944175,0.206291,0,0,0.0,-1,0,0,0
