protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
smart-calm-no-confidence,4,600.0,5,5,0,0.4,0.6,0.0,8.85968,11.026384,8.85968,15.59717,14.644938,3,2,0,274,15,259,5,19.710464,8.941471,0.014902,7.805344,31.41715,39.222493,19.611247,9.855232,11.026384,1819,11607,13426,0.135483,9865,0.734768,1067,12,245,9,5,2,0,5,10,0,0.681109,0.945255,2,24,-1.09056,1,2,3,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.4,0.036734693877551024,2.0,0.00010721307469971633,0.062019042666890095,0.9398309086977615,0.9999664602671114,0.9999999999273879,0.5689795918367347,0.3689795918367347
meshtastic-like,5,600.0,3,3,0,0.0,1.0,0.0,0.0,0.790785,0.0,1.341559,0.0,3,0,0,38,34,4,4,2.733568,2.004577,0.003341,1.082493,4.486767,5.56926,0.0,0.0,0.790785,648,1214,1862,0.348013,875,0.469925,432,138,0,0,0,0,0,0,0,0,0.0,0.105263,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0.0,0.00010711304300321068,0.06900627326187887,0.9489984284749405,0.9999569579892038,0.999999999956876,0.5730612244897959,0.35183673469387755
meshcore-like,5,600.0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,151,0,151,0,10.862336,4.057094,0.006762,4.301485,17.044824,21.34631,0.0,0.0,0.0,850,6549,7399,0.11488,5500,0.743344,630,0,147,4,3,0,0,3,0,0,0.0,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.027210884353741496,0.0,0.00010711304300321068,0.06900627326187887,0.9489984284749405,0.9999569579892038,0.999999999956876,0.5730612244897959,0.35183673469387755
calm-mesh,5,600.0,3,3,0,0.333333,0.666667,0.0,2.431616,2.287744,2.431616,2.287744,2.431616,2,1,0,162,5,157,4,11.653632,4.853341,0.008089,4.614838,18.467875,23.082714,23.082714,11.653632,2.287744,1078,6860,7938,0.135802,5898,0.743008,518,0,147,6,3,3,0,3,0,0,0.794998,0.969136,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,3,1.0,0.04081632653061224,2.0,0.00010711304300321068,0.06900627326187887,0.9489984284749405,0.9999569579892038,0.999999999956876,0.5730612244897959,0.35183673469387755
smart-calm,5,600.0,3,3,0,0.666667,0.666667,0.0,8.787744,8.67984,8.787744,14.432726,14.508259,2,2,0,159,4,155,3,11.437824,4.856291,0.008094,4.529378,18.010641,22.540019,11.27001,5.718912,8.67984,1065,6726,7791,0.136696,5559,0.713516,582,0,147,5,3,1,0,3,2,0,0.797436,0.974843,4,23,1.751787,1,2,1,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,1,1,0.3333333333333333,0.034013605442176874,2.0,0.00010711304300321068,0.06900627326187887,0.9489984284749405,0.9999569579892038,0.999999999956876,0.5730612244897959,0.35183673469387755
smart-calm-static,5,600.0,3,3,0,1.0,1.0,0.0,11.716992,11.57312,11.716992,27.358259,27.502131,3,3,0,167,8,159,6,12.013312,5.039235,0.008399,4.757272,19.010689,23.76796,7.922653,4.004437,11.57312,1243,6940,8183,0.1519,5817,0.710864,480,0,147,6,3,3,0,3,0,0,0.79415,0.952096,0,0,0.0,1,0,3,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,3,1.0,0.04081632653061224,2.0,0.00010711304300321068,0.06900627326187887,0.9489984284749405,0.9999569579892038,0.999999999956876,0.5730612244897959,0.35183673469387755
smart-calm-no-fallback,5,600.0,3,3,0,0.333333,0.333333,0.0,15.287744,15.143872,15.287744,15.143872,15.287744,1,1,0,157,3,154,2,11.293952,4.651889,0.007753,4.472405,17.741679,22.214084,22.214084,11.293952,15.143872,942,6751,7693,0.122449,5664,0.736254,558,0,147,5,3,1,0,3,0,0,0.79652,0.980892,8,23,-2.853954,1,2,1,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,1,1,0.3333333333333333,0.034013605442176874,2.0,0.00010711304300321068,0.06900627326187887,0.9489984284749405,0.9999569579892038,0.999999999956876,0.5730612244897959,0.35183673469387755
smart-calm-no-confidence,5,600.0,3,3,0,0.666667,0.666667,0.0,8.787744,8.67984,8.787744,14.432726,14.508259,2,2,0,159,4,155,3,11.437824,4.856291,0.008094,4.529378,18.010641,22.540019,11.27001,5.718912,8.67984,1051,6740,7791,0.134899,5561,0.713772,582,0,147,5,3,1,0,3,2,0,0.727216,0.974843,4,23,1.729308,1,2,1,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,1,1,0.3333333333333333,0.034013605442176874,2.0,0.00010711304300321068,0.06900627326187887,0.9489984284749405,0.9999569579892038,0.999999999956876,0.5730612244897959,0.35183673469387755
meshtastic-like,6,600.0,9,9,0,0.222222,1.0,0.0,1.436142,1.233557,1.436142,2.789119,1.447719,9,2,0,115,103,12,12,8.27264,6.320234,0.010534,3.275965,13.592337,16.868302,8.434151,4.13632,1.233557,1933,3702,5635,0.343035,2718,0.482343,1206,406,0,0,0,0,0,0,0,0,0.0,0.104348,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0.0,0.0002214428874110822,0.13685947178757818,0.9785413087429581,0.9999716720776711,0.9999999999166334,0.5346938775510204,0.32326530612244897
meshcore-like,6,600.0,9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,454,0,454,0,32.658944,13.936187,0.023227,12.932942,51.87534,64.808282,0.0,0.0,0.0,2764,19482,22246,0.124247,16776,0.754113,2106,0,441,13,9,0,0,9,0,0,0.0,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.02947845804988662,0.0,0.0002214428874110822,0.13685947178757818,0.9785413087429581,0.9999716720776711,0.9999999999166334,0.5346938775510204,0.32326530612244897
