protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshecho-no-hop-penalty,14,600.0,11,7,4,0.857143,1.0,0.994898,2.467584,2.3523,2.467584,2.546519,2.593472,7,6,195,504,135,369,14,36.255744,12.14386,0.02024,14.357275,55.829074,70.186349,0.349186,0.180377,0.180381,3890,20806,24696,0.157515,16966,0.686994,1400,220,342,13,7,6,0,7,21,1,0.82,0.732143,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,6,6,0.8571428571428571,0.038011695906432746,0,2.1666666666666665,0.8484655031870102,0.9997014577003167,0.9999990015403569,0.9999999987337216,0.9999999999999878,0.1110204081632653,0.024489795918367346
meshecho-no-age-penalty,14,600.0,11,7,4,0.857143,1.0,0.994898,2.431616,2.331747,2.431616,2.503357,2.431616,7,6,195,502,134,368,13,36.111872,11.976366,0.019961,14.300301,55.572338,69.87264,0.347625,0.179661,0.179669,3789,20809,24598,0.154037,16950,0.68908,1443,220,343,12,7,6,0,7,21,1,0.795,0.733068,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,6,6,0.8571428571428571,0.03498542274052478,0,2.0,0.8484655031870102,0.9997014577003167,0.9999990015403569,0.9999999987337216,0.9999999999999878,0.1110204081632653,0.024489795918367346
meshecho,15,600.0,13,11,2,0.818182,0.818182,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,9,9,98,630,51,579,18,45.31968,16.175325,0.026959,17.946593,69.863975,87.810568,0.82066,0.423548,0.270199,5441,25429,30870,0.176255,20532,0.665112,2054,95,539,22,11,11,0,11,0,0,0.790772,0.919048,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,11,11,1.0,0.04081632653061224,0,2.0,0.4125062614339367,0.9982433991681242,0.9999929860225734,0.9999999889429209,0.9999999999999762,0.1836734693877551,0.0563265306122449
meshecho-no-confidence,15,600.0,13,11,2,0.636364,0.636364,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,7,7,98,617,46,571,14,44.384512,15.227699,0.025379,17.576267,68.316224,85.89249,0.818024,0.42271,0.23177,4844,25389,30233,0.160222,20554,0.679853,2078,96,539,18,11,8,0,11,0,0,0.739017,0.925446,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,8,7,0.7272727272727273,0.03339517625231911,0,1.875,0.4125062614339367,0.9982433991681242,0.9999929860225734,0.9999999889429209,0.9999999999999762,0.1836734693877551,0.0563265306122449
meshecho-no-fallback,15,600.0,13,11,2,0.818182,0.818182,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,9,9,98,630,51,579,18,45.31968,16.175325,0.026959,17.946593,69.863975,87.810568,0.82066,0.423548,0.270199,5441,25429,30870,0.176255,20532,0.665112,2054,95,539,22,11,11,0,11,0,0,0.790772,0.919048,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,11,11,1.0,0.04081632653061224,0,2.0,0.4125062614339367,0.9982433991681242,0.9999929860225734,0.9999999889429209,0.9999999999999762,0.1836734693877551,0.0563265306122449
meshecho-no-hop-penalty,15,600.0,13,11,2,0.727273,0.727273,1.0,2.512544,2.341696,2.512544,2.431616,2.647424,8,8,98,638,57,581,19,45.895168,16.669069,0.027782,18.174487,70.829791,89.004278,0.839663,0.432973,0.243239,5314,25948,31262,0.169983,21059,0.673629,1958,95,539,23,11,9,0,11,0,0,0.82,0.910658,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,9,9,0.8181818181818182,0.04267161410018553,0,2.3333333333333335,0.4125062614339367,0.9982433991681242,0.9999929860225734,0.9999999889429209,0.9999999999999762,0.1836734693877551,0.0563265306122449
meshecho-no-age-penalty,15,600.0,13,11,2,0.818182,0.818182,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,9,9,98,630,51,579,18,45.31968,16.175325,0.026959,17.946593,69.863975,87.810568,0.82066,0.423548,0.270199,5441,25429,30870,0.176255,20532,0.665112,2054,95,539,22,11,11,0,11,0,0,0.790772,0.919048,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,11,11,1.0,0.04081632653061224,0,2.0,0.4125062614339367,0.9982433991681242,0.9999929860225734,0.9999999889429209,0.9999999999999762,0.1836734693877551,0.0563265306122449
meshecho,16,600.0,11,5,6,0.6,0.6,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,3,3,294,421,160,261,6,30.285056,9.88266,0.016471,11.992882,46.542567,58.535449,0.197089,0.10197,0.107689,2712,17917,20629,0.131465,14675,0.711377,1120,252,245,10,5,5,0,5,0,0,0.795,0.619952,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,5,5,1.0,0.04081632653061224,0,2.0,0.785509273222936,0.9996197333649399,0.9999983350120036,0.9999999974526794,0.999999999999907,0.12816326530612246,0.031020408163265307
meshecho-no-confidence,16,600.0,11,5,6,0.2,0.2,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,1,1,294,403,148,255,2,28.990208,8.876288,0.014794,11.480122,44.483789,55.963911,0.189708,0.098272,0.097243,2301,17446,19747,0.116524,14275,0.722895,1155,262,245,8,5,4,0,5,0,0,0.740693,0.632754,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,4,3,0.8,0.0326530612244898,0,1.75,0.785509273222936,0.9996197333649399,0.9999983350120036,0.9999999974526794,0.999999999999907,0.12816326530612246,0.031020408163265307
meshecho-no-fallback,16,600.0,11,5,6,0.6,0.6,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,3,3,294,421,160,261,6,30.285056,9.88266,0.016471,11.992882,46.542567,58.535449,0.197089,0.10197,0.107689,2712,17917,20629,0.131465,14675,0.711377,1120,252,245,10,5,5,0,5,0,0,0.795,0.619952,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,5,5,1.0,0.04081632653061224,0,2.0,0.785509273222936,0.9996197333649399,0.9999983350120036,0.9999999974526794,0.999999999999907,0.12816326530612246,0.031020408163265307
