protocol,metric,n,mean,sd,ci95_low,ci95_high
meshcore-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshcore-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,20,0.18716365,0.032812798,0.171806964,0.202520336
meshcore-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
etx-mesh,unicast_pdr,20,0.71230965,0.150038168,0.642090433,0.782528867
etx-mesh,destination_unicast_pdr,20,0.7433454,0.154867157,0.670866172,0.815824628
etx-mesh,broadcast_coverage,20,0.9707834,0.022362739,0.960317436,0.981249364
etx-mesh,avg_delay_s,20,1.07492565,0.099424345,1.028394159,1.121457141
etx-mesh,mean_delivery_delay_s,20,0.42896695,0.099523449,0.382389077,0.475544823
etx-mesh,unicast_delivery_delay_s,20,0.82985835,0.095852194,0.784998658,0.874718042
etx-mesh,unicast_ack_delay_s,20,1.07492565,0.099424345,1.028394159,1.121457141
etx-mesh,p95_unicast_delivery_delay_s,20,2.493568,0.0,2.493568,2.493568
etx-mesh,p95_unicast_ack_delay_s,20,2.740352,0.0,2.740352,2.740352
etx-mesh,tx_count,20,3296.2,344.471311157,3134.984316598,3457.415683402
etx-mesh,data_tx,20,2521.15,322.079146043,2370.414052021,2671.885947979
etx-mesh,control_tx,20,775.05,76.728828728,739.140215471,810.959784529
etx-mesh,ack_tx,20,46.0,10.310954828,41.174380056,50.825619944
etx-mesh,total_airtime_s,20,813.4494208,85.010008053,773.663969587,853.234872013
etx-mesh,channel_busy_time_s,20,123.002495,13.593146302,116.640779816,129.364210184
etx-mesh,channel_busy_ratio,20,0.10250205,0.011327663,0.097200601,0.107803499
etx-mesh,tx_energy_j,20,322.1259707,33.66396322,306.370932005,337.881009395
etx-mesh,rx_energy_j,20,1041.2660596,111.13032033,989.256066436,1093.276052764
etx-mesh,total_energy_j,20,1363.39203015,144.683423363,1295.678881859,1431.105178441
etx-mesh,energy_per_delivery_j,20,0.46578145,0.019741941,0.456542043,0.475020857
etx-mesh,airtime_per_delivery_s,20,0.2779885,0.012718396,0.272036176,0.283940824
etx-mesh,rx_attempts,20,161511.35,16883.605680239,153609.670121678,169413.029878322
etx-mesh,packet_reception_ratio,20,0.06449165,0.005907538,0.061726869,0.067256431
etx-mesh,collision_fail,20,76625.05,9235.210421192,72302.888150259,80947.211849741
etx-mesh,collision_rate,20,0.4738903,0.018202269,0.465371474,0.482409126
etx-mesh,duplicate_rx,20,1732.55,388.787518074,1550.593931688,1914.506068312
etx-mesh,suppressed_forwards,20,904.7,191.081437585,815.272162186,994.127837814
etx-mesh,route_cache_hits,20,38.25,9.019715248,34.028691837,42.471308163
etx-mesh,route_cache_misses,20,23.2,9.361736231,18.818622929,27.581377071
etx-mesh,fallback_forward_count,20,0.0,0.0,0.0,0.0
etx-mesh,route_repair_count,20,7.6,1.788854382,6.7628,8.4372
etx-mesh,mean_path_confidence,20,0.4680472,0.008293784,0.464165634,0.471928766
