protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio
meshcore-like,12,1200.0,134,134,0,0.880597,0.0,0.358262,1428,127,1301,352.407552,2.986505,9169,60803,27299,595,0,1274,27,97,37,0,0,0.0,0.911064
calm-mesh,12,1200.0,134,134,0,0.776119,0.0,0.555739,806,106,700,198.907904,1.912576,6635,32859,13582,195,0,686,14,94,40,0,6,0.945202,0.868486
meshtastic-like,13,1200.0,111,111,0,0.963964,0.0,0.515696,4298,4298,0,1060.677632,9.912875,7636,202966,110744,2410,1565,0,0,0,0,0,0,0.0,0.0
meshcore-like,13,1200.0,111,111,0,0.873874,0.0,0.373992,1491,103,1388,367.954944,3.79335,8025,65034,30367,566,0,1359,29,77,34,0,0,0.0,0.930919
calm-mesh,13,1200.0,111,111,0,0.891892,0.0,0.680706,997,196,801,246.043648,2.485289,6770,42083,17258,298,6,785,16,87,24,94,10,0.942697,0.80341
meshtastic-like,14,1200.0,125,125,0,0.952,0.0,0.520659,4987,4987,0,1230.711808,10.342116,8301,236062,126977,2435,1720,0,0,0,0,0,0,0.0,0.0
meshcore-like,14,1200.0,125,125,0,0.944,0.0,0.347171,1375,125,1250,339.328,2.875661,8676,58699,25817,376,0,1225,25,100,25,0,0,0.0,0.909091
calm-mesh,14,1200.0,125,125,0,0.68,0.0,0.589309,787,89,698,194.219008,2.28493,5644,32919,14315,211,0,684,14,78,47,0,6,0.951709,0.886912
meshtastic-like,15,1200.0,124,124,0,0.927419,0.0,0.471748,4762,4762,0,1175.185408,10.219004,7877,225461,116708,2281,1569,0,0,0,0,0,0,0.0,0.0
meshcore-like,15,1200.0,124,124,0,0.677419,0.0,0.360211,1097,94,1003,270.722048,3.222882,6604,47149,20423,276,0,981,22,70,54,0,0,0.0,0.914312
calm-mesh,15,1200.0,124,124,0,0.903226,0.0,0.747968,1157,220,937,285.529088,2.549367,7741,48952,24768,577,66,921,16,98,26,105,12,0.945833,0.809853
meshtastic-like,16,1200.0,129,129,0,0.937984,0.0,0.687435,4960,4960,0,1224.04864,10.116104,8913,234127,127512,3003,1848,0,0,0,0,0,0,0.0,0.0
meshcore-like,16,1200.0,129,129,0,0.75969,0.0,0.367658,1407,106,1301,347.225088,3.543113,7768,61175,27634,459,0,1274,27,81,48,0,0,0.0,0.924662
calm-mesh,16,1200.0,129,129,0,0.674419,0.0,0.652607,820,121,699,202.36288,2.32601,6004,34176,16637,473,45,686,13,76,53,34,6,0.944236,0.852439
meshtastic-like,17,1200.0,95,95,0,0.957895,0.0,0.409972,3639,3639,0,898.046976,9.868648,6495,171816,94922,2036,1425,0,0,0,0,0,0,0.0,0.0
meshcore-like,17,1200.0,95,95,0,1.0,0.0,0.387061,1445,95,1350,356.60288,3.753715,7670,63135,27001,418,0,1323,27,68,27,0,0,0.0,0.934256
calm-mesh,17,1200.0,95,95,0,1.0,0.0,0.692558,895,95,800,220.87168,2.324965,6424,37431,15201,236,0,784,16,79,16,0,8,0.950793,0.893855
meshtastic-like,18,1200.0,118,118,0,0.915254,0.0,0.495935,4370,4370,0,1078.44608,9.985612,7773,206357,115670,2493,1706,0,0,0,0,0,0,0.0,0.0
meshcore-like,18,1200.0,118,118,0,0.70339,0.0,0.371663,1234,87,1147,304.531456,3.669054,6546,53920,24467,369,0,1124,23,66,52,0,0,0.0,0.929498
calm-mesh,18,1200.0,118,118,0,0.949153,0.0,0.691023,1073,177,896,264.799232,2.364279,7707,44870,21468,463,61,880,16,99,19,62,11,0.947127,0.835042
meshtastic-like,19,1200.0,118,118,0,0.940678,0.0,0.45272,4508,4508,0,1112.502272,10.022543,7901,212991,117513,2474,1719,0,0,0,0,0,0,0.0,0.0
meshcore-like,19,1200.0,118,118,0,0.898305,0.0,0.368313,1467,115,1352,362.032128,3.415397,8600,63283,29332,610,0,1323,29,85,33,0,0,0.0,0.921609
calm-mesh,19,1200.0,118,118,0,0.90678,0.0,0.617828,954,113,841,235.431936,2.200298,7038,39708,17920,295,0,825,16,96,22,2,9,0.940965,0.881551
meshtastic-like,20,1200.0,133,133,0,0.954887,0.0,0.376934,5251,5251,0,1295.862784,10.203644,8742,248557,130713,2568,1789,0,0,0,0,0,0,0.0,0.0
meshcore-like,20,1200.0,133,133,0,0.977444,0.0,0.360684,1633,133,1500,402.998272,3.099987,9707,70310,30699,451,0,1470,30,103,30,0,0,0.0,0.918555
calm-mesh,20,1200.0,133,133,0,0.984962,0.0,0.567364,933,133,800,230.249472,1.75763,8148,37569,15201,222,0,784,16,116,17,0,8,0.943459,0.857449
