protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
smart-calm-no-fallback,12,1200.0,132,63,69,0.587302,0.587302,0.99438,2.995575,2.748791,2.995575,15.246784,15.493568,37,37,3362,3522,2896,626,37,869.173248,129.544059,0.107953,344.192606,1105.982609,1450.175215,0.426648,0.255714,0.571169,9954,162624,172578,0.057678,81437,0.471885,1917,1058,577,12,12,8,29,34,0,4,0.934373,0.17774,9,102,43.526973,2,25,29,9
smart-calm-no-confidence,12,1200.0,132,63,69,0.873016,0.904762,0.995268,3.11747,2.924445,3.11747,15.246784,15.493568,57,55,3365,3895,3008,887,58,961.22368,151.395783,0.126163,380.644577,1235.462681,1616.107259,0.472546,0.28106,0.56605,12522,178333,190855,0.06561,91410,0.47895,2081,1153,816,13,19,11,40,23,115,11,0.953857,0.227728,5,102,102.049261,0,42,20,1
meshtastic-like,13,1200.0,129,63,66,0.84127,0.920635,0.874768,0.902282,0.727262,0.902282,2.946033,2.777114,58,53,2829,4845,4771,74,74,1195.66848,177.564456,0.14797,473.484718,1562.702678,2036.187396,0.706519,0.414875,0.556575,11748,225657,237405,0.049485,124123,0.522832,3095,1812,0,0,0,0,0,0,0,0,0.0,0.015273,0,0,0.0,-1,0,0,0
meshcore-like,13,1200.0,129,63,66,0.714286,0.730159,0.969079,0.992853,0.784058,0.992853,2.493568,2.740352,46,45,3134,3952,3255,697,46,975.290368,127.916797,0.106597,386.214986,1191.877656,1578.092641,0.496412,0.306792,0.440048,10435,183213,193648,0.053886,80937,0.417959,1536,0,638,13,14,12,43,20,0,0,0.0,0.176366,0,0,0.0,-1,0,0,0
calm-mesh,13,1200.0,129,63,66,0.793651,0.809524,0.954545,1.117732,0.858709,1.117732,2.493568,2.740352,51,50,3087,3683,2881,802,51,908.905472,124.699205,0.103916,359.926567,1116.39235,1476.318917,0.470615,0.289737,0.395954,10796,169671,180467,0.059823,75467,0.418176,1321,699,736,15,16,14,46,17,42,8,0.949772,0.217757,0,0,0.0,-1,0,0,0
smart-calm,13,1200.0,129,63,66,0.904762,0.952381,0.965368,5.720366,4.841303,5.720366,15.246784,15.493568,60,57,3122,3522,2859,663,64,869.173248,130.947071,0.109123,344.192606,1091.076799,1435.269405,0.451485,0.273411,0.452716,11678,160851,172529,0.067687,76113,0.441161,1490,751,588,11,12,9,38,25,47,4,0.953106,0.188245,1,100,111.21672,0,63,0,0
smart-calm-static,13,1200.0,129,63,66,0.952381,0.968254,0.967223,3.976258,3.426479,3.976258,15.246784,15.493568,61,60,3128,3815,3002,813,62,941.48096,134.053811,0.111712,372.82646,1160.732313,1533.558773,0.481041,0.29532,0.466301,12051,174884,186935,0.064466,78315,0.418942,1382,751,736,15,16,14,46,17,131,8,0.948147,0.213106,0,0,0.0,1,0,63,0
smart-calm-no-fallback,13,1200.0,129,63,66,0.746032,0.746032,0.966296,3.321812,2.476024,3.321812,15.246784,15.493568,47,47,3125,3487,2839,648,49,860.535808,122.679865,0.102233,340.77218,1073.948118,1414.720298,0.446003,0.271291,0.418066,10524,160339,170863,0.061593,74939,0.438591,1539,724,588,11,12,9,38,25,0,4,0.953379,0.185833,1,100,75.703268,0,63,0,0
smart-calm-no-confidence,13,1200.0,129,63,66,0.904762,0.952381,0.965368,5.720366,4.841303,5.720366,15.246784,15.493568,60,57,3122,3522,2859,663,64,869.173248,130.947071,0.109123,344.192606,1091.076799,1435.269405,0.451485,0.273411,0.452716,11678,160851,172529,0.067687,76113,0.441161,1490,751,588,11,12,9,38,25,47,4,0.953106,0.188245,1,100,107.504546,0,63,0,0
meshtastic-like,14,1200.0,114,46,68,0.913043,0.978261,0.939076,0.530324,0.463621,0.530324,1.284369,0.493568,45,42,3129,4428,4381,47,47,1092.759552,155.837531,0.129865,432.732783,1426.361067,1859.09385,0.58628,0.34461,0.579305,10432,206050,216482,0.048189,113402,0.52384,2941,1798,0,0,0,0,0,0,0,0,0.0,0.010614,0,0,0.0,-1,0,0,0
meshcore-like,14,1200.0,114,46,68,0.826087,0.826087,0.967287,1.143953,0.897169,1.143953,2.493568,2.740352,38,38,3223,4108,3321,787,38,1013.788672,135.10274,0.112586,401.460314,1255.426569,1656.886883,0.508092,0.310883,0.490964,10561,190731,201292,0.052466,88149,0.437916,2213,0,735,14,15,12,28,18,0,0,0.0,0.191577,0,0,0.0,-1,0,0,0
calm-mesh,14,1200.0,114,46,68,0.891304,0.891304,0.953481,1.199944,0.95316,1.199944,2.493568,2.740352,41,41,3177,3593,2851,742,41,886.694912,126.427752,0.105356,351.131185,1105.387048,1456.518233,0.452616,0.275542,0.46212,10394,165663,176057,0.059038,77475,0.440056,1826,924,687,14,15,13,30,16,38,8,0.956192,0.206513,0,0,0.0,-1,0,0,0
