protocol,metric,n,mean,sd,ci95_low,ci95_high
meshcore-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,20,0.97831195,0.010869823,0.973224775,0.983399125
meshcore-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
etx-mesh,unicast_pdr,20,0.2355715,0.156927378,0.16212807,0.30901493
etx-mesh,destination_unicast_pdr,20,0.2554683,0.159320171,0.180905022,0.330031578
etx-mesh,broadcast_coverage,20,0.0,0.0,0.0,0.0
etx-mesh,avg_delay_s,20,2.0549875,0.375413551,1.879290569,2.230684431
etx-mesh,mean_delivery_delay_s,20,1.9197257,0.339436794,1.760866216,2.078585184
etx-mesh,unicast_delivery_delay_s,20,1.9197257,0.339436794,1.760866216,2.078585184
etx-mesh,unicast_ack_delay_s,20,2.0549875,0.375413551,1.879290569,2.230684431
etx-mesh,p95_unicast_delivery_delay_s,20,2.30356985,0.03635212,2.28655673,2.32058297
etx-mesh,p95_unicast_ack_delay_s,20,2.459671,0.060474826,2.431368235,2.487973765
etx-mesh,tx_count,20,762.9,328.758734125,609.037944498,916.762055502
etx-mesh,data_tx,20,22.9,14.860403055,15.945197215,29.854802785
etx-mesh,control_tx,20,740.0,314.535915446,592.794352038,887.205647962
etx-mesh,ack_tx,20,20.4,13.461054936,14.100104768,26.699895232
etx-mesh,total_airtime_s,20,54.8799744,23.649588298,43.811753575,65.948195225
etx-mesh,channel_busy_time_s,20,18.4301425,8.314752128,14.538763441,22.321521559
etx-mesh,channel_busy_ratio,20,0.03071695,0.01385796,0.0242313,0.0372026
etx-mesh,tx_energy_j,20,21.7324698,9.365236917,17.349454377,26.115485223
etx-mesh,rx_energy_j,20,84.49389175,36.386440907,67.46470892,101.52307458
etx-mesh,total_energy_j,20,106.2263616,45.751179081,84.814396763,127.638326437
etx-mesh,energy_per_delivery_j,20,15.30089945,10.208725928,10.523123554,20.078675346
etx-mesh,airtime_per_delivery_s,20,7.90862945,5.288726247,5.433457822,10.383801078
etx-mesh,rx_attempts,20,37382.1,16109.177972102,29842.85928038,44921.34071962
etx-mesh,packet_reception_ratio,20,0.1469182,0.022707506,0.136290882,0.157545518
etx-mesh,collision_fail,20,25745.55,10702.319391879,20736.767907371,30754.332092629
etx-mesh,collision_rate,20,0.6946534,0.021365732,0.684654044,0.704652756
etx-mesh,duplicate_rx,20,2105.3,839.654007691,1712.334344264,2498.265655736
etx-mesh,suppressed_forwards,20,0.0,0.0,0.0,0.0
etx-mesh,route_cache_hits,20,2.2,2.092593455,1.220647372,3.179352628
etx-mesh,route_cache_misses,20,40.6,6.244155162,37.677679014,43.522320986
etx-mesh,fallback_forward_count,20,0.0,0.0,0.0,0.0
etx-mesh,route_repair_count,20,10.2,5.916969352,7.430804927,12.969195073
etx-mesh,mean_path_confidence,20,0.34411885,0.025381042,0.332240293,0.355997407
etx-mesh,control_overhead_ratio,20,0.97289615,0.01001669,0.968208249,0.977584051
etx-mesh,policy_switch_count,20,0.0,0.0,0.0,0.0
etx-mesh,policy_update_count,20,0.0,0.0,0.0,0.0
etx-mesh,policy_reward_total,20,0.0,0.0,0.0,0.0
etx-mesh,active_profile_index,20,-1.0,0.0,-1.0,-1.0
ett-mesh,unicast_pdr,20,0.2355715,0.156927378,0.16212807,0.30901493
ett-mesh,destination_unicast_pdr,20,0.2554683,0.159320171,0.180905022,0.330031578
ett-mesh,broadcast_coverage,20,0.0,0.0,0.0,0.0
ett-mesh,avg_delay_s,20,2.0549875,0.375413551,1.879290569,2.230684431
ett-mesh,mean_delivery_delay_s,20,1.9197257,0.339436794,1.760866216,2.078585184
ett-mesh,unicast_delivery_delay_s,20,1.9197257,0.339436794,1.760866216,2.078585184
ett-mesh,unicast_ack_delay_s,20,2.0549875,0.375413551,1.879290569,2.230684431
ett-mesh,p95_unicast_delivery_delay_s,20,2.30356985,0.03635212,2.28655673,2.32058297
ett-mesh,p95_unicast_ack_delay_s,20,2.459671,0.060474826,2.431368235,2.487973765
ett-mesh,tx_count,20,762.9,328.758734125,609.037944498,916.762055502
ett-mesh,data_tx,20,22.9,14.860403055,15.945197215,29.854802785
ett-mesh,control_tx,20,740.0,314.535915446,592.794352038,887.205647962
ett-mesh,ack_tx,20,20.4,13.461054936,14.100104768,26.699895232
ett-mesh,total_airtime_s,20,54.8799744,23.649588298,43.811753575,65.948195225
ett-mesh,channel_busy_time_s,20,18.4301425,8.314752128,14.538763441,22.321521559
ett-mesh,channel_busy_ratio,20,0.03071695,0.01385796,0.0242313,0.0372026
ett-mesh,tx_energy_j,20,21.7324698,9.365236917,17.349454377,26.115485223
ett-mesh,rx_energy_j,20,84.49389175,36.386440907,67.46470892,101.52307458
ett-mesh,total_energy_j,20,106.2263616,45.751179081,84.814396763,127.638326437
ett-mesh,energy_per_delivery_j,20,15.30089945,10.208725928,10.523123554,20.078675346
ett-mesh,airtime_per_delivery_s,20,7.90862945,5.288726247,5.433457822,10.383801078
ett-mesh,rx_attempts,20,37382.1,16109.177972102,29842.85928038,44921.34071962
ett-mesh,packet_reception_ratio,20,0.1469182,0.022707506,0.136290882,0.157545518
