seed,pair_index,source,destination,selected_graph_hops,protocol,matched_rreq_timing,unicast_flows,discovery_count,candidate_count,candidate_paths_json,selected_path_json,destination_delivered,ack_confirmed,total_airtime_s,route_cache_hits,route_repair_count,fallback_forward_count,candidate_sets_identical,shared_multi_candidate_set
21,7,47,49,2,minhop-mesh,1,1,1,6,"[[47, 1, 49], [47, 4, 9, 49], [47, 4, 49], [47, 12, 49], [47, 40, 17, 49], [47, 49]]","[47, 49]",1,0,3.740672,0,0,0,1,1
21,7,47,49,2,meshcore-like,1,1,1,6,"[[47, 1, 49], [47, 4, 9, 49], [47, 4, 49], [47, 12, 49], [47, 40, 17, 49], [47, 49]]","[47, 49]",1,0,3.740672,0,0,0,1,1
21,8,16,34,2,meshecho,1,1,1,5,"[[16, 3, 34], [16, 7, 34], [16, 19, 44, 34], [16, 34], [16, 39, 34]]","[16, 39, 34]",1,1,3.95648,0,0,0,1,1
21,8,16,34,2,etx-mesh,1,1,1,5,"[[16, 3, 34], [16, 7, 34], [16, 19, 44, 34], [16, 34], [16, 39, 34]]","[16, 34]",0,0,3.5968,0,0,0,1,1
21,8,16,34,2,minhop-mesh,1,1,1,5,"[[16, 3, 34], [16, 7, 34], [16, 19, 44, 34], [16, 34], [16, 39, 34]]","[16, 34]",0,0,3.5968,0,0,0,1,1
21,8,16,34,2,meshcore-like,1,1,1,5,"[[16, 3, 34], [16, 7, 34], [16, 19, 44, 34], [16, 34], [16, 39, 34]]","[16, 34]",0,0,3.5968,0,0,0,1,1
21,9,26,1,2,meshecho,1,1,1,5,"[[26, 0, 17, 1], [26, 1], [26, 9, 1], [26, 16, 36, 1], [26, 28, 45, 1]]","[26, 9, 1]",1,1,3.95648,0,0,0,1,1
21,9,26,1,2,etx-mesh,1,1,1,5,"[[26, 0, 17, 1], [26, 1], [26, 9, 1], [26, 16, 36, 1], [26, 28, 45, 1]]","[26, 1]",0,0,3.668736,0,0,0,1,1
21,9,26,1,2,minhop-mesh,1,1,1,5,"[[26, 0, 17, 1], [26, 1], [26, 9, 1], [26, 16, 36, 1], [26, 28, 45, 1]]","[26, 1]",0,0,3.668736,0,0,0,1,1
21,9,26,1,2,meshcore-like,1,1,1,5,"[[26, 0, 17, 1], [26, 1], [26, 9, 1], [26, 16, 36, 1], [26, 28, 45, 1]]","[26, 1]",0,0,3.668736,0,0,0,1,1
21,10,6,31,2,meshecho,1,1,1,4,"[[6, 22, 13, 31], [6, 31], [6, 34, 3, 31], [6, 39, 7, 31]]","[6, 22, 13, 31]",1,1,4.172288,0,0,0,1,1
21,10,6,31,2,etx-mesh,1,1,1,4,"[[6, 22, 13, 31], [6, 31], [6, 34, 3, 31], [6, 39, 7, 31]]","[6, 31]",1,0,3.740672,0,0,0,1,1
21,10,6,31,2,minhop-mesh,1,1,1,4,"[[6, 22, 13, 31], [6, 31], [6, 34, 3, 31], [6, 39, 7, 31]]","[6, 31]",1,0,3.740672,0,0,0,1,1
21,10,6,31,2,meshcore-like,1,1,1,4,"[[6, 22, 13, 31], [6, 31], [6, 34, 3, 31], [6, 39, 7, 31]]","[6, 31]",1,0,3.740672,0,0,0,1,1
21,11,1,48,2,meshecho,1,1,1,3,"[[1, 5, 48], [1, 22, 13, 48], [1, 26, 48]]","[1, 5, 48]",1,1,3.95648,0,0,0,1,1
21,11,1,48,2,etx-mesh,1,1,1,3,"[[1, 5, 48], [1, 22, 13, 48], [1, 26, 48]]","[1, 5, 48]",1,1,3.95648,0,0,0,1,1
21,11,1,48,2,minhop-mesh,1,1,1,3,"[[1, 5, 48], [1, 22, 13, 48], [1, 26, 48]]","[1, 5, 48]",1,1,3.95648,0,0,0,1,1
21,11,1,48,2,meshcore-like,1,1,1,3,"[[1, 5, 48], [1, 22, 13, 48], [1, 26, 48]]","[1, 5, 48]",1,1,3.95648,0,0,0,1,1
21,12,48,14,2,meshecho,1,1,1,6,"[[48, 6, 17, 14], [48, 6, 28, 14], [48, 10, 14], [48, 15, 14], [48, 33, 14], [48, 40, 14]]","[48, 10, 14]",1,1,3.95648,0,0,0,1,1
