protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,pair_schedule,matched_rreq_timing,discovery_record_count,discovery_candidate_path_total,discovery_multi_candidate_count,discovery_candidate_fingerprints_json,discovery_records_json,scheduled_unicast_flows,scheduled_broadcast_flows,scheduled_distinct_unicast_pairs,observed_distinct_unicast_pairs,scheduled_rate_per_min,scheduled_trace_sha256,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,21,600.0,28,28,0,0.357143,1.0,0.0,2.160917,1.988956,2.160917,2.844383,3.014617,28,10,0,563,516,47,47,40.499968,30.468249,0.05078,16.037987,135.424566,151.462553,15.146255,4.049997,1.988956,12998,42739,55737,0.233202,28819,0.517053,8631,2622,0,0,0,0,0,0,0,0,0.0,0.083481,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,poisson,0,0,0,0,[],[],28,0,24,24,2.8,11868ee55282713ccfd675eb3afd130fae1c027fb32aae3c9ede4ce421264edb,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,0,0,0.0,0.0,0,0.0,3.3752285372896844e-06,0.0015997622584981725,0.2967550829609338,0.99660784269199,0.9999999765873033,0.7159595959595959,0.5381818181818182
meshcore-like,21,600.0,28,28,0,0.25,0.357143,0.0,4.616594,3.95968,4.616594,4.575488,4.863232,10,7,0,2483,29,2454,26,178.617088,59.471972,0.09912,70.732367,579.396886,650.129253,92.875608,25.516727,3.95968,18606,227211,245817,0.07569,199310,0.810806,11308,0,2376,52,24,11,2,26,0,0,0.0,0.988321,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,poisson,0,24,150,24,"[{""key"":[4,74,24],""candidate_count"":6,""sha256"":""a48a96c56e66292136faa3894db3aff2685f3b2a53da51d99dd870de06cc70a9""},{""key"":[5,80,22],""candidate_count"":4,""sha256"":""b2e30cbf1da242edcbf1bfc3db71b1f6a1202c3788fd55efb60f6bb149a03967""},{""key"":[17,5,2],""candidate_count"":9,""sha256"":""72f982b5c17f15d1ad57414f9e608a72fb6b71c468738cff23e2ba1608b5e05d""},{""key"":[17,39,16],""candidate_count"":6,""sha256"":""5e60e683293acf1a0e5a6dcc4c1e1287117e1bc54c02d5d81aa5f2b010bedaa4""},{""key"":[17,95,15],""candidate_count"":5,""sha256"":""ac306f63db006f55b5c7d9e323e04a145804e7275978d0fa396af1a0bc432054""},{""key"":[19,58,9],""candidate_count"":5,""sha256"":""96513988413759d2b81090fe9b72d219cd08c61a14aa5454d7a0ad8725720bcd""},{""key"":[19,95,4],""candidate_count"":8,""sha256"":""dba83a6daa0c75b45b6df7ed8c3ef100097db36f9ea8106219896e10d58c1fb7""},{""key"":[36,44,13],""candidate_count"":6,""sha256"":""d6a33fc856533e5b0b0b575f63e7370eaab5240e44dd7bef75193aafdb6429ca""},{""key"":[39,64,10],""candidate_count"":7,""sha256"":""87b3d03de1bc40f52255ade601c8c415f3edd4fd5de109ba6a1e6eef8b5371c4""},{""key"":[44,90,14],""candidate_count"":9,""sha256"":""0403d7393a9382748aa5067cadd05c09cd5d7c356f042fae019dbe5e09425b1b""},{""key"":[55,10,8],""candidate_count"":8,""sha256"":""b193d06b043a7d1e1b50eb2c8ccb58d0b232e1a30fa0c8df9faa2a434c0c4457""},{""key"":[55,17,19],""candidate_count"":6,""sha256"":""92a3516bea46e7379d662bbe8b49c99f8b4264cbceb61562cfdca27bdd6d468b""},{""key"":[55,87,20],""candidate_count"":5,""sha256"":""25c43fa89395048377f3fe41e9d78908e40c04c4aaca3ff6a01305a4a84cc477""},{""key"":[62,3,12],""candidate_count"":4,""sha256"":""bc97718c9eb984e40e996ec9567986761d15270c540e4145a195c0db6f12a493""},{""key"":[64,84,1],""candidate_count"":5,""sha256"":""853fcd3b262a74c803c86f2763864fb3a1212cb729c30f454b48bae83f38741c""},{""key"":[74,9,21],""candidate_count"":10,""sha256"":""d7d2b4827e814ea09ccc005db273efd54deafd16770e6f9a830e6ac224f02fa3""},{""key"":[74,50,23],""candidate_count"":5,""sha256"":""257b5b2a2c69f741894496696da4375ecae732c219a85a3e56b93f03fdd7cbae""},{""key"":[74,65,7],""candidate_count"":7,""sha256"":""6ae8fcea47bde098a00e7020a45c38b0b809c61cad3ef7faa9a31e3daf45fb04""},{""key"":[74,93,11],""candidate_count"":11,""sha256"":""dd9c7c4d81afce13cab4b6b81b1a121de17f41b0fe5b0ddf3541c3180b521f46""},{""key"":[82,17,17],""candidate_count"":5,""sha256"":""2b3415092b4a1ce17091db4546f223626089e070fe1ee395c5855f61ebe21fea""},{""key"":[82,74,18],""candidate_count"":5,""sha256"":""30821595a4f988bce75939b8c93501a9b33b9986ba2f69fc92f72988fd4a03d6""},{""key"":[88,93,5],""candidate_count"":3,""sha256"":""eda3a015dac7d12360b046203594ab2d927c34f0edd05e1801350807594221fd""},{""key"":[90,44,6],""candidate_count"":4,""sha256"":""c595179cba2e8c5b0e9d55fd4e9fa53e5e6bc14fbfcaff761f094f6d4b95ed19""},{""key"":[93,88,3],""candidate_count"":7,""sha256"":""c5912c97b05a9ed69a5258c4927400511bd7fd098dff72dffa6a1573e82a90e4""}]","[{""key"":[4,74,24],""started_at"":510.4368269457337,""closed_at"":514.4368269457336,""candidate_paths"":[[4,15,87,74],[4,42,85,13,74],[4,42,85,74],[4,75,47,74],[4,75,62,74],[4,91,44,74]],""selected_path"":[4,15,87,74]},{""key"":[5,80,22],""started_at"":489.00331136383153,""closed_at"":493.00331136383153,""candidate_paths"":[[5,99,31,51,37,80],[5,99,31,96,17,80],[5,99,31,96,40,80],[5,99,31,96,80]],""selected_path"":[5,99,31,96,80]},{""key"":[17,5,2],""started_at"":21.505211194392952,""closed_at"":25.505211194392952,""candidate_paths"":[[17,0,53,5],[17,11,39,26,5],[17,11,39,32,5],[17,11,66,48,5],[17,11,98,5],[17,11,98,81,5],[17,78,35,5],[17,91,5],[17,91,70,5]],""selected_path"":[17,91,5]},{""key"":[17,39,16],""started_at"":323.267549580467,""closed_at"":327.267549580467,""candidate_paths"":[[17,9,68,95,3,39],[17,13,48,39],[17,13,53,39],[17,63,21,26,32,39],[17,63,21,26,39],[17,63,21,34,39]],""selected_path"":[17,13,48,39]},{""key"":[17,95,15],""started_at"":317.43099625176546,""closed_at"":321.43099625176546,""candidate_paths"":[[17,11,95],[17,11,97,95],[17,18,95],[17,50,55,95],[17,50,95]],""selected_path"":[17,11,95]},{""key"":[19,58,9],""started_at"":124.10657965754221,""closed_at"":128.10657965754223,""candidate_paths"":[[19,2,82,58],[19,41,49,3,58],[19,41,49,58],[19,41,55,7,58],[19,61,46,52,58]],""selected_path"":[19,2,82,58]},{""key"":[19,95,4],""started_at"":41.213699233230045,""closed_at"":45.213699233230045,""candidate_paths"":[[19,16,8,93,95],[19,16,57,71,95],[19,18,50,95],[19,18,95],[19,61,46,95],[19,91,89,95],[19,91,97,95],[19,91,98,55,95]],""selected_path"":[19,18,95]},{""key"":[36,44,13],""started_at"":185.79075179084066,""closed_at"":189.79075179084066,""candidate_paths"":[[36,15,78,59,44],[36,15,78,88,44],[36,15,78,88,74,44],[36,15,96,37,19,44],[36,15,96,37,44],[36,15,96,37,47,44]],""selected_path"":[36,15,78,59,44]},{""key"":[39,64,10],""started_at"":130.92275357869968,""closed_at"":134.92275357869968,""candidate_paths"":[[39,8,80,64],[39,24,72,37,64],[39,73,47,14,54,64],[39,93,40,17,64],[39,93,40,64],[39,93,40,94,64],[39,98,6,77,64]],""selected_path"":[39,8,80,64]},{""key"":[44,90,14],""started_at"":255.9117173445156,""closed_at"":259.91171734451564,""candidate_paths"":[[44,18,16,90],[44,33,6,60,90],[44,33,77,45,90],[44,47,83,90],[44,84,21,71,90],[44,91,36,90],[44,91,49,93,20,90],[44,91,49,93,90],[44,91,90]],""selected_path"":[44,91,90]},{""key"":[55,10,8],""started_at"":120.79674250353308,""closed_at"":124.79674250353308,""candidate_paths"":[[55,63,61,27,10],[55,63,61,38,10],[55,92,72,10],[55,92,72,14,10],[55,96,10],[55,96,15,87,59,10],[55,96,62,10],[55,98,84,10]],""selected_path"":[55,96,10]},{""key"":[55,17,19],""started_at"":435.48122960576507,""closed_at"":439.48122960576507,""candidate_paths"":[[55,16,6,17],[55,16,6,40,17],[55,16,6,94,17],[55,16,30,17],[55,63,37,38,17],[55,73,72,17]],""selected_path"":[55,16,6,17]},{""key"":[55,87,20],""started_at"":477.19008755698036,""closed_at"":481.19008755698036,""candidate_paths"":[[55,18,21,59,87],[55,56,10,87],[55,56,19,87],[55,56,47,74,87],[55,56,62,87]],""selected_path"":[55,56,10,87]},{""key"":[62,3,12],""started_at"":184.43411828409887,""closed_at"":188.43411828409887,""candidate_paths"":[[62,22,34,3],[62,22,34,7,3],[62,22,34,55,3],[62,22,34,58,3]],""selected_path"":[62,22,34,3]},{""key"":[64,84,1],""started_at"":1.0,""closed_at"":5.0,""candidate_paths"":[[64,5,35,84],[64,5,84],[64,5,99,84],[64,11,18,24,84],[64,29,65,81,84]],""selected_path"":[64,5,84]},{""key"":[74,9,21],""started_at"":488.0889077219145,""closed_at"":492.0889077219145,""candidate_paths"":[[74,69,49,9],[74,79,9],[74,79,20,9],[74,79,57,9],[74,79,57,71,9],[74,86,4,9],[74,86,4,12,9],[74,86,29,93,9],[74,86,36,1,9],[74,86,36,9]],""selected_path"":[74,79,9]},{""key"":[74,50,23],""started_at"":503.46867982383156,""closed_at"":507.46867982383156,""candidate_paths"":[[74,50],[74,70,52,24,50],[74,70,55,95,50],[74,70,89,50],[74,70,89,82,50]],""selected_path"":[74,50]},{""key"":[74,65,7],""started_at"":90.42940572553233,""closed_at"":94.42940572553233,""candidate_paths"":[[74,33,65],[74,41,9,4,65],[74,41,89,82,65],[74,45,90,65],[74,47,83,65],[74,47,83,93,65],[74,86,65]],""selected_path"":[74,33,65]},{""key"":[74,93,11],""started_at"":149.92661281506497,""closed_at"":153.92661281506497,""candidate_paths"":[[74,33,12,93],[74,37,57,93],[74,41,55,95,93],[74,41,93],[74,45,29,93],[74,79,8,93],[74,79,9,1,93],[74,79,65,90,93],[74,79,83,36,93],[74,79,83,93],[74,79,89,82,93]],""selected_path"":[74,41,93]},{""key"":[82,17,17],""started_at"":361.6368440484865,""closed_at"":365.6368440484865,""candidate_paths"":[[82,69,78,17],[82,73,40,80,17],[82,73,91,75,17],[82,77,6,17],[82,94,17]],""selected_path"":[82,94,17]},{""key"":[82,74,18],""started_at"":409.12031802594385,""closed_at"":413.12031802594385,""candidate_paths"":[[82,22,44,74],[82,22,59,43,74],[82,22,59,74],[82,33,87,19,74],[82,69,47,74]],""selected_path"":[82,22,44,74]},{""key"":[88,93,5],""started_at"":70.34363584917968,""closed_at"":74.34363584917968,""candidate_paths"":[[88,37,23,40,93],[88,57,8,93],[88,57,93]],""selected_path"":[88,57,93]},{""key"":[90,44,6],""started_at"":71.98379534008947,""closed_at"":75.98379534008947,""candidate_paths"":[[90,29,38,22,85,44],[90,29,45,74,43,44],[90,29,45,74,44],[90,36,91,44]],""selected_path"":[90,36,91,44]},{""key"":[93,88,3],""started_at"":26.029232561021146,""closed_at"":30.029232561021146,""candidate_paths"":[[93,2,69,51,88],[93,2,72,37,88],[93,13,44,88],[93,13,56,88],[93,13,87,62,88],[93,13,88],[93,18,46,52,88]],""selected_path"":[93,13,88]}]",28,0,24,24,2.8,11868ee55282713ccfd675eb3afd130fae1c027fb32aae3c9ede4ce421264edb,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,11,11,0.4583333333333333,0.021885521885521887,0,2.6363636363636362,3.3752285372896844e-06,0.0015997622584981725,0.2967550829609338,0.99660784269199,0.9999999765873033,0.7159595959595959,0.5381818181818182
etx-mesh,21,600.0,28,28,0,0.571429,0.571429,0.0,3.588976,3.373168,3.588976,4.467584,4.701376,16,16,0,2529,50,2479,48,181.926144,62.809692,0.104683,72.042753,591.40724,663.449993,41.465625,11.370384,3.373168,20891,229480,250371,0.08344,199402,0.796426,11428,0,2374,57,24,14,4,24,0,0,0.236518,0.980229,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,poisson,0,24,147,24,"[{""key"":[4,74,24],""candidate_count"":7,""sha256"":""e2871646ea1bbc10b9f93da69ba2c22f2cc600f4393485f5d9e72e70ddd6fb70""},{""key"":[5,80,22],""candidate_count"":3,""sha256"":""6ab4b83a66308b887c0768c55ccb86fa8fc9ce75d63c54b95141786ad739cf49""},{""key"":[17,5,2],""candidate_count"":5,""sha256"":""9e89e45ec5a69577cc2d4a66d30cd11d470c54082f4b37607adf54587d8f4647""},{""key"":[17,39,16],""candidate_count"":7,""sha256"":""eb0dc63ec1ecb4a8bfe15328f040e8a26b4a63e90b69b16ca6f50860cbad93fc""},{""key"":[17,95,15],""candidate_count"":5,""sha256"":""12298214ab259ee34f442b73e296e658413f9f037d83da3fb68fed97117d4a46""},{""key"":[19,58,9],""candidate_count"":5,""sha256"":""0409cc43497423b3f5f0cd17cc97c1e10e4dff45b1d20a786478491039c57750""},{""key"":[19,95,4],""candidate_count"":5,""sha256"":""d6b4ede416446a7963126864b9b787190a184ed9ee97772a7e4b4dc187c907f4""},{""key"":[36,44,13],""candidate_count"":3,""sha256"":""fe34daaf29c588caf769bcc9c20d6301c84cb31c236a93f8e4de96943f23c0b8""},{""key"":[39,64,10],""candidate_count"":8,""sha256"":""307ac7872b19d56057084c2ce6b8eeff965a8b03cd914c933c47f5de534d955a""},{""key"":[44,90,14],""candidate_count"":6,""sha256"":""4ed78dd0058ffeda2670e26365d0d2d5fae723bf4b03dcde57b11f61f0f98166""},{""key"":[55,10,8],""candidate_count"":7,""sha256"":""d7a5456c67bbe78aa220a6a2b639b35537b7046a736e09544f4a5b43da2b92f7""},{""key"":[55,17,19],""candidate_count"":5,""sha256"":""98b759af46292f628a5d10c703f45ea24360e2115ac966bc8477df72920a19f6""},{""key"":[55,87,20],""candidate_count"":7,""sha256"":""be80f226130b87de452a5e765969892b9341655b5352d7f0070bee67d3e4733d""},{""key"":[62,3,12],""candidate_count"":5,""sha256"":""93aeaa5f30b2adfee524fc3e09991a6b6ca7cd4359e0d252b8be461d9bf278e6""},{""key"":[64,84,1],""candidate_count"":5,""sha256"":""853fcd3b262a74c803c86f2763864fb3a1212cb729c30f454b48bae83f38741c""},{""key"":[74,9,21],""candidate_count"":8,""sha256"":""a450ce87ea55aa4b23788cd34e9096a6fb3cbbe488b6e96f49fb15ac9eb7450f""},{""key"":[74,50,23],""candidate_count"":11,""sha256"":""bdc11642e0496e5adf6ffb4265676ca16526753c93d746068fbe55414dead8ed""},{""key"":[74,65,7],""candidate_count"":7,""sha256"":""074578436d029a4268133129f81fd1efdfc6285ea01f9f9adc83efeee9190161""},{""key"":[74,93,11],""candidate_count"":5,""sha256"":""066e6bf04f09523ed0ac1f8ffc506573c07f7dbd9c22a615888efeee323f82df""},{""key"":[82,17,17],""candidate_count"":9,""sha256"":""f7e2c6abf434c6800cd7f2f1528ea756e48b5a4cdda1b458344683d5ae7c3bd6""},{""key"":[82,74,18],""candidate_count"":6,""sha256"":""21630bdc2c11f086b7ed2fcd32fe74fbd2a1b7488de246273c8f952b64e8e396""},{""key"":[88,93,5],""candidate_count"":6,""sha256"":""31115b3b4523549fe7b4845dcda7bdf48f43ea0bf0a9933977575963786ccd6f""},{""key"":[90,44,6],""candidate_count"":7,""sha256"":""5f0eba7d87e728a371dc07a6c11920147253db1c2acda237c44cd9c17aa0f8fe""},{""key"":[93,88,3],""candidate_count"":5,""sha256"":""d071aae529bf8b424a474a81360ff03423d2b946c3260521f3af61fecb75d0d9""}]","[{""key"":[4,74,24],""started_at"":510.4368269457337,""closed_at"":514.4368269457336,""candidate_paths"":[[4,15,19,62,74],[4,15,33,74],[4,15,87,74],[4,46,31,51,74],[4,73,47,74],[4,92,56,13,44,74],[4,92,56,13,74]],""selected_path"":[4,15,87,74]},{""key"":[5,80,22],""started_at"":489.00331136383153,""closed_at"":493.00331136383153,""candidate_paths"":[[5,53,84,22,80],[5,53,84,72,17,80],[5,53,84,86,80]],""selected_path"":[5,53,84,22,80]},{""key"":[17,5,2],""started_at"":21.505211194392952,""closed_at"":25.505211194392952,""candidate_paths"":[[17,67,32,5],[17,72,26,5],[17,72,70,5],[17,91,5],[17,91,81,99,5]],""selected_path"":[17,72,26,5]},{""key"":[17,39,16],""started_at"":323.267549580467,""closed_at"":327.267549580467,""candidate_paths"":[[17,15,42,25,81,39],[17,50,32,39],[17,50,48,39],[17,50,48,66,39],[17,63,34,39],[17,63,70,26,39],[17,63,70,39]],""selected_path"":[17,63,34,39]},{""key"":[17,95,15],""started_at"":317.43099625176546,""closed_at"":321.43099625176546,""candidate_paths"":[[17,18,55,95],[17,18,95],[17,50,95],[17,60,97,95],[17,78,35,84,95]],""selected_path"":[17,60,97,95]},{""key"":[19,58,9],""started_at"":124.10657965754221,""closed_at"":128.10657965754223,""candidate_paths"":[[19,2,34,58],[19,2,97,3,58],[19,2,97,58],[19,76,73,18,58],[19,76,92,58]],""selected_path"":[19,76,92,58]},{""key"":[19,95,4],""started_at"":41.213699233230045,""closed_at"":45.213699233230045,""candidate_paths"":[[19,2,46,24,95],[19,2,89,95],[19,2,97,95],[19,2,98,55,95],[19,41,50,95]],""selected_path"":[19,41,50,95]},{""key"":[36,44,13],""started_at"":185.79075179084066,""closed_at"":189.79075179084066,""candidate_paths"":[[36,1,83,47,44],[36,1,83,47,88,44],[36,1,83,91,56,44]],""selected_path"":[36,1,83,47,44]},{""key"":[39,64,10],""started_at"":130.92275357869968,""closed_at"":134.92275357869968,""candidate_paths"":[[39,59,14,64],[39,69,54,17,64],[39,69,54,64],[39,93,40,80,64],[39,93,40,94,64],[39,93,77,64],[39,98,60,30,64],[39,98,60,64]],""selected_path"":[39,59,14,64]},{""key"":[44,90,14],""started_at"":255.9117173445156,""closed_at"":259.91171734451564,""candidate_paths"":[[44,18,16,90],[44,18,29,65,90],[44,18,29,90],[44,88,98,9,90],[44,96,83,90],[44,96,90]],""selected_path"":[44,96,90]},{""key"":[55,10,8],""started_at"":120.79674250353308,""closed_at"":124.79674250353308,""candidate_paths"":[[55,25,67,10],[55,25,72,10],[55,65,40,64,10],[55,84,35,78,56,10],[55,84,38,10],[55,84,87,10],[55,84,87,74,10]],""selected_path"":[55,25,72,10]},{""key"":[55,17,19],""started_at"":435.48122960576507,""closed_at"":439.48122960576507,""candidate_paths"":[[55,23,37,64,17],[55,41,21,69,17],[55,65,29,30,17],[55,96,54,17],[55,96,54,77,17]],""selected_path"":[55,96,54,17]},{""key"":[55,87,20],""started_at"":477.19008755698036,""closed_at"":481.19008755698036,""candidate_paths"":[[55,22,87],[55,25,16,77,45,87],[55,79,62,87],[55,79,96,15,87],[55,81,38,87],[55,81,84,87],[55,88,59,87]],""selected_path"":[55,81,38,87]},{""key"":[62,3,12],""started_at"":184.43411828409887,""closed_at"":188.43411828409887,""candidate_paths"":[[62,46,7,3],[62,46,58,3],[62,69,8,65,3],[62,69,68,3],[62,69,68,55,3]],""selected_path"":[62,69,68,3]},{""key"":[64,84,1],""started_at"":1.0,""closed_at"":5.0,""candidate_paths"":[[64,5,35,84],[64,5,84],[64,5,99,84],[64,11,18,24,84],[64,29,65,81,84]],""selected_path"":[64,29,65,81,84]},{""key"":[74,9,21],""started_at"":488.0889077219145,""closed_at"":492.0889077219145,""candidate_paths"":[[74,45,29,65,9],[74,45,83,36,9],[74,50,1,9],[74,63,4,9],[74,63,4,12,9],[74,63,79,9],[74,67,68,9],[74,76,57,9]],""selected_path"":[74,67,68,9]},{""key"":[74,50,23],""started_at"":503.46867982383156,""closed_at"":507.46867982383156,""candidate_paths"":[[74,33,82,50],[74,33,82,92,50],[74,45,90,16,50],[74,50],[74,63,89,50],[74,76,52,50],[74,76,52,55,50],[74,76,52,95,50],[74,85,58,50],[74,85,58,97,20,50],[74,85,58,97,50]],""selected_path"":[74,50]},{""key"":[74,65,7],""started_at"":90.42940572553233,""closed_at"":94.42940572553233,""candidate_paths"":[[74,37,96,36,8,65],[74,37,96,36,65],[74,37,96,90,65],[74,47,83,65],[74,50,1,9,12,65],[74,50,1,9,65],[74,86,29,65]],""selected_path"":[74,47,83,65]},{""key"":[74,93,11],""started_at"":149.92661281506497,""closed_at"":153.92661281506497,""candidate_paths"":[[74,41,71,8,93],[74,41,71,93],[74,41,83,93],[74,41,93],[74,50,82,93]],""selected_path"":[74,41,93]},{""key"":[82,17,17],""started_at"":361.6368440484865,""closed_at"":365.6368440484865,""candidate_paths"":[[82,0,40,17],[82,15,28,30,17],[82,72,17],[82,72,67,17],[82,77,45,17],[82,77,54,17],[82,84,94,6,17],[82,84,94,17],[82,84,94,80,17]],""selected_path"":[82,0,40,17]},{""key"":[82,74,18],""started_at"":409.12031802594385,""closed_at"":413.12031802594385,""candidate_paths"":[[82,22,13,74],[82,22,44,74],[82,22,88,43,74],[82,33,62,10,74],[82,33,62,74],[82,69,47,74]],""selected_path"":[82,69,47,74]},{""key"":[88,93,5],""started_at"":70.34363584917968,""closed_at"":74.34363584917968,""candidate_paths"":[[88,6,77,93],[88,16,1,9,93],[88,16,90,93],[88,89,83,93],[88,95,71,49,93],[88,98,8,93]],""selected_path"":[88,98,8,93]},{""key"":[90,44,6],""started_at"":71.98379534008947,""closed_at"":75.98379534008947,""candidate_paths"":[[90,83,47,43,44],[90,83,47,44],[90,83,47,56,44],[90,83,47,74,44],[90,83,47,88,44],[90,83,96,37,44],[90,83,96,62,59,44]],""selected_path"":[90,83,47,44]},{""key"":[93,88,3],""started_at"":26.029232561021146,""closed_at"":30.029232561021146,""candidate_paths"":[[93,91,38,13,78,88],[93,91,38,13,88],[93,91,38,59,88],[93,91,56,85,88],[93,91,56,88]],""selected_path"":[93,91,56,88]}]",28,0,24,24,2.8,11868ee55282713ccfd675eb3afd130fae1c027fb32aae3c9ede4ce421264edb,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,14,13,0.5833333333333334,0.02401010951979781,0,2.857142857142857,3.3752285372896844e-06,0.0015997622584981725,0.2967550829609338,0.99660784269199,0.9999999765873033,0.7159595959595959,0.5381818181818182
