protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,route_ttl_s,evaluation_variant,scenario
calm-mesh,5,1200.0,105,54,51,0.740741,0.814815,0.979192,1.217603,1.100737,1.217603,2.493568,2.740352,44,40,2447,3316,2381,935,47,818.335744,124.772094,0.103977,324.060955,1033.366064,1357.427019,0.545809,0.329045,0.415163,9905,152579,162484,0.06096,74084,0.455946,1702,747,874,14,21,14,33,21,167,13,0.955267,0.281966,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,6,1200.0,107,62,45,0.548387,0.822581,0.955556,0.580668,0.435501,0.580668,0.740352,0.987136,51,34,2107,3354,2217,1137,56,827.713536,113.288272,0.094407,327.77456,1026.689066,1354.463626,0.632631,0.386601,0.540779,10366,153980,164346,0.063074,70094,0.426503,1399,0,1055,26,22,21,37,25,0,0,0.0,0.338998,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,6,1200.0,107,62,45,0.645161,0.854839,0.911111,0.505907,0.367848,0.505907,0.740352,0.493568,53,40,2009,2864,2111,753,53,706.789376,95.677627,0.079731,279.888593,873.478809,1153.367402,0.562893,0.344944,0.336842,8919,131417,140336,0.063555,59028,0.420619,1094,0,685,15,15,13,44,18,0,0,0.0,0.262919,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,6,1200.0,107,62,45,0.806452,0.870968,0.954195,1.02786,0.824713,1.02786,2.493568,2.740352,54,50,2104,2671,1924,747,54,659.160064,106.312231,0.088594,261.027385,836.85598,1097.883365,0.509695,0.306017,0.49947,9705,121174,130879,0.074152,58977,0.450622,1236,653,679,14,15,13,43,19,43,8,0.95191,0.279671,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,7,1200.0,128,68,60,0.558824,0.75,0.933333,0.493568,0.372595,0.493568,0.740352,0.493568,51,38,2744,3746,2856,890,51,924.452864,125.093192,0.104244,366.083334,1145.147059,1511.230394,0.543217,0.332298,0.396373,10465,173089,183554,0.057013,79170,0.431317,1780,0,822,17,17,15,40,28,0,0,0.0,0.237587,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,7,1200.0,128,68,60,0.617647,0.779412,0.948299,0.50532,0.349223,0.50532,0.740352,0.493568,53,42,2788,3593,2900,693,53,886.694912,120.615382,0.100513,351.131185,1098.374522,1449.505707,0.512193,0.31332,0.436839,10280,165777,176057,0.05839,75696,0.429952,1732,0,627,13,13,11,44,24,0,0,0.0,0.192875,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,7,1200.0,128,68,60,0.808824,0.823529,0.967347,0.983775,0.833912,0.983775,2.493568,2.740352,56,55,2844,3309,2562,747,56,816.608256,126.068639,0.105057,323.376869,1035.60571,1358.98258,0.468776,0.281686,0.428155,11080,151061,162141,0.068336,73744,0.454814,1584,813,678,13,14,12,45,23,40,6,0.942795,0.225748,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,8,1200.0,125,63,62,0.428571,0.746032,0.951613,0.530129,0.462064,0.530129,0.740352,0.839066,47,27,2891,4160,3010,1150,49,1026.62144,126.53485,0.105446,406.54209,1252.926889,1659.468979,0.568701,0.351824,0.302497,10565,193275,203840,0.05183,84382,0.413962,1606,0,1078,23,22,21,32,31,0,0,0.0,0.276442,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,8,1200.0,125,63,62,0.666667,0.920635,0.967742,0.540574,0.39145,0.540574,0.740352,0.987136,58,42,2940,3885,3072,813,62,958.75584,125.301397,0.104418,379.667313,1174.883186,1554.550499,0.521311,0.321514,0.299732,11415,178950,190365,0.059964,78370,0.411683,1543,0,735,16,15,15,48,15,0,0,0.0,0.209266,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,8,1200.0,125,63,62,0.761905,0.761905,0.983871,1.055264,0.80848,1.055264,2.493568,2.740352,48,48,2989,3447,2699,748,48,850.664448,110.699628,0.09225,336.863121,1045.528937,1382.392058,0.455183,0.2801,0.274055,9995,158908,168903,0.059176,70411,0.416872,960,637,686,14,14,13,39,24,0,6,0.94591,0.217,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
