protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,12,3,9,1.0,1.0,1.0,0.911878,0.791985,0.911878,1.32724,1.471112,3,3,441,140,135,5,5,10.07104,5.93205,0.009887,3.988132,16.279507,20.267639,0.045648,0.022683,0.117847,2207,4653,6860,0.32172,4143,0.603936,1389,566,0,0,0,0,0,0,0,0,0.0,0.035714,0,0,0.0,-1,0,0,0,meshecho_v2_1_15_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0,0.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshcore-like,1,600.0,12,3,9,0.333333,0.666667,0.997732,2.431616,2.215808,2.431616,2.28055,2.431616,2,1,440,606,452,154,3,43.593216,12.184535,0.020308,17.262914,66.607095,83.870009,0.190181,0.098851,0.109997,2947,26747,29694,0.099246,21712,0.731191,1925,0,147,4,3,2,0,3,0,0,0.0,0.254125,0,0,0.0,-1,0,0,0,meshecho_v2_1_15_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,1,0.6666666666666666,0.027210884353741496,0,1.5,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
calm-mesh,1,600.0,12,3,9,0.666667,0.666667,1.0,2.53952,2.35968,2.53952,2.424422,2.636634,2,2,441,352,194,158,5,25.321472,10.010436,0.016684,10.027303,39.48844,49.515743,0.111774,0.057159,0.117621,2979,14269,17248,0.172716,11952,0.69295,1661,419,147,6,3,2,0,3,0,0,0.774957,0.448864,0,0,0.0,-1,0,0,0,meshecho_v2_1_15_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.6666666666666666,0.04081632653061224,0,2.5,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
smart-calm,1,600.0,12,3,9,0.333333,0.333333,1.0,2.647424,2.431616,2.647424,2.431616,2.647424,1,1,441,353,197,156,3,25.393408,9.494307,0.015824,10.05579,39.49822,49.55401,0.112113,0.057451,0.109655,2570,14727,17297,0.148581,12359,0.714517,1498,412,147,6,3,1,0,3,0,0,0.75875,0.441926,2,23,1.878017,1,1,2,0,meshecho_v2_1_15_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,1,1,0.3333333333333333,0.04081632653061224,0,3.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
smart-calm-static,1,600.0,12,3,9,0.666667,0.666667,1.0,2.53952,2.35968,2.53952,2.424422,2.636634,2,2,441,352,194,158,5,25.321472,10.010436,0.016684,10.027303,39.48844,49.515743,0.111774,0.057159,0.117621,2979,14269,17248,0.172716,11952,0.69295,1661,419,147,6,3,2,0,3,0,0,0.774957,0.448864,0,0,0.0,1,0,3,0,meshecho_v2_1_15_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.6666666666666666,0.04081632653061224,0,2.5,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
smart-calm-no-fallback,1,600.0,12,3,9,0.333333,0.333333,1.0,2.647424,2.431616,2.647424,2.431616,2.647424,1,1,441,353,197,156,3,25.393408,9.494307,0.015824,10.05579,39.49822,49.55401,0.112113,0.057451,0.109655,2570,14727,17297,0.148581,12359,0.714517,1498,412,147,6,3,1,0,3,0,0,0.75875,0.441926,2,23,1.878017,1,1,2,0,meshecho_v2_1_15_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,1,1,0.3333333333333333,0.04081632653061224,0,3.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
smart-calm-no-confidence,1,600.0,12,3,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,441,353,202,151,0,25.393408,9.319874,0.015533,10.05579,39.576464,49.632253,0.112545,0.057581,0.099084,2156,15141,17297,0.124646,12848,0.742788,1425,394,147,4,3,0,0,3,0,0,0.722061,0.427762,4,23,-1.899335,1,1,1,1,meshecho_v2_1_15_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.027210884353741496,0,0.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshtastic-like,2,600.0,15,8,7,0.5,1.0,1.0,1.322541,0.995432,1.322541,2.269796,2.34648,8,4,343,255,242,13,13,18.34368,9.235873,0.015393,7.264097,29.45373,36.717828,0.105815,0.052864,0.148845,2804,9691,12495,0.22441,8613,0.689316,1645,686,0,0,0,0,0,0,0,0,0.0,0.05098,0,0,0.0,-1,0,0,0,meshecho_v2_1_15_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0,0.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshcore-like,2,600.0,15,8,7,0.375,0.5,1.0,2.431616,2.251776,2.431616,2.287744,2.431616,4,3,343,721,358,363,7,51.865856,16.149929,0.026917,20.538879,79.233616,99.772495,0.28836,0.149901,0.13556,4582,30747,35329,0.129695,24652,0.697784,2691,0,344,12,8,5,0,8,0,0,0.0,0.503467,0,0,0.0,-1,0,0,0,meshecho_v2_1_15_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,5,3,0.625,0.03488372093023256,0,1.6,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
calm-mesh,2,600.0,15,8,7,0.625,0.625,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,5,5,343,613,196,417,10,44.096768,16.109439,0.026849,17.46232,68.367571,85.829891,0.246638,0.126715,0.147271,4602,25435,30037,0.153211,21005,0.699304,2322,321,392,15,8,6,0,8,0,0,0.791417,0.680261,0,0,0.0,-1,0,0,0,meshecho_v2_1_15_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,6,6,0.75,0.03826530612244898,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
