protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,117,117,0,0.820513,0.948718,0.0,0.595482,0.595846,0.595482,3.08543,0.493568,111,96,0,4583,4458,125,125,1131.011072,183.23194,0.152693,447.880385,1500.856567,1948.736951,20.299343,11.781365,0.595846,13487,211080,224567,0.060058,120020,0.534451,2937,1826,0,0,0,0,0,0,0,0,0.0,0.027275,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,117,117,0,0.82906,0.837607,0.0,0.794683,0.567753,0.794683,2.493568,2.740352,98,97,0,1001,103,898,98,247.030784,71.550044,0.059625,97.82419,323.524029,421.34822,4.343796,2.546709,0.567753,11348,37701,49049,0.23136,16741,0.341312,237,0,784,16,16,14,88,29,0,0,0.0,0.897103,0,0,0.0,-1,0,0,0
calm-mesh,1,1200.0,117,117,0,0.880342,0.888889,0.0,0.818374,0.59007,0.818374,2.493568,2.740352,104,103,0,1054,149,905,104,260.110336,74.678428,0.062232,103.003693,336.316016,439.319709,4.26524,2.525343,0.59007,11963,39683,51646,0.231635,16579,0.321012,209,11,785,16,17,15,92,25,41,9,0.942616,0.858634,0,0,0.0,-1,0,0,0
smart-calm,1,1200.0,117,117,0,0.974359,0.982906,0.0,1.772998,1.270278,1.772998,2.093568,15.493568,115,114,0,998,131,867,117,246.290432,80.456741,0.067047,97.531011,323.054291,420.585302,3.689345,2.160442,1.270278,13165,35737,48902,0.269212,14979,0.306306,176,0,735,15,15,15,101,16,1,7,0.955023,0.868737,3,157,168.988514,0,116,1,0
smart-calm-static,1,1200.0,117,117,0,0.974359,0.982906,0.0,2.497559,2.259117,2.497559,15.246784,15.493568,115,114,0,1404,487,917,116,346.484736,88.443805,0.073703,137.207955,445.848977,583.056933,5.114534,3.03934,2.259117,13233,55563,68796,0.192351,24275,0.352855,305,84,785,16,17,15,92,25,369,9,0.942672,0.653134,0,0,0.0,1,0,117,0
smart-calm-no-fallback,1,1200.0,117,117,0,0.965812,0.974359,0.0,1.662196,1.158203,1.662196,2.493568,7.841638,114,113,0,996,130,866,116,245.796864,79.963173,0.066636,97.335558,322.232248,419.567806,3.712989,2.175193,1.158203,13067,35737,48804,0.267744,14979,0.306922,176,0,735,15,15,15,101,16,0,7,0.95478,0.869478,6,157,166.405774,1,103,14,0
smart-calm-no-confidence,1,1200.0,117,117,0,0.974359,0.982906,0.0,1.772998,1.270278,1.772998,2.093568,15.493568,115,114,0,998,131,867,117,246.290432,80.456741,0.067047,97.531011,323.054291,420.585302,3.689345,2.160442,1.270278,13165,35737,48902,0.269212,14979,0.306306,176,0,735,15,15,15,101,16,1,7,0.955023,0.868737,3,157,160.094662,0,116,1,0
meshtastic-like,2,1200.0,126,126,0,0.873016,0.960317,0.0,0.541038,0.464643,0.541038,1.876159,0.493568,121,110,0,5031,4905,126,126,1241.570304,190.503285,0.158753,491.66184,1641.794904,2133.456744,19.395061,11.287003,0.464643,14488,232031,246519,0.05877,130538,0.529525,2933,1988,0,0,0,0,0,0,0,0,0.0,0.025045,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,126,126,0,0.68254,0.714286,0.0,0.754822,0.521391,0.754822,2.493568,2.740352,90,86,0,884,95,789,90,218.157056,70.14853,0.058457,86.390194,294.391852,380.782046,4.427698,2.53671,0.521391,10352,32964,43316,0.238988,16524,0.381476,462,0,686,13,14,11,84,42,0,0,0.0,0.892534,0,0,0.0,-1,0,0,0
calm-mesh,2,1200.0,126,126,0,0.793651,0.825397,0.0,0.763182,0.559782,0.763182,2.493568,2.740352,104,100,0,1048,145,903,104,258.629632,82.230209,0.068525,102.417334,346.105032,448.522366,4.485224,2.586296,0.559782,11877,39475,51352,0.231286,19294,0.375721,492,47,784,15,17,13,94,32,38,9,0.945183,0.861641,0,0,0.0,-1,0,0,0
smart-calm,2,1200.0,126,126,0,0.960317,0.97619,0.0,2.082499,1.683915,2.082499,15.246784,15.493568,123,121,0,1013,171,842,130,249.992192,90.707059,0.075589,98.996908,343.404035,442.400943,3.656206,2.066051,1.683915,13943,35694,49637,0.280899,18297,0.368616,392,46,699,13,15,12,102,24,48,7,0.948863,0.831194,5,166,168.196149,0,124,0,2
smart-calm-static,2,1200.0,126,126,0,0.952381,0.97619,0.0,3.574523,3.072408,3.574523,15.246784,15.493568,123,120,0,1849,921,928,129,456.303616,110.545402,0.092121,180.696232,595.250996,775.947228,6.466227,3.80253,3.072408,14410,76191,90601,0.159049,36955,0.407887,776,258,784,15,17,13,94,32,802,9,0.944368,0.501893,0,0,0.0,1,0,126,0
smart-calm-no-fallback,2,1200.0,126,126,0,0.809524,0.825397,0.0,0.855476,0.457502,0.855476,2.093568,2.340352,104,102,0,970,115,855,109,239.38048,79.278885,0.066066,94.79467,322.903303,417.697973,4.095078,2.346867,0.457502,11996,35534,47530,0.252388,17465,0.367452,306,0,733,13,15,11,95,31,0,7,0.947843,0.881443,9,166,108.435633,0,118,0,8
smart-calm-no-confidence,2,1200.0,126,126,0,0.960317,0.97619,0.0,2.082499,1.683915,2.082499,15.246784,15.493568,123,121,0,1013,171,842,130,249.992192,90.707059,0.075589,98.996908,343.404035,442.400943,3.656206,2.066051,1.683915,13943,35694,49637,0.280899,18297,0.368616,392,46,699,13,15,12,102,24,48,7,0.948863,0.831194,5,166,159.528237,0,124,0,2
meshtastic-like,3,1200.0,129,129,0,0.813953,0.937984,0.0,0.652642,0.756618,0.652642,4.174116,1.737256,121,105,0,5040,4901,139,139,1243.79136,202.327171,0.168606,492.541379,1646.123209,2138.664588,20.368234,11.845632,0.756618,15054,231906,246960,0.060957,130535,0.528567,3409,2064,0,0,0,0,0,0,0,0,0.0,0.027579,0,0,0.0,-1,0,0,0
meshcore-like,3,1200.0,129,129,0,0.666667,0.689922,0.0,0.754822,0.524476,0.754822,2.493568,2.740352,89,86,0,934,96,838,89,230.496256,71.823982,0.059853,91.276517,310.211975,401.488492,4.668471,2.680189,0.524476,10565,35201,45766,0.230848,17633,0.385286,487,0,735,14,15,12,83,46,0,0,0.0,0.897216,0,0,0.0,-1,0,0,0
calm-mesh,3,1200.0,129,129,0,0.790698,0.821705,0.0,0.811456,0.630704,0.811456,2.493568,2.740352,106,102,0,1188,178,1010,113,293.179392,92.471184,0.077059,116.099039,397.22265,513.32169,5.032566,2.874308,0.630704,12695,45517,58212,0.218082,23803,0.408902,591,68,880,17,18,14,96,33,67,10,0.944564,0.850168,0,0,0.0,-1,0,0,0
smart-calm,3,1200.0,129,129,0,0.906977,0.930233,0.0,1.45905,0.874979,1.45905,2.113568,5.290995,120,117,0,1155,232,923,130,285.03552,95.011956,0.079177,112.874066,384.841685,497.715751,4.253981,2.436201,0.874979,14274,42321,56595,0.252213,20888,0.369079,332,40,779,14,16,13,113,16,83,8,0.952147,0.799134,7,169,154.542116,0,115,14,0
smart-calm-static,3,1200.0,129,129,0,0.930233,0.953488,0.0,3.263772,2.756337,3.263772,15.246784,15.493568,123,120,0,1794,760,1034,135,442.730496,113.614823,0.094679,175.321276,584.522504,759.84378,6.332032,3.689421,2.756337,14962,72944,87906,0.170205,36510,0.41533,810,174,882,17,18,14,96,33,633,10,0.945721,0.576366,0,0,0.0,1,0,129,0
smart-calm-no-fallback,3,1200.0,129,129,0,0.891473,0.914729,0.0,1.21845,0.71465,1.21845,2.093568,2.740352,118,115,0,1073,150,923,125,264.799232,92.871048,0.077393,104.860496,356.070199,460.930695,4.008093,2.302602,0.71465,14125,38452,52577,0.268654,18196,0.346083,441,0,784,14,16,13,113,16,0,9,0.951869,0.860205,4,169,147.244792,1,106,23,0
