protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
minhop-mesh,9,1200.0,127,58,69,0.758621,0.827586,0.981071,1.157391,0.902096,1.157391,2.493568,2.740352,48,44,3317,3729,2879,850,48,920.257536,132.032789,0.110027,364.421984,1171.930544,1536.352528,0.457112,0.273805,0.430382,10993,171728,182721,0.060163,85886,0.470039,1585,932,786,16,18,14,38,20,0,10,0.947402,0.227943,0,0,0.0,-1,0,0,0
meshecho,9,1200.0,127,58,69,0.793103,0.862069,0.983437,1.215485,0.955884,1.215485,2.493568,2.740352,50,46,3325,3851,3049,802,50,950.365184,128.944539,0.107454,376.344613,1182.734531,1559.079143,0.462498,0.281924,0.40282,10948,177751,188699,0.058018,82583,0.437644,1391,851,737,15,17,14,38,20,80,10,0.950379,0.208258,0,0,0.0,-1,0,0,0
meshtastic-like,10,1200.0,133,72,61,0.861111,0.930556,0.936768,0.606133,0.537116,0.606133,3.163145,0.493568,67,62,2800,5055,4980,75,75,1247.49312,181.217067,0.151014,494.007276,1639.504929,2133.512204,0.745462,0.435882,0.467642,12413,235282,247695,0.050114,130925,0.528573,3200,2106,0,0,0,0,0,0,0,0,0.0,0.014837,0,0,0.0,-1,0,0,0
meshcore-like,10,1200.0,133,72,61,0.722222,0.75,0.96554,1.012057,0.746069,1.012057,2.493568,2.740352,54,52,2886,3710,3006,704,54,915.56864,122.209702,0.101841,362.565181,1126.709822,1489.275003,0.506901,0.31163,0.351184,10914,170876,181790,0.060036,75973,0.417916,1612,0,638,12,14,12,49,23,0,0,0.0,0.189757,0,0,0.0,-1,0,0,0
etx-mesh,10,1200.0,133,72,61,0.847222,0.875,0.998662,1.009223,0.746069,1.009223,2.493568,2.740352,63,61,2985,3376,2570,806,63,833.142784,136.455154,0.113713,329.924542,1076.112271,1406.036813,0.461601,0.27352,0.492688,12252,153172,165424,0.074064,78918,0.477065,1761,977,729,14,16,14,56,16,0,8,0.470514,0.238744,0,0,0.0,-1,0,0,0
ett-mesh,10,1200.0,133,72,61,0.847222,0.875,0.998662,1.009223,0.746069,1.009223,2.493568,2.740352,63,61,2985,3376,2570,806,63,833.142784,136.455154,0.113713,329.924542,1076.112271,1406.036813,0.461601,0.27352,0.492688,12252,153172,165424,0.074064,78918,0.477065,1761,977,729,14,16,14,56,16,0,8,0.772578,0.238744,0,0,0.0,-1,0,0,0
minhop-mesh,10,1200.0,133,72,61,0.847222,0.875,0.998662,1.009223,0.746069,1.009223,2.493568,2.740352,63,61,2985,3376,2570,806,63,833.142784,136.455154,0.113713,329.924542,1076.112271,1406.036813,0.461601,0.27352,0.492688,12252,153172,165424,0.074064,78918,0.477065,1761,977,729,14,16,14,56,16,0,8,0.950514,0.238744,0,0,0.0,-1,0,0,0
meshecho,10,1200.0,133,72,61,0.847222,0.888889,0.981599,1.04201,0.769518,1.04201,2.493568,2.740352,64,61,2934,3438,2624,814,64,848.443392,128.780411,0.107317,335.983583,1064.5869,1400.570484,0.467636,0.283287,0.399346,11894,156568,168462,0.070603,73509,0.436354,1404,829,736,14,16,14,56,16,44,8,0.950514,0.236766,0,0,0.0,-1,0,0,0
meshtastic-like,11,1200.0,140,66,74,0.833333,0.939394,0.878378,0.607477,0.526073,0.607477,2.845019,0.493568,62,55,3185,5185,5115,70,70,1279.57504,177.464147,0.147887,506.711716,1658.71388,2165.425595,0.668341,0.394931,0.351138,11985,242080,254065,0.047173,129986,0.511625,2902,2008,0,0,0,0,0,0,0,0,0.0,0.0135,0,0,0.0,-1,0,0,0
meshcore-like,11,1200.0,140,66,74,0.681818,0.69697,0.90513,0.942925,0.735215,0.942925,2.493568,2.740352,46,45,3282,4147,3400,747,46,1023.413248,142.966367,0.119139,405.271646,1265.903416,1671.175062,0.502307,0.307608,0.534406,11011,192192,203203,0.054187,88436,0.43521,2164,0,687,14,15,11,41,25,0,0,0.0,0.18013,0,0,0.0,-1,0,0,0
etx-mesh,11,1200.0,140,66,74,0.69697,0.712121,0.943188,0.933156,0.724823,0.933156,2.493568,2.740352,47,46,3420,3787,2990,797,47,934.571008,138.313305,0.115261,370.090119,1185.527797,1555.617916,0.448822,0.26964,0.498673,11161,174402,185563,0.060147,86919,0.468407,1958,1044,736,14,16,12,42,24,0,9,0.466442,0.210457,0,0,0.0,-1,0,0,0
ett-mesh,11,1200.0,140,66,74,0.69697,0.712121,0.943188,0.933156,0.724823,0.933156,2.493568,2.740352,47,46,3420,3787,2990,797,47,934.571008,138.313305,0.115261,370.090119,1185.527797,1555.617916,0.448822,0.26964,0.498673,11161,174402,185563,0.060147,86919,0.468407,1958,1044,736,14,16,12,42,24,0,9,0.769495,0.210457,0,0,0.0,-1,0,0,0
minhop-mesh,11,1200.0,140,66,74,0.69697,0.712121,0.943188,0.933156,0.724823,0.933156,2.493568,2.740352,47,46,3420,3787,2990,797,47,934.571008,138.313305,0.115261,370.090119,1185.527797,1555.617916,0.448822,0.26964,0.498673,11161,174402,185563,0.060147,86919,0.468407,1958,1044,736,14,16,12,42,24,0,9,0.945911,0.210457,0,0,0.0,-1,0,0,0
meshecho,11,1200.0,140,66,74,0.69697,0.712121,0.936293,0.976634,0.767376,0.976634,2.493568,2.740352,47,46,3395,3814,3018,796,47,941.234176,143.435456,0.11953,372.728734,1186.0227,1558.751434,0.452994,0.273535,0.558258,11084,175802,186886,0.059309,85571,0.457878,1903,991,735,14,16,11,41,25,45,9,0.945482,0.208705,0,0,0.0,-1,0,0,0
meshtastic-like,12,1200.0,132,63,69,0.793651,0.936508,0.954451,0.737118,0.826099,0.737118,5.236713,2.073047,59,50,3227,5039,4960,79,79,1243.544576,187.962154,0.156635,492.443652,1635.629586,2128.073238,0.649397,0.379477,0.579353,12239,234672,246911,0.049568,131446,0.532362,3151,2112,0,0,0,0,0,0,0,0,0.0,0.015678,0,0,0.0,-1,0,0,0
meshcore-like,12,1200.0,132,63,69,0.412698,0.412698,0.987873,1.193388,0.899146,1.193388,2.493568,2.740352,26,26,3340,4022,3430,592,31,992.565248,137.661556,0.114718,393.055838,1248.288221,1641.344059,0.487624,0.29488,0.563489,9722,187356,197078,0.049331,91054,0.46202,2338,0,550,11,12,8,23,40,0,0,0.0,0.14719,0,0,0.0,-1,0,0,0
etx-mesh,12,1200.0,132,63,69,0.52381,0.52381,0.97693,1.174412,0.927628,1.174412,2.493568,2.740352,33,33,3303,3609,2833,776,33,890.643456,130.758311,0.108965,352.694809,1149.014014,1501.708823,0.450153,0.266979,0.441019,9623,167218,176841,0.054416,87640,0.495586,1897,1014,730,13,15,10,27,36,0,7,0.466473,0.215018,0,0,0.0,-1,0,0,0
ett-mesh,12,1200.0,132,63,69,0.52381,0.52381,0.97693,1.174412,0.927628,1.174412,2.493568,2.740352,33,33,3303,3609,2833,776,33,890.643456,130.758311,0.108965,352.694809,1149.014014,1501.708823,0.450153,0.266979,0.441019,9623,167218,176841,0.054416,87640,0.495586,1897,1014,730,13,15,10,27,36,0,7,0.770585,0.215018,0,0,0.0,-1,0,0,0
minhop-mesh,12,1200.0,132,63,69,0.52381,0.52381,0.97693,1.174412,0.927628,1.174412,2.493568,2.740352,33,33,3303,3609,2833,776,33,890.643456,130.758311,0.108965,352.694809,1149.014014,1501.708823,0.450153,0.266979,0.441019,9623,167218,176841,0.054416,87640,0.495586,1897,1014,730,13,15,10,27,36,0,7,0.945373,0.215018,0,0,0.0,-1,0,0,0
meshecho,12,1200.0,132,63,69,0.809524,0.809524,0.982254,1.150903,0.904119,1.150903,2.493568,2.740352,51,51,3321,3810,2945,865,51,940.24704,142.760102,0.118967,372.337828,1195.635564,1567.973392,0.464998,0.27884,0.46574,11777,174913,186690,0.063083,86833,0.465119,1911,1015,798,16,18,14,42,21,52,10,0.955345,0.227034,0,0,0.0,-1,0,0,0
meshtastic-like,13,1200.0,129,63,66,0.793651,0.888889,0.934756,0.726745,0.681871,0.726745,3.028368,2.201802,56,50,3023,4937,4872,65,65,1218.372608,170.687043,0.142239,482.475553,1584.579073,2067.054625,0.67265,0.396477,0.645444,11199,230714,241913,0.046294,125551,0.518992,2501,1717,0,0,0,0,0,0,0,0,0.0,0.013166,0,0,0.0,-1,0,0,0
meshcore-like,13,1200.0,129,63,66,0.714286,0.730159,0.969697,0.992853,0.784058,0.992853,2.493568,2.740352,46,45,3136,3953,3256,697,46,975.537152,126.011138,0.105009,386.312712,1188.346228,1574.658941,0.49502,0.306676,0.423074,10554,183143,193697,0.054487,79929,0.41265,1655,0,638,13,14,12,43,20,0,0,0.0,0.176322,0,0,0.0,-1,0,0,0
etx-mesh,13,1200.0,129,63,66,0.777778,0.793651,0.939394,1.043801,0.830948,1.043801,2.493568,2.740352,50,49,3038,3480,2679,801,50,858.80832,120.939942,0.100783,340.088095,1081.262618,1421.350713,0.460431,0.278202,0.358222,10657,159863,170520,0.062497,77019,0.451671,1297,802,736,15,16,13,46,17,0,8,0.469611,0.230172,0,0,0.0,-1,0,0,0
