protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,selected_path,final_cached_path,weak_link_shadowing_db,weak_edge,selected_confidence,final_cached_confidence,candidate_count,short_candidate_seen,long_candidate_seen,short_candidate_confidence,long_candidate_confidence,selected_route_class
meshecho-confidence,1,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,1,1,23,1,0,0,0.803396,0.524752,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.83,0.83,2,1,1,0.724846,0.83,long
meshecho-no-confidence,1,751.0,24,24,0,0.791667,0.916667,0.0,2.151249,1.319459,2.151249,0.740352,2.754739,22,19,0,142,70,72,63,35.043328,35.043328,0.046662,13.877158,7.146736,21.023894,1.106521,1.844386,1.319459,274,10,284,0.964789,0,0.0,0,0,6,3,1,1,23,1,0,0,0.698223,0.507042,0,0,0.0,-1,0,0,0,0-1-2-5,0-1-2-5,7.5,1-2,0.724846,0.724846,2,1,1,0.724846,0.83,short
meshecho-confidence,2,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,1,1,23,1,0,0,0.803396,0.524752,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.83,0.83,2,1,1,0.724846,0.83,long
meshecho-no-confidence,2,751.0,24,24,0,0.833333,0.916667,0.0,2.117722,1.319459,2.117722,0.740352,2.117722,22,20,0,143,70,73,64,35.290112,35.290112,0.046991,13.974884,7.197065,21.17195,1.058597,1.764506,1.319459,277,9,286,0.968531,0,0.0,0,0,6,3,1,1,23,1,0,0,0.698223,0.51049,0,0,0.0,-1,0,0,0,0-1-2-5,0-1-2-5,7.5,1-2,0.724846,0.724846,2,1,1,0.724846,0.83,short
meshecho-confidence,3,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,1,1,23,1,0,0,0.803396,0.524752,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.83,0.83,2,1,1,0.724846,0.83,long
meshecho-no-confidence,3,751.0,24,24,0,0.875,0.916667,0.0,2.087387,1.319459,2.087387,0.740352,1.480704,22,21,0,144,70,74,65,35.536896,35.536896,0.047319,14.072611,7.247395,21.320005,1.015238,1.692233,1.319459,278,10,288,0.965278,0,0.0,0,0,6,3,1,1,23,1,0,0,0.698223,0.513889,0,0,0.0,-1,0,0,0,0-1-2-5,0-1-2-5,7.5,1-2,0.724846,0.724846,2,1,1,0.724846,0.83,short
meshecho-confidence,4,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,403,1,404,0.997525,0,0.0,0,0,6,4,1,1,23,1,0,0,0.803396,0.524752,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.83,0.83,2,1,1,0.724846,0.83,long
meshecho-no-confidence,4,751.0,24,24,0,0.833333,0.958333,0.0,2.117722,1.29428,2.117722,0.740352,2.117722,23,20,0,146,71,75,66,36.030464,36.030464,0.047977,14.268064,7.348053,21.616117,1.080806,1.801523,1.29428,279,13,292,0.955479,0,0.0,0,0,6,3,1,1,23,1,0,0,0.698223,0.513699,0,0,0.0,-1,0,0,0,0-1-2-5,0-1-2-5,7.5,1-2,0.724846,0.724846,2,1,1,0.724846,0.83,short
meshecho-confidence,5,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,1,1,23,1,0,0,0.803396,0.522388,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.83,0.83,1,0,1,0.0,0.83,long
meshecho-no-confidence,5,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,1,1,23,1,0,0,0.803396,0.522388,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.83,0.83,1,0,1,0.0,0.83,long
