protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
calm-mesh,4,1200.0,112,112,0,0.785714,0.8125,0.0,0.799948,0.592443,0.799948,2.493568,2.740352,91,88,0,940,99,841,91,231.97696,66.848404,0.055707,91.862876,300.020326,391.883202,4.453218,2.636102,0.592443,10622,35438,46060,0.230612,14852,0.322449,221,0,735,15,85,27,0,7,0.948916,0.894681,0,0,0.0,-1,0,0,0
smart-calm,4,1200.0,112,112,0,0.9375,0.964286,0.0,2.439299,2.188283,2.439299,4.390236,2.340352,108,105,0,1163,252,911,112,287.009792,85.146844,0.070956,113.655878,377.795607,491.451484,4.68049,2.733427,2.188283,12878,44109,56987,0.225981,20228,0.354958,387,48,784,15,95,17,126,9,0.951206,0.783319,3,152,139.471824,0,111,1,0
meshtastic-like,5,1200.0,134,134,0,0.783582,0.947761,0.0,0.675775,0.812426,0.675775,4.113786,1.519287,127,105,0,5177,5029,148,148,1277.600768,208.099259,0.173416,505.929904,1690.496724,2196.426629,20.918349,12.167626,0.812426,15808,237865,253673,0.062316,133994,0.528215,3624,2238,0,0,0,0,0,0,0.0,0.028588,0,0,0.0,-1,0,0,0
meshcore-like,5,1200.0,134,134,0,0.537313,0.701493,0.0,0.493568,0.3623,0.493568,0.740352,0.493568,94,72,0,1398,102,1296,94,345.004032,76.911817,0.064093,136.621597,438.182173,574.80377,7.983386,4.791723,0.3623,10963,57539,68502,0.160039,25044,0.365595,390,0,1177,25,79,55,0,0,0.0,0.927039,0,0,0.0,-1,0,0,0
calm-mesh,5,1200.0,134,134,0,0.873134,0.88806,0.0,0.798711,0.565679,0.798711,2.493568,2.740352,119,117,0,1142,174,968,119,281.827328,86.709352,0.072258,111.603622,370.825022,482.428644,4.123322,2.408781,0.565679,13596,42362,55958,0.242968,18867,0.337164,273,15,833,16,115,19,42,10,0.94529,0.847636,0,0,0.0,-1,0,0,0
smart-calm,5,1200.0,134,134,0,0.858209,0.91791,0.0,14.060635,14.096802,14.060635,35.959221,35.805082,123,115,0,2492,1742,750,130,614.985728,120.996043,0.10083,243.534348,784.891154,1028.425503,8.94283,5.347702,14.096802,14225,107883,122108,0.116495,51031,0.417917,739,361,607,13,79,55,1628,7,0.943748,0.300963,17,172,84.345782,0,107,26,1
meshtastic-like,6,1200.0,92,92,0,0.902174,0.98913,0.0,0.705187,0.666502,0.705187,2.799525,1.920372,91,83,0,3690,3582,108,108,910.63296,153.902819,0.128252,360.610652,1216.513764,1577.124416,19.001499,10.971481,0.666502,11595,169215,180810,0.064128,97894,0.541419,2684,1614,0,0,0,0,0,0,0.0,0.029268,0,0,0.0,-1,0,0,0
meshcore-like,6,1200.0,92,92,0,0.619565,0.869565,0.0,0.502227,0.37943,0.502227,0.740352,0.493568,80,57,0,1372,89,1283,81,338.587648,75.217922,0.062682,134.080709,436.630358,570.711067,10.012475,5.940134,0.37943,9815,57413,67228,0.145996,27092,0.402987,565,0,1177,25,64,28,0,0,0.0,0.935131,0,0,0.0,-1,0,0,0
calm-mesh,6,1200.0,92,92,0,0.75,0.771739,0.0,0.916875,0.658167,0.916875,2.493568,2.740352,71,69,0,898,78,820,71,221.612032,58.556877,0.048797,87.758365,285.802347,373.560712,5.413923,3.211769,0.658167,8524,35478,44002,0.193718,15626,0.35512,255,0,734,15,64,28,0,7,0.950843,0.91314,0,0,0.0,-1,0,0,0
smart-calm,6,1200.0,92,92,0,0.945652,0.967391,0.0,9.643087,8.08745,9.643087,35.246784,35.493568,89,87,0,1500,654,846,98,370.176,85.6672,0.071389,146.589696,482.295655,628.885351,7.228567,4.254897,8.08745,10780,62720,73500,0.146667,30722,0.417986,567,159,734,14,64,28,564,7,0.957119,0.564,3,131,112.430812,0,70,22,0
meshtastic-like,7,1200.0,114,114,0,0.885965,0.95614,0.0,0.671381,0.55098,0.671381,2.530191,1.942911,109,101,0,4486,4360,126,126,1107.073024,170.508798,0.142091,438.400918,1459.687339,1898.088257,18.792953,10.961119,0.55098,13484,206330,219814,0.061343,114971,0.523038,2593,1672,0,0,0,0,0,0,0.0,0.028087,0,0,0.0,-1,0,0,0
meshcore-like,7,1200.0,114,114,0,0.710526,0.938596,0.0,0.517942,0.378248,0.517942,0.740352,0.493568,107,81,0,1675,116,1559,108,413.3632,88.4185,0.073682,163.691827,526.182655,689.874482,8.516969,5.103249,0.378248,12463,69612,82075,0.151849,30938,0.376948,426,0,1421,30,85,29,0,0,0.0,0.930746,0,0,0.0,-1,0,0,0
calm-mesh,7,1200.0,114,114,0,0.745614,0.754386,0.0,0.810761,0.560289,0.810761,2.493568,2.740352,86,85,0,873,87,786,86,215.442432,61.729177,0.051441,85.315203,278.940809,364.256012,4.285365,2.534617,0.560289,9891,32886,42777,0.231222,13847,0.323702,217,0,686,14,75,39,0,6,0.942722,0.900344,0,0,0.0,-1,0,0,0
smart-calm,7,1200.0,114,114,0,0.973684,0.991228,0.0,5.406312,4.526878,5.406312,35.246784,35.493568,113,111,0,1506,605,901,115,371.656704,97.381966,0.081152,147.176055,489.828248,637.004302,5.738777,3.348259,4.526878,13060,60734,73794,0.176979,29964,0.406049,536,144,771,15,89,25,498,8,0.952249,0.598274,1,154,146.441052,0,114,0,0
meshtastic-like,8,1200.0,105,105,0,0.819048,0.952381,0.0,0.737765,0.632897,0.737765,2.924288,2.512229,100,86,0,4145,4023,122,122,1022.91968,159.934515,0.133279,405.076193,1343.234123,1748.310316,20.32919,11.894415,0.632897,12230,190875,203105,0.060215,105477,0.519323,2340,1502,0,0,0,0,0,0,0.0,0.029433,0,0,0.0,-1,0,0,0
meshcore-like,8,1200.0,105,105,0,0.457143,0.695238,0.0,0.493568,0.395531,0.493568,0.740352,0.493568,73,48,0,1304,80,1224,73,321.806336,67.721941,0.056435,127.435309,408.680915,536.116224,11.169088,6.704299,0.395531,8726,55170,63896,0.136566,24822,0.388475,487,0,1128,23,57,48,0,0,0.0,0.93865,0,0,0.0,-1,0,0,0
calm-mesh,8,1200.0,105,105,0,0.87619,0.92381,0.0,0.881631,0.638006,0.881631,2.493568,2.740352,97,92,0,1048,150,898,97,258.629632,71.303773,0.05942,102.417334,332.256133,434.673467,4.724712,2.811192,0.638006,11234,40118,51352,0.218765,16659,0.324408,243,5,785,16,87,18,46,9,0.947948,0.85687,0,0,0.0,-1,0,0,0
