calm_discovery_window_s,calm_fallback_confidence_threshold,calm_fallback_ttl,calm_hop_penalty_per_hop,calm_route_age_penalty,score,calm_pdr,meshcore_pdr,meshtastic_pdr,calm_airtime_s,meshcore_airtime_s,meshtastic_airtime_s,calm_collision_fail,meshcore_collision_fail,calm_delay_s,meshcore_delay_s
1.6,0.0,2,0.035,0.15,-0.220389,0.664168,0.767096,0.925722,102.785536,104.204544,179.473664,5335.0,5300.5,0.906761,0.419216
1.6,0.0,2,0.035,0.3,-0.220389,0.664168,0.767096,0.925722,102.785536,104.204544,179.473664,5335.0,5300.5,0.906761,0.419216
1.6,0.0,2,0.035,0.45,-0.220389,0.664168,0.767096,0.925722,102.785536,104.204544,179.473664,5335.0,5300.5,0.906761,0.419216
1.6,0.0,2,0.055,0.15,-0.220389,0.664168,0.767096,0.925722,102.785536,104.204544,179.473664,5335.0,5300.5,0.906761,0.419216
1.6,0.0,2,0.055,0.3,-0.220389,0.664168,0.767096,0.925722,102.785536,104.204544,179.473664,5335.0,5300.5,0.906761,0.419216
1.6,0.0,2,0.055,0.45,-0.220389,0.664168,0.767096,0.925722,102.785536,104.204544,179.473664,5335.0,5300.5,0.906761,0.419216
1.6,0.0,2,0.075,0.15,-0.220389,0.664168,0.767096,0.925722,102.785536,104.204544,179.473664,5335.0,5300.5,0.906761,0.419216
1.6,0.0,2,0.075,0.3,-0.220389,0.664168,0.767096,0.925722,102.785536,104.204544,179.473664,5335.0,5300.5,0.906761,0.419216
