protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses
meshtastic-like,9,1200.0,128,128,0,0.953125,0.0,0.400577,4843,4843,0,1195.174912,9.796516,8632,228675,124743,2658,1919,0,0,0,0
meshcore-like,9,1200.0,128,128,0,0.984375,0.0,0.340797,1328,128,1200,327.729152,2.601025,9034,56038,25248,463,0,1176,24,104,24
meshtastic-like,10,1200.0,119,119,0,0.932773,0.0,0.610053,4420,4420,0,1090.78528,9.826894,8421,208159,114893,2982,1852,0,0,0,0
meshcore-like,10,1200.0,119,119,0,0.579832,0.0,0.356592,981,74,907,242.095104,3.508625,5577,42492,19410,419,0,888,19,58,61
meshtastic-like,11,1200.0,123,123,0,0.95122,0.0,0.720974,4723,4723,0,1165.560832,9.962058,8922,222505,126304,3171,2028,0,0,0,0
meshcore-like,11,1200.0,123,123,0,0.731707,0.0,0.350982,1193,95,1098,294.413312,3.271259,7008,51449,24513,484,0,1076,22,75,48
meshtastic-like,12,1200.0,134,134,0,0.955224,0.0,0.557552,5142,5142,0,1268.963328,9.913776,9392,242566,131666,3126,2042,0,0,0,0
meshcore-like,12,1200.0,134,134,0,0.880597,0.0,0.358262,1428,127,1301,352.407552,2.986505,9169,60803,27299,595,0,1274,27,97,37
meshtastic-like,13,1200.0,111,111,0,0.963964,0.0,0.515696,4298,4298,0,1060.677632,9.912875,7636,202966,110744,2410,1565,0,0,0,0
meshcore-like,13,1200.0,111,111,0,0.873874,0.0,0.373992,1491,103,1388,367.954944,3.79335,8025,65034,30367,566,0,1359,29,77,34
meshtastic-like,14,1200.0,125,125,0,0.952,0.0,0.520659,4987,4987,0,1230.711808,10.342116,8301,236062,126977,2435,1720,0,0,0,0
meshcore-like,14,1200.0,125,125,0,0.944,0.0,0.347171,1375,125,1250,339.328,2.875661,8676,58699,25817,376,0,1225,25,100,25
meshtastic-like,15,1200.0,124,124,0,0.927419,0.0,0.471748,4762,4762,0,1175.185408,10.219004,7877,225461,116708,2281,1569,0,0,0,0
meshcore-like,15,1200.0,124,124,0,0.677419,0.0,0.360211,1097,94,1003,270.722048,3.222882,6604,47149,20423,276,0,981,22,70,54
meshtastic-like,16,1200.0,129,129,0,0.937984,0.0,0.687435,4960,4960,0,1224.04864,10.116104,8913,234127,127512,3003,1848,0,0,0,0
meshcore-like,16,1200.0,129,129,0,0.75969,0.0,0.367658,1407,106,1301,347.225088,3.543113,7768,61175,27634,459,0,1274,27,81,48
meshtastic-like,17,1200.0,95,95,0,0.957895,0.0,0.409972,3639,3639,0,898.046976,9.868648,6495,171816,94922,2036,1425,0,0,0,0
meshcore-like,17,1200.0,95,95,0,1.0,0.0,0.387061,1445,95,1350,356.60288,3.753715,7670,63135,27001,418,0,1323,27,68,27
meshtastic-like,18,1200.0,118,118,0,0.915254,0.0,0.495935,4370,4370,0,1078.44608,9.985612,7773,206357,115670,2493,1706,0,0,0,0
meshcore-like,18,1200.0,118,118,0,0.70339,0.0,0.371663,1234,87,1147,304.531456,3.669054,6546,53920,24467,369,0,1124,23,66,52
meshtastic-like,19,1200.0,118,118,0,0.940678,0.0,0.45272,4508,4508,0,1112.502272,10.022543,7901,212991,117513,2474,1719,0,0,0,0
meshcore-like,19,1200.0,118,118,0,0.898305,0.0,0.368313,1467,115,1352,362.032128,3.415397,8600,63283,29332,610,0,1323,29,85,33
meshtastic-like,20,1200.0,133,133,0,0.954887,0.0,0.376934,5251,5251,0,1295.862784,10.203644,8742,248557,130713,2568,1789,0,0,0,0
meshcore-like,20,1200.0,133,133,0,0.977444,0.0,0.360684,1633,133,1500,402.998272,3.099987,9707,70310,30699,451,0,1470,30,103,30
