protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshcore-like,14,1200.0,188,81,107,0.395062,0.407407,0.938966,0.985052,0.723375,0.985052,2.493568,2.740352,33,32,4923,5662,5044,618,33,1397.291008,187.432974,0.156194,553.327239,1750.220624,2303.547863,0.464894,0.281996,0.584654,12106,265332,277438,0.043635,128173,0.461988,2959,0,575,10,12,7,31,50,0,0,0.0,0.109149,0,0,0.0,-1,0,0,0
etx-mesh,14,1200.0,188,81,107,0.530864,0.555556,0.949075,1.016076,0.746069,1.016076,2.493568,2.740352,45,43,4976,5133,4341,792,45,1266.742272,194.176318,0.161814,501.62994,1634.002277,2135.632217,0.42551,0.252389,0.612485,13671,237846,251517,0.054354,124864,0.496444,2992,1499,734,13,15,10,40,41,0,7,0.467579,0.154296,0,0,0.0,-1,0,0,0
ett-mesh,14,1200.0,188,81,107,0.530864,0.555556,0.949075,1.016076,0.746069,1.016076,2.493568,2.740352,45,43,4976,5133,4341,792,45,1266.742272,194.176318,0.161814,501.62994,1634.002277,2135.632217,0.42551,0.252389,0.612485,13671,237846,251517,0.054354,124864,0.496444,2992,1499,734,13,15,10,40,41,0,7,0.770184,0.154296,0,0,0.0,-1,0,0,0
minhop-mesh,14,1200.0,188,81,107,0.530864,0.555556,0.949075,1.016076,0.746069,1.016076,2.493568,2.740352,45,43,4976,5133,4341,792,45,1266.742272,194.176318,0.161814,501.62994,1634.002277,2135.632217,0.42551,0.252389,0.612485,13671,237846,251517,0.054354,124864,0.496444,2992,1499,734,13,15,10,40,41,0,7,0.947288,0.154296,0,0,0.0,-1,0,0,0
meshecho,14,1200.0,188,81,107,0.679012,0.716049,0.923136,1.024626,0.750374,1.024626,2.493568,2.740352,58,55,4840,5270,4320,950,58,1300.55168,197.718103,0.164765,515.018465,1647.725353,2162.743818,0.441827,0.26569,0.525061,14860,243370,258230,0.057546,120210,0.465515,2745,1382,877,15,18,14,55,26,7,10,0.95025,0.180266,0,0,0.0,-1,0,0,0
meshtastic-like,15,1200.0,215,102,113,0.715686,0.931373,0.905003,0.598945,0.852621,0.598945,4.191925,1.036199,95,73,5011,8099,7984,115,115,1998.703616,309.193923,0.257662,791.486632,2621.703045,3413.189677,0.671359,0.393136,0.773216,19667,377184,396851,0.049558,210369,0.530096,5893,3367,0,0,0,0,0,0,0,0,0.0,0.014199,0,0,0.0,-1,0,0,0
meshcore-like,15,1200.0,215,102,113,0.313725,0.362745,0.942568,0.844628,0.611127,0.844628,2.493568,2.740352,37,32,5219,5991,5365,626,37,1478.482944,198.612356,0.16551,585.479246,1824.372207,2409.851453,0.458932,0.281562,0.522545,12934,280625,293559,0.044059,130496,0.444531,3443,0,580,9,12,7,39,63,0,0,0.0,0.10449,0,0,0.0,-1,0,0,0
etx-mesh,15,1200.0,215,102,113,0.45098,0.5,0.934441,0.83547,0.599221,0.83547,2.493568,2.740352,51,46,5174,5457,4525,932,51,1346.700288,213.258898,0.177716,533.293314,1725.072836,2258.36615,0.432637,0.257989,0.590358,15070,252323,267393,0.056359,130588,0.488375,3758,1692,867,14,19,9,54,48,0,12,0.468742,0.17079,0,0,0.0,-1,0,0,0
ett-mesh,15,1200.0,215,102,113,0.45098,0.5,0.934441,0.83547,0.599221,0.83547,2.493568,2.740352,51,46,5174,5457,4525,932,51,1346.700288,213.258898,0.177716,533.293314,1725.072836,2258.36615,0.432637,0.257989,0.590358,15070,252323,267393,0.056359,130588,0.488375,3758,1692,867,14,19,9,54,48,0,12,0.770806,0.17079,0,0,0.0,-1,0,0,0
minhop-mesh,15,1200.0,215,102,113,0.45098,0.5,0.934441,0.83547,0.599221,0.83547,2.493568,2.740352,51,46,5174,5457,4525,932,51,1346.700288,213.258898,0.177716,533.293314,1725.072836,2258.36615,0.432637,0.257989,0.590358,15070,252323,267393,0.056359,130588,0.488375,3758,1692,867,14,19,9,54,48,0,12,0.946691,0.17079,0,0,0.0,-1,0,0,0
