protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshecho,14,600.0,34,34,0,0.470588,0.470588,0.0,2.23468,2.113288,2.23468,2.287744,2.431616,16,16,0,1174,32,1142,27,84.452864,29.085663,0.048476,33.443334,130.170036,163.61337,10.225836,5.278304,2.113288,9076,48450,57526,0.157772,39034,0.678545,4100,0,1078,37,22,20,1,33,0,18,0.847938,0.972743,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,0,0.9090909090909091,0.03432282003710575,0,1.0,0.8484655031870102,0.9997014577003167,0.9999990015403569,0.9999999987337216,0.9999999999999878,0.1110204081632653,0.024489795918367346
meshtastic-like,15,600.0,53,53,0,0.528302,1.0,0.0,0.490513,0.709121,0.490513,1.482667,1.648922,53,28,0,777,705,72,72,55.894272,32.21917,0.053699,22.134132,90.256148,112.390279,4.013939,1.996224,0.709121,11367,26706,38073,0.298558,23194,0.609198,6996,2432,0,0,0,0,0,0,0,0,0.0,0.092664,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.4125062614339367,0.9982433991681242,0.9999929860225734,0.9999999889429209,0.9999999999999762,0.1836734693877551,0.0563265306122449
meshcore-like,15,600.0,53,53,0,0.226415,0.226415,0.0,1.972395,1.864491,1.972395,2.287744,2.431616,12,12,0,748,22,726,18,53.808128,19.518541,0.032531,21.308019,83.585902,104.893921,8.74116,4.484011,1.864491,6061,30591,36652,0.165366,24970,0.681273,2985,0,687,21,16,12,3,50,0,0,0.0,0.970588,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.75,0.03056768558951965,0,0.0,0.4125062614339367,0.9982433991681242,0.9999929860225734,0.9999999889429209,0.9999999999999762,0.1836734693877551,0.0563265306122449
etx-mesh,15,600.0,53,53,0,0.169811,0.169811,0.0,2.057529,1.961614,2.057529,2.287744,2.431616,9,9,0,734,16,718,12,52.801024,18.904138,0.031507,20.909206,82.12862,103.037825,11.448647,5.86678,1.961614,5529,30437,35966,0.153729,25148,0.699216,3022,0,687,19,15,10,2,51,0,11,0.419145,0.978202,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.6666666666666666,0.027656477438136828,0,0.0,0.4125062614339367,0.9982433991681242,0.9999929860225734,0.9999999889429209,0.9999999999999762,0.1836734693877551,0.0563265306122449
ett-mesh,15,600.0,53,53,0,0.169811,0.169811,0.0,2.057529,1.961614,2.057529,2.287744,2.431616,9,9,0,734,16,718,12,52.801024,18.904138,0.031507,20.909206,82.12862,103.037825,11.448647,5.86678,1.961614,5529,30437,35966,0.153729,25148,0.699216,3022,0,687,19,15,10,2,51,0,11,0.901046,0.978202,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.6666666666666666,0.027656477438136828,0,0.0,0.4125062614339367,0.9982433991681242,0.9999929860225734,0.9999999889429209,0.9999999999999762,0.1836734693877551,0.0563265306122449
minhop-mesh,15,600.0,53,53,0,0.301887,0.320755,0.0,2.18972,2.085466,2.18972,2.287744,2.431616,17,16,0,1215,31,1184,25,87.40224,32.746186,0.054577,34.611287,135.898916,170.510203,10.656888,5.46264,2.085466,9606,49929,59535,0.16135,40943,0.687713,5251,0,1128,31,24,20,3,50,0,20,0.878297,0.974486,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,0,0.8333333333333334,0.0274822695035461,0,1.0,0.4125062614339367,0.9982433991681242,0.9999929860225734,0.9999999889429209,0.9999999999999762,0.1836734693877551,0.0563265306122449
meshecho,15,600.0,53,53,0,0.320755,0.377358,0.0,1.876397,1.823002,1.876397,2.287744,2.431616,20,17,0,1031,36,995,34,74.166016,28.859378,0.048099,29.369742,115.396713,144.766456,8.515674,4.362707,1.823002,9194,41325,50519,0.181991,33689,0.666858,4310,0,931,30,19,16,5,48,0,15,0.837071,0.965082,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.8421052631578947,0.0322234156820623,0,2.0,0.4125062614339367,0.9982433991681242,0.9999929860225734,0.9999999889429209,0.9999999999999762,0.1836734693877551,0.0563265306122449
meshtastic-like,16,600.0,50,50,0,0.46,0.98,0.0,0.510069,0.61379,0.510069,1.408089,2.141922,49,23,0,760,697,63,63,54.67136,30.264866,0.050441,21.649859,88.146022,109.795881,4.773734,2.377016,0.61379,10455,26736,37191,0.281116,23604,0.63467,6295,2293,0,0,0,0,0,0,0,0,0.0,0.082895,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.785509273222936,0.9996197333649399,0.9999983350120036,0.9999999974526794,0.999999999999907,0.12816326530612246,0.031020408163265307
meshcore-like,16,600.0,50,50,0,0.02,0.02,0.0,2.431616,2.287744,2.431616,2.287744,2.431616,1,1,0,256,2,254,2,18.415616,5.702364,0.009504,7.292584,28.38522,35.677804,35.677804,18.415616,2.287744,1567,10977,12544,0.12492,9012,0.718431,903,0,245,7,5,1,0,50,0,0,0.0,0.992188,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.2,0.02857142857142857,0,0.0,0.785509273222936,0.9996197333649399,0.9999983350120036,0.9999999974526794,0.999999999999907,0.12816326530612246,0.031020408163265307
etx-mesh,16,600.0,50,50,0,0.24,0.24,0.0,1.793739,1.685835,1.793739,2.287744,2.431616,12,12,0,639,18,621,18,45.967104,15.228135,0.02538,18.202973,70.986278,89.189251,7.432438,3.830592,1.685835,4751,26560,31311,0.151736,21648,0.691386,1960,0,587,16,12,9,3,47,0,8,0.385332,0.971831,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,0,0.75,0.027257240204429302,0,1.0,0.785509273222936,0.9996197333649399,0.9999983350120036,0.9999999974526794,0.999999999999907,0.12816326530612246,0.031020408163265307
