protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
etx-mesh,16,1200.0,129,129,0,0.573643,0.596899,0.0,0.736464,0.509395,0.736464,2.493568,2.740352,77,74,0,859,83,776,77,211.987456,69.768293,0.05814,83.947033,293.553033,377.500065,5.101352,2.864695,0.509395,9445,32646,42091,0.224395,18456,0.438479,745,0,686,13,14,10,73,56,0,6,0.457988,0.903376,0,0,0.0,-1,0,0,0
ett-mesh,16,1200.0,129,129,0,0.573643,0.596899,0.0,0.736464,0.509395,0.736464,2.493568,2.740352,77,74,0,859,83,776,77,211.987456,69.768293,0.05814,83.947033,293.553033,377.500065,5.101352,2.864695,0.509395,9445,32646,42091,0.224395,18456,0.438479,745,0,686,13,14,10,73,56,0,6,0.761118,0.903376,0,0,0.0,-1,0,0,0
minhop-mesh,16,1200.0,129,129,0,0.573643,0.596899,0.0,0.736464,0.509395,0.736464,2.493568,2.740352,77,74,0,859,83,776,77,211.987456,69.768293,0.05814,83.947033,293.553033,377.500065,5.101352,2.864695,0.509395,9445,32646,42091,0.224395,18456,0.438479,745,0,686,13,14,10,73,56,0,6,0.937415,0.903376,0,0,0.0,-1,0,0,0
meshecho,16,1200.0,129,129,0,0.573643,0.596899,0.0,0.736464,0.509395,0.736464,2.493568,2.740352,77,74,0,861,87,774,77,212.481024,68.291229,0.056909,84.142486,290.46618,374.608665,5.062279,2.871365,0.509395,9233,32956,42189,0.218849,17834,0.422717,549,0,684,13,14,10,73,56,4,6,0.937415,0.898955,0,0,0.0,-1,0,0,0
meshtastic-like,17,1200.0,95,95,0,0.905263,0.957895,0.0,0.51271,0.305355,0.51271,0.246784,0.493568,91,86,0,3699,3607,92,92,912.854016,139.053913,0.115878,361.49019,1199.846434,1561.336625,18.155077,10.614582,0.305355,10829,170422,181251,0.059746,94052,0.518905,2140,1464,0,0,0,0,0,0,0,0,0.0,0.024872,0,0,0.0,-1,0,0,0
meshcore-like,17,1200.0,95,95,0,0.989474,0.989474,0.0,0.852097,0.605313,0.852097,2.493568,2.740352,94,94,0,989,94,895,94,244.069376,70.924047,0.059103,96.651473,322.215472,418.866945,4.456031,2.596483,0.605313,10970,37491,48461,0.226368,17395,0.358948,370,0,784,17,16,15,79,16,0,0,0.0,0.904954,0,0,0.0,-1,0,0,0
etx-mesh,17,1200.0,95,95,0,0.989474,0.989474,0.0,0.852097,0.605313,0.852097,2.493568,2.740352,94,94,0,989,94,895,94,244.069376,70.924047,0.059103,96.651473,322.215472,418.866945,4.456031,2.596483,0.605313,10970,37491,48461,0.226368,17395,0.358948,370,0,784,17,16,15,79,16,0,8,0.468964,0.904954,0,0,0.0,-1,0,0,0
ett-mesh,17,1200.0,95,95,0,0.989474,0.989474,0.0,0.852097,0.605313,0.852097,2.493568,2.740352,94,94,0,989,94,895,94,244.069376,70.924047,0.059103,96.651473,322.215472,418.866945,4.456031,2.596483,0.605313,10970,37491,48461,0.226368,17395,0.358948,370,0,784,17,16,15,79,16,0,8,0.771338,0.904954,0,0,0.0,-1,0,0,0
minhop-mesh,17,1200.0,95,95,0,0.989474,0.989474,0.0,0.852097,0.605313,0.852097,2.493568,2.740352,94,94,0,989,94,895,94,244.069376,70.924047,0.059103,96.651473,322.215472,418.866945,4.456031,2.596483,0.605313,10970,37491,48461,0.226368,17395,0.358948,370,0,784,17,16,15,79,16,0,8,0.948798,0.904954,0,0,0.0,-1,0,0,0
meshecho,17,1200.0,95,95,0,0.989474,0.989474,0.0,0.852097,0.605313,0.852097,2.493568,2.740352,94,94,0,989,94,895,94,244.069376,69.971053,0.058309,96.651473,317.350323,414.001796,4.404274,2.596483,0.605313,10912,37549,48461,0.225171,16293,0.336208,322,0,784,17,16,15,79,16,0,8,0.948798,0.904954,0,0,0.0,-1,0,0,0
meshtastic-like,18,1200.0,118,118,0,0.872881,0.923729,0.0,0.658799,0.536968,0.658799,1.948267,1.993818,109,103,0,4541,4412,129,129,1120.646144,175.702955,0.146419,443.775873,1479.038889,1922.814762,18.668104,10.88006,0.536968,13828,208681,222509,0.062146,116508,0.52361,2663,1798,0,0,0,0,0,0,0,0,0.0,0.028408,0,0,0.0,-1,0,0,0
meshcore-like,18,1200.0,118,118,0,0.550847,0.559322,0.0,0.804661,0.553164,0.804661,2.493568,2.740352,66,65,0,732,68,664,66,180.645888,52.980264,0.04415,71.535772,240.46419,311.999962,4.799999,2.779168,0.553164,7802,28066,35868,0.21752,13759,0.383601,275,0,587,11,13,9,59,59,0,0,0.0,0.907104,0,0,0.0,-1,0,0,0
etx-mesh,18,1200.0,118,118,0,0.669492,0.677966,0.0,0.834852,0.583802,0.834852,2.493568,2.740352,80,79,0,912,84,828,80,225.067008,64.480645,0.053734,89.126535,298.485287,387.611823,4.906479,2.848949,0.583802,9567,35121,44688,0.214084,17000,0.380415,342,0,734,14,16,12,72,46,0,8,0.467918,0.907895,0,0,0.0,-1,0,0,0
ett-mesh,18,1200.0,118,118,0,0.669492,0.677966,0.0,0.834852,0.583802,0.834852,2.493568,2.740352,80,79,0,912,84,828,80,225.067008,64.480645,0.053734,89.126535,298.485287,387.611823,4.906479,2.848949,0.583802,9567,35121,44688,0.214084,17000,0.380415,342,0,734,14,16,12,72,46,0,8,0.769982,0.907895,0,0,0.0,-1,0,0,0
