protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
calm-mesh,7,1200.0,128,68,60,0.882353,0.94966,0.761929,60,2792,3365,2559,806,62,830.42816,0.291174,0.409724,11821,153064,74603,1612,782,729,15,51,17,34,7,0.933202,0.239525,0,0,0.0,-1
smart-calm,7,1200.0,128,68,60,0.985294,0.970068,2.667451,67,2852,3255,2593,662,69,803.28192,0.275191,0.443609,11962,147533,72345,1497,804,583,10,56,12,40,4,0.950615,0.203379,5,108,113.668144,0
meshtastic-like,8,1200.0,125,63,62,0.952381,0.967413,0.514969,60,2939,4917,4917,0,0,1213.436928,0.404614,0.438324,8909,232024,127890,3030,1900,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,8,1200.0,125,63,62,0.603175,0.967742,0.480579,38,2940,4032,3044,988,38,995.033088,0.334128,0.275916,9075,188493,83110,1403,0,929,21,24,39,0,0,0.0,0.24504,0,0,0.0,-1
calm-mesh,8,1200.0,125,63,62,0.920635,0.967742,0.823594,58,2940,3541,2732,809,58,873.862144,0.291482,0.277898,11284,162225,72365,1155,698,736,15,47,16,43,8,0.948954,0.228467,0,0,0.0,-1
smart-calm,8,1200.0,125,63,62,0.984127,0.983871,6.166063,62,2989,3314,2740,574,73,817.842176,0.268057,0.43908,12194,150192,67940,1205,742,490,11,48,15,6,2,0.91768,0.173205,3,103,109.80333,0
meshtastic-like,9,1200.0,127,58,69,0.948276,0.968353,0.604735,55,3274,4843,4843,0,0,1195.174912,0.359019,0.563433,9349,227958,125312,3381,2147,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,9,1200.0,127,58,69,0.672414,0.977521,0.43029,39,3305,4407,3415,992,40,1087.577088,0.325232,0.463725,10444,205499,92732,2035,0,932,20,31,27,0,0,0.0,0.225096,0,0,0.0,-1
calm-mesh,9,1200.0,127,58,69,0.913793,0.976634,1.03361,53,3302,3894,3087,807,53,960.976896,0.286431,0.41525,11435,179371,84049,1576,941,739,15,38,20,170,12,0.953489,0.207242,0,0,0.0,-1
smart-calm,9,1200.0,127,58,69,0.982759,0.974564,5.03555,57,3295,3788,3026,762,63,934.817792,0.278884,0.423601,11966,173646,81009,1559,939,686,13,40,18,107,8,0.951746,0.201162,3,98,92.3476,0
meshtastic-like,10,1200.0,133,72,61,0.930556,0.917364,0.869751,67,2742,4928,4928,0,0,1216.151552,0.432948,0.464087,9147,232325,132047,3151,2062,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,10,1200.0,133,72,61,0.680556,0.971562,0.433131,49,2904,4078,3023,1055,52,1006.385152,0.340801,0.360004,10907,188915,86205,1762,0,981,22,38,34,0,0,0.0,0.258705,0,0,0.0,-1
calm-mesh,10,1200.0,133,72,61,0.902778,0.994982,0.871335,65,2974,3544,2726,818,71,874.602496,0.287793,0.393847,12454,161202,77136,1476,849,733,14,56,16,57,8,0.950514,0.230813,0,0,0.0,-1
smart-calm,10,1200.0,133,72,61,0.958333,0.972566,6.155419,69,2907,3334,2688,646,75,822.777856,0.276471,0.526774,12450,150916,72715,1497,880,560,11,55,17,86,6,0.949046,0.193761,1,110,107.365435,0
meshtastic-like,11,1200.0,140,66,74,0.939394,0.94567,0.455554,62,3429,5392,5392,0,0,1330.659328,0.381169,0.572287,9851,254357,137411,3384,2169,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,11,1200.0,140,66,74,0.742424,0.934639,0.443204,49,3389,4621,3517,1104,52,1140.388864,0.331701,0.479482,11625,214804,97717,2025,0,1030,22,36,30,0,0,0.0,0.238909,0,0,0.0,-1
calm-mesh,11,1200.0,140,66,74,0.80303,0.90182,0.924886,53,3270,3880,2940,940,54,957.52192,0.28815,0.522286,11707,178413,84079,1865,955,870,16,45,21,26,10,0.95086,0.242268,0,0,0.0,-1
smart-calm,11,1200.0,140,66,74,0.939394,0.931054,5.750066,62,3376,3907,3143,764,68,964.185088,0.280449,0.596799,12797,178646,85640,1944,960,684,12,51,15,92,8,0.946914,0.195546,4,103,100.007427,1
meshtastic-like,12,1200.0,132,63,69,0.888889,0.983437,0.744967,56,3325,5044,5044,0,0,1244.778496,0.368169,0.60008,9889,237267,131057,3830,2150,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,12,1200.0,132,63,69,0.206349,0.965691,0.512551,13,3265,3933,3313,620,13,970.601472,0.296096,0.511378,7380,185337,87619,2149,0,593,14,7,56,0,0,0.0,0.15764,0,0,0.0,-1
calm-mesh,12,1200.0,132,63,69,0.52381,0.97486,0.988234,33,3296,3622,2899,723,33,893.851648,0.268505,0.442329,9397,168081,82663,1768,995,677,13,27,36,35,6,0.945873,0.199613,0,0,0.0,-1
